Drift ID,Original Objective,Approved Scope,Actual Work,Evidence,Consequence,Correction Applied by 12.1,Rollback Required
DRIFT-01,WS-OBJ-501 accuracy gate,12.0 authorized WS-CAN-0026 as the one mission to BEGIN next,The engineering was already committed at 2ac9631f - 52 seconds before 12.0's own publication commit,CF-02 (git merge-base + rev-list),"An audit's single authorized mission was spent on completed work, exactly as 11.4 did 22 minutes before its own publication. The interval narrowed from 22 min to 52 s",WS-CAN-0026 re-dispositioned to 'Complete - Awaiting Owner Decision'. A different mission authorized,NO
DRIFT-02,WS-OBJ-701 canonical register,12.0 Rule 2: a finding without an ID must be assigned one before it can be actioned,"Six substantive post-12.0 findings were diagnosed, some shipped, none given an ID: layer colour-scale coverage, the om:// zoom floor, geometry disclosure, the conditions/batch latency, the CI floor governance, and the fps fabrication",POST_12_0_CHANGE_LEDGER (24 of 59 commits map to unregistered work),"The register stopped being the program's source of truth within 24 hours of being declared it. A reader of the register alone would not know a user-visible layer was blank on every model",Six IDs assigned: WS-CAN-0060..0065. All prior IDs preserved,NO
DRIFT-03,WS-OBJ-402 exit dual-path migrations,12.0 §7 named three dual paths and prescribed 'Complete it' / 'Benchmark then decide' / 'Preserve as-is',"No exit condition was written for any of the three. The arbiter still ships dark, the debounce still default-OFF, the ICON blend still unconditional",CURRENT_ARCHITECTURE_CONVERGENCE_MAP,"A temporary fallback becomes permanent architecture by default. This is the specific drift pattern §20 of the brief warns about, and 12.0 diagnosed it in others without applying it to itself",WS-OBJ-402 opened as an objective with a dated arm-or-delete requirement per path,NO
DRIFT-04,WS-OBJ-302 bounded latency,12.0 named grid_series as THE latency finding,"12.0's own RV-01 evidence contains /api/conditions/batch at p50 52.2 s with 9 of 9 calls over 10 s - worse by median than grid_series was by p99 - and the report did not name it",LV-07,The worst route in the system went unregistered through two audits,WS-CAN-0064 opened and scoped WITH WS-CAN-0009 (same file),NO
DRIFT-05,WS-OBJ-503 runtime evidence,Five prompts required screen recording; five audits disclosed producing none and none opened a task until 12.0,"12.1 also produced none - but established the MECHANISM: an agent browser pane does not composite frames, so screenshots, video and RAF-based FPS are all unavailable on the surface the audits run on",LV-08,"Five audits read as five lapses of diligence. They were one environmental property hit five times, each correctly disclosed",Reclassified from a discipline failure to an environmental constraint with a known fix (Playwright's own browser). Priority RAISED,NO
DRIFT-06,WS-OBJ-006 nearshore differentiation,'Add SWAN / FVCOM / GNN / nested grids',"Priced and rejected three times; the objective survived as 'reduce nearshore error' and resolved into coverage expansion (WS-CAN-0058)",12.0 §10 + RV-09/RV-11/RV-12,"POSITIVE DRIFT. The crosswalk preserved the objective and discarded the technology - the model lever measured 2.9-5.9% like-for-like while the coverage lever measured MAE 0.30-0.32 coarse vs 0.177 tiled",Recorded as a correct supersession. WS-OBJ-601 carries the objective; WS-OBJ-605 carries the rejected technology,NO
REPL-01,WS-CAN-0046 Zarr/Kerchunk/COG/Dask,Replace the data access format,Superseded by 'reduce forecast-data access latency',three consecutive audits + 11.2 reframe,The measured latency root is grid_series composition and cold start - and now conditions/batch - not the storage format,REJECT UPHELD. Reopen only with a measured access-latency bottleneck,NO
REPL-02,WS-CAN-0047 JAX/CuPy/Numba,Accelerate the numerics,Superseded by 'there is no measured numerical bottleneck',4 s CPU global forecast re-verified at 11.0,None,REJECT UPHELD,NO
REPL-03,WS-CAN-0048 SWAN/FVCOM/GNN,Model the nearshore more finely,Replaced by WS-CAN-0058 coverage expansion,three audits agree the constraint is input coverage; 11.2 RC-03 adds that a finer model cannot be validated while a fixed coordinate depends on interaction history,None,REJECT UPHELD; the objective is carried by WS-OBJ-601,NO
REPL-04,WS-CAN-0049 AI bias correction,Fit a learned residual,Deferred - blocked at the premise,LV-03: the deficit WIDENED on a 39%-larger sample,"12.0 sharpened the rejection: you cannot fit a correction toward a baseline you have not beaten. 12.1 confirms the baseline moved further away",DEFER UPHELD - now with a stronger reason than 12.0 had,NO
REPL-05,WS-CAN-0027 approach,'Enable Playwright video capture',Unchanged in substance; its ORDERING was replaced,"Register note 2026-08-13: 'land WS-CAN-0059 FIRST'","Correct sequencing decision. The dependency has now cleared",APPROACH UNCHANGED; the ordering constraint is discharged and the task is authorized,NO
NEW-DEP-01,WS-OBJ-504 telemetry uplink,'Build a fixed-cardinality client-to-server uplink' (WS-CAN-0020),Not started - and 12.1 finds a defect in the transport it would build on,LV-04,"Building an uplink on a transport whose fps field reports 60 when the render is frozen would scale a fabrication rather than fix it",NEW DEPENDENCY: WS-CAN-0063 must precede WS-CAN-0020,NO
