Coupling,Report 11.0 finding,11.1 re-measurement at HEAD,Method,Classification,What it implies about architecture quality
Global bbox x resident memory,"Suspected but not isolated; end-stage vector budget assumed to bound it","MEASURED: small bbox (165 cells/frame) = +5.7 MB RSS; global bbox (966 cells/frame) = +812.8 MB RSS and +800.2 MB PEAK. 142x the memory for 5.9x the cells","T-CAP-03 controlled two-arm probe, small arm first (biased against the conclusion)",**New unexpected coupling — quantified for the first time**,"The dominant serving cost is superlinear in viewport extent and is NOT bounded by any shipped guard. This is the single strongest architectural signal in the window"
grid_series build x process high-water RSS,+170.3 MB per request; fix claimed +0.0,"+156.7 / +201.6 / +812.8 MB across three replicates, all with bounded_at=build","T-CAP-01/02/03 with verified-flat controls (0.0-1.0 MB drift over 40-213 s)",**Unexpected coupling UNCHANGED (declared removed)**,"A repair was accepted on a measurement whose baseline was saturated. The coupling is intact"
Concurrency x peak retention,"apply_vector_budget bounds the response, not the build",The fix's own docstring: 'peak retention drops from N full grids to CONCURRENCY full grids'. PREFETCH_CONCURRENCY unset on the live box => default 5,Code read + live env-var evidence from AUDIT-2026-08-10,**Unexpected coupling reduced, not removed**,"The multiplier moved from N (~35-48) to CONCURRENCY (5). Real progress; insufficient progress"
Model-run identity x scrubber continuity,Mechanism proven; live occurrence NOT sampled (U-2),"OBSERVED LIVE: run_census {distinct_runs:2, mixed_runs:true, 13:00:30Z vs 20:49:05Z} in ONE response",T-CAP-01 production response,**Expected coupling now VISIBLE (was invisible)**,"The instrument shipped in this window and immediately caught the thing it was built for. Best evidence in the audit that the measurement layer works"
Layer switch x pending fetch,3 stacked guards verified,NOT REMEASURED,-,Unable to measure,-
Model switch x timeline request,Guards verified; detach-not-abort by policy,NOT REMEASURED,-,Unable to measure,-
Guardrail flip x backstop re-drive,"Unbounded ~6 s re-drive; backstop never consulted webglMarineFailed","STRUCTURALLY DECOUPLED: useMarineScrubSettle.js:88-92 now reads the guardrail flag; WebGLMarineEngine.js:3199-3200 clears the stale pointer. LIVE: __MARINE_CHURN__ counts = {engine_init:1}, zero re-drives",Static read + live probe on the healthy path,**Unexpected coupling removed (unvalidated under trip)**,"Two independent seams now break the loop. The trip itself was not reproduced in EITHER audit"
React remount x renderer ownership,Init-once flag + sequencer gate,"LIVE: engine_init = 1 across a full map boot; 1 WebGL context, 1 canvas",localhost:3009 probe,Expected coupling preserved,-
Tab visibility x animation scheduler,Not runtime-tested,"MEASURED, AND IT DOMINATES: visibilityState='hidden' => 0 rAF ticks in 1.5 s. Any animation assertion in a hidden context is measuring the browser",live probe,**New unexpected coupling — on the TEST HARNESS, not the product**,"An animation oracle must assert its own visibility first. A frame count of 0 from a hidden tab is indistinguishable from a frozen renderer"
Docs commit x E2E lane coverage,"65% of E2E runs CANCELLED; 30% of runs fired on markdown-only commits","DECOUPLED: paths-ignore ['**/*.md','docs/**','audit/**'] shipped 00dfba86. The two subsequent docs commits fired NO run; the fix's own run completed SUCCESS at 17:26:51Z",gh run list --workflow e2e-tests.yml,**Unexpected coupling removed — verified live**,"One data point, and not yet on a code commit"
