Evidence ID,Path,Bytes,SHA-256,Captured,Branch,Commit,Objective ID,Canonical Task ID,Surface,Method,Question Asked,Expected If Closed,Observed,Verdict
README.md,evidence/README.md,1753,a17b18b766b981b7e6747b90c8cbac292466788d07db019db4ce5278a7012936,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,-,-,-,-,-,-,-,-
CF-02,evidence/commit-forensics/CF-02_the_authorized_mission_was_already_committed.md,3484,feb4cb57326e39d2e384e4498bd62c57787e2d185874d07f596db8674f0cfa13,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-701,WS-CAN-0026,local repository,git log / merge-base / show --stat,was the authorized mission open work when authorized,the mission had remaining engineering,"2ac9631f is the IMMEDIATE PARENT of the 12.0 publication commit, 52 seconds earlier; the register field read uncommitted",FAIL - 12.0 repeated the defect it diagnosed
LV-04,evidence/console/LV-04_truth_overlay_fabricates_fps_on_the_wire.md,3747,620a7b1e20ada95196a94e122eebaca87f257752486e0a7b7c6acbfac4afbc6a,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-301/506,WS-CAN-0022 / 0063,dev--rawsurf.netlify.app + HEAD source,live JS read then static confirmation,no RAF outlives its surface; no surface reports an unmeasured number,activeRafCount 0 with no layer; no placeholder reaches a consumer,activeRafCount 1 with activeLayers []; TruthOverlay.js:126 fps ... || 60 turns a measured 0 into 60,FAIL - WS-CAN-0063 opened
GV-antimeridian.json,evidence/geographic-tests/GV-antimeridian.json,2454,a96265880dd021872dadc933a5c8eb9b2c784867b59c1828e0a3b25c6e16c878,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-102,WS-CAN-0058,production Render backend,curl,raw payload backing LV-05,n/a,"179.6E valid, grid_parity true, inside_global_coarse",RAW EVIDENCE
GV-cocoa-beach.json,evidence/geographic-tests/GV-cocoa-beach.json,2439,4959b052e2e5006c0639e7b759f8f752125a7fbc538fce3601db768a9733f2d8,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-202/203,WS-CAN-0005/0014/0029,production Render backend,curl,raw payload backing LV-05,n/a,inside_regional_tile; resolution null,RAW EVIDENCE
GV-high-lat.json,evidence/geographic-tests/GV-high-lat.json,2451,c149a657f0e22f4d50193ff1d170014e9d3d22100b3adaf4f07459f99fe2c554,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-102,WS-CAN-0058,production Render backend,curl,raw payload backing LV-05,n/a,"64.1N valid, grid_parity true, inside_global_coarse",RAW EVIDENCE
GV-portugal.json,evidence/geographic-tests/GV-portugal.json,2450,d458460fd3c8b7364a2f80f68880c39c0254ed2c38c98b9a7272c05bde7fb799,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-202/203,WS-CAN-0005/0014/0029,production Render backend,curl,raw payload backing LV-05,n/a,inside_regional_tile; resolution null,RAW EVIDENCE
LV-05,evidence/geographic-tests/LV-05_four_geographies_and_the_run_time_proof.md,3909,96c77dff136367833e12e032c44fb1b763f349bcaab96ca349d733c5d37a1251,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-202/203/102,WS-CAN-0005/0014/0029/0058,production Render backend,curl x4 at one fixed valid_time,run_time is a model cycle; resolution populated; freshness measured; global geographies render,cycle-derived run_time and non-null resolution,all four share run_time 12:57:54.313295Z across THREE tiles; resolution null x4; freshness 1800 x4; antimeridian and 64N both valid,FAIL on provenance / PASS on geography
LV-07,evidence/performance/LV-07_the_worst_route_two_audits_did_not_name.md,4208,2d197f195602b61b1752b950f2246320fac0cbea4b1883b7824cba1e4e3bda9f,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-302,WS-CAN-0064 / 0009,"production Render backend, two dates",cross-read of 12.0 RV-01 vs 12.1 LV-01,no route exceeds its budget at the median,no route above 10 s at the median,conditions/batch: 08-12 p50 52238 ms 9/9 over 10 s; 08-13 p50 58713 ms 8/8 over 10 s; named in neither report,FAIL - WS-CAN-0064 opened
LV-08,evidence/recordings/LV-08_why_five_audits_produced_no_recordings.md,3547,63432030b235ce6d0a3db67a6507c2d9fae05587685028b541f27332952646ce,2026-08-13,dev,9febd970ef5d39585ad2b7b8ae5a3a7e038b8df2,WS-OBJ-503,WS-CAN-0027 / 0037,agent browser pane,2 screenshot attempts incl. one after fronting the tab,can a temporal defect be seen,a video or screenshot artifact,"the pane does not composite frames while hidden; six audits, zero recordings, one environmental cause",BLOCKED - mechanism established
