Area,apparent_concern,covered_by,why
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,"The production Netlify frontend is 85 days / ~2,352 commits behind HEAD, so no frontend weather work reaches users",WS-CAN-0039 / WS-OBJ-104 / SOTA A18,"Re-measured by 12.1 (prod SW BUILD_VERSION 3bd38a83, dev = HEAD exactly), disposition 'Preserve but Do Not Modify', OWNER DECISION ONLY. I re-confirmed the mechanism is Netlify site config, not the repo, and did not re-open it."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,The live Render env — the only place the ~200 weather-behaviour flags are actually set — is not in git and is unknowable,WS-CAN-0040,"'Read the production Render environment variable screen', P0-owner, one dashboard read. backend/tests/test_flag_lane_parity.py already guards the three git-visible lanes and states in its own docstring that the Render lane cannot be checked from here; check_env_parity.py:92 already annotates 'DECLARED is not MEASURED' for render.yaml. The instrument gap is owned; only the owner action is outstanding."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,The Vercel GitHub App is still installed and produces failing deployment events,WS-CAN-0041,"frontend/vercel.json sets git.deploymentEnabled=false to silence the builds; the register row records that the noise was resolved at 0eac7f32 and the app was not uninstalled. One owner click, already tracked."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,"There is no canary or percentage rollout, and the rollout evaluator that exists has inverted exclude precedence",WS-CAN-0044,"Register state is explicit: p2.py:556-561 target-before-exclude, 'Zero callers today. Fix before any canary is wired.' The absence of a rollout mechanism is a consequence of that, and STOP_DEFER_REJECT lists it as a dormant landmine to be fixed before any canary. I confirmed zero callers and did not re-open."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,"Every scheduled check is delivered by GitHub cron, whose delivery has been measured at 5-32% of nominal, so a green cron history proves nothing",WS-CAN-0025 / WS-OBJ-505,"backend/scripts/uptime_probe.py was built specifically to run off GitHub with a --ping-url dead-man's switch; it grades the body (status, database, product count, calibration freshness), was proven live three ways, and is mutation-pinned by 13 tests. The single outstanding item is the owner creating one free heartbeat URL."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,"What the user sees when the backend 5xxs — detection, disclosure and recovery on a total weather load failure",WS-CAN-0036 / WS-OBJ-103 / SOTA A14,"Graded 'PARTIAL — disclosure only', with the remaining work named as replaying the 11.2 failure injection against HEAD. The Netlify /api/* proxy is a status pass-through with a ~26 s window, so the failure reaches the client code that task already owns."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,A running page cannot be attributed to a release,WS-CAN-0003 + SOTA 'Release identity end to end',"update-sw-version.js stamps the same git SHA into public/service-worker.js and src/buildVersion.js; /api/health embeds the 40-hex SHA in `version`; weatherTruthTracker.js:8,204 and WeatherTelemetry.js:8,282 carry `build: BUILD_VERSION`. Both deploy waits in e2e-tests.yml consume these stamps every run. This is genuinely complete and is the strongest part of the ops surface."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,"/api/conditions/batch exceeds its budget on 100% of sampled calls, p50 ~52-59 s, on the box every push redeploys",WS-CAN-0064 / WS-OBJ-302 / SOTA A16,"Opened by 12.1 with the measurement attached. It is a capacity finding, not a deployment finding; I did not re-measure or re-report it."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,"The E2E lane's own integrity — does it run, can it fail, does it retain evidence",WS-CAN-0059 + WS-CAN-0065 + WS-CAN-0027 / WS-OBJ-705,"CERTIFIED at 12.1 (five consecutive completed greens, 'Running 52 tests'); video:'retain-on-failure' landed at 181b7ba7; the floor hook and floor-staleness governance are WS-CAN-0065. I verified all three at HEAD in playwright.config.js and e2e-tests.yml and confirmed them closed."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,A ChunkLoadError after a deploy leaves the user on a broken page,no register row — already mitigated in code,"frontend/src/components/routing/ErrorBoundary.js:37-58 detects ChunkLoadError / 'Loading chunk' / 'Failed to fetch dynamically imported module' and reloads once, guarded by a sessionStorage key against a reload loop, wrapping every lazy route (App.js:111-128). Recording this as covered so it is not proposed as a task; the residual is OPS-G4, which the boundary structurally cannot see."
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,"There is no remote, operator-reachable kill switch for the frontend weather layers — the flags are window/localStorage (per-browser) plus build-time REACT_APP_USE_BACKEND_*",SOTA B12,"B12's acceptance criterion is 'Every risky change has a kill switch and a control arm', which the window/localStorage/build-time triple satisfies and which the contract already marks MET as 'the program's strongest habit'. Remote operability is not in the criterion, and the operator lever that does exist — a rebuild and redeploy — is the same lever WS-CAN-0039 gates. Recording it as a scope question rather than inflating it into a gap."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,"The radar legend's stops (0/.1/.3/.5/2+) are rain-rate shaped and cannot be dBZ, while the label says dBZ and the readout under the observed pixels is a modelled mm/h number","WS-CAN-0015 item 7 (""radar legend"") / WS-OBJ-204","Named explicitly in the seven-item batch, and frontend/src/components/map/radarLegendUnits.proof.test.js is a standing record of the three-way mismatch with a deliberate no-fix rationale (RainViewer scheme-7 thresholds are a primary source not in this repo). Nothing to add."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,The timeline label is computed from the wall clock (new Date() + offset) rather than from the frame actually served,WS-CAN-0016 / WS-OBJ-202,"The task title is literally 'derive the scrubber label from the served frame' and its Current Files/Symbols names MapWeatherControls.js:327-331, the exact site. Noted but not raised: a SECOND site exists at MapForecastOverlay.js:637-640 (the infobox header label) and a third in the wheel's day ticks at ForecastWheel.js:181-182 — the register names one of three, but the fix is a single display policy so this is a scope note on an existing task, not a new gap."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,"The ft/m preference does not reach the infobox cards, so one screen can show the same wave in two units","WS-CAN-0015 item 6 (""ft/m in infobox cards"")","Named in the batch, and it has since shipped: MapForecastOverlay.js:64-69 subscribes to the 'rawsurf:height-unit' event and re-reads getHeightUnit(), with the regression documented in the source comment at :60-63."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,The provenance class is derived from isEstimated alone and can claim AUTHORITATIVE NATIVE during a total load failure,WS-CAN-0034 / WS-OBJ-204,"Shipped and verified: TruthOverlay.js:274-286 carries seven states gated on gridVectorCount, productId, isEstimated, isSubstituted and resolutionDeg. (That this surface is diag-gated is raised separately under GAP-UX-05, which is a claim about WHERE the disclosure lives, not about the class computation.)"
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,Grid coarseness is not disclosed to the user at all,"WS-CAN-0014 (closed 172f66aa) / WS-OBJ-203, plus the shipped servedResolutionNotice.js","The disclosure exists, is silent on native tiers by design, and refuses rather than guessing on an unknown resolution. My separate finding GAP-UX-08 is a different claim — that it reads the wrong subsystem's global for non-marine layers."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,"Confidence reads 'medium' for both degraded and full geometry, so a user cannot tell how well a spot is known",WS-CAN-0062 / WS-OBJ-207,"Opened by Audit 12.1 with LV-06 evidence (n=24 live bbox; Kennedy Space Center degraded and Cape Canaveral full both reporting medium) and a caveat on the 1,052-sampled-spot census. Fully owned."
PRODUCT + USER COVERAGE (audit spec §17) — what the user of ,A layer whose variable resolves to no colour scale paints transparent and looks like nothing-to-show,WS-CAN-0060 (closed 0f13fa7d / 2dd8f1ff / 6bef6eda) / WS-OBJ-101,"Closed with a mutation-proven class guard over every raster and marine layer, calibrated against both observed outcomes with a control test."
