Test ID,Timestamp,Current commit,Baseline commit,Browser/runtime and version,Machine and GPU,Viewport,Device-pixel ratio,App URL,Location,Zoom/bearing/pitch/projection,Active weather model,Active layer,Forecast init / hours,Forecast hour coverage,Cache state,Service-worker state,Action sequence,Related finding,Artifact location
T-CAP-01,2026-08-10T21:35Z,8be9dd56,c9a0e9fc,python 3.14 / urllib,win32 / n-a GPU,n-a,n-a,https://raw-surf-antigravity.onrender.com,"global bbox -180,-85,180,85",n-a,GFS,waves(marine),hours 0..141 stride 3,48 requested / 30 served,warm plateau 4h uptime,n-a,3 control polls then ONE grid_series then poll,F11.1-01 / capacity,evidence/memory/T-CAP-01_grid_series_rss_delta.py
T-CAP-02,2026-08-10T21:45Z,8be9dd56,c9a0e9fc,python 3.14 / urllib,win32,n-a,n-a,same,global bbox,n-a,GFS,waves,same,48 / 36,plateau then 2nd call then idle,n-a,"decay poll x5, second identical call, decay poll x4",F11.1-01 compounding,evidence/memory/T-CAP-02_retention_and_compounding.py
T-CAP-03,2026-08-10T21:55Z,8be9dd56,c9a0e9fc,python 3.14 / urllib,win32,n-a,n-a,same,"small bbox -84,24,-79,31 THEN global",n-a,GFS,waves,same,48 / 48 then 48 / 35,"cold-ish, plateau verified between arms",n-a,"settle, small arm, settle, global arm",F11.1-01 attribution control,evidence/memory/T-CAP-03_size_scaling_control.py + T-CAP-03_output.txt
T-SCI-01/02,2026-08-10T21:40Z,8be9dd56,c9a0e9fc,python 3.14,win32,n-a,n-a,"in-process, no network",Pipeline 21.665/-158.053,n-a,n-a (sim chain),n-a,n-a,n-a,n-a,n-a,"calculate_surf_rating at 5 swell heights, baseline worktree vs HEAD",Invariant N7 / Section 11,inline in report Section 5 + BEFORE_AFTER_EVIDENCE_MATRIX A
T-TEST-01,2026-08-10T21:47Z,8be9dd56,c9a0e9fc,node v24.14.1 / react-scripts jest,win32,n-a,n-a,n-a,n-a,n-a,n-a,n-a,n-a,n-a,n-a,n-a,CI=true npx react-scripts test --watchAll=false --json,Section 6,evidence/console/T-TEST-01_frontend_suite.json
T-RUN-01,2026-08-10T22:02Z,8be9dd56,c9a0e9fc,Chromium (in-app Browser pane),win32,1280x800 approx,1,http://localhost:3009/map,default map view,default,n-a,none active,n-a,n-a,cold local dev server,none,"boot map, wait 12 s, read window globals + __RAW_GPU__ + __MARINE_CHURN__","R11-01 / Section 9 / invariants 7,12,13",inline in report Section 9 + SYSTEM_CAPACITY_DELTA section 3
T-RUN-02,2026-08-10T22:03Z,8be9dd56,c9a0e9fc,Chromium (in-app Browser pane),win32,same,1,same,same,same,n-a,n-a,n-a,n-a,n-a,n-a,measure document.visibilityState / hasFocus / rAF ticks over 1.5 s,OPEN_EVIDENCE_GAPS G-02,inline in report Section 2.4
T-CI-01,2026-08-10T21:31Z,8be9dd56,c9a0e9fc,gh cli,win32,n-a,n-a,GitHub Actions,n-a,n-a,n-a,n-a,n-a,n-a,n-a,n-a,gh run list --commit <FULL 40-char SHA>,Section 2.2,inline
T-CI-02,2026-08-10T21:33Z,8be9dd56,c9a0e9fc,gh cli,win32,n-a,n-a,GitHub Actions,n-a,n-a,n-a,n-a,n-a,n-a,n-a,n-a,gh run list --workflow e2e-tests.yml --limit 20,I-04 / Section 6,inline
T-ACC-01,2026-08-10T21:58Z,8be9dd56,c9a0e9fc,gh cli,win32,n-a,n-a,GitHub Actions,60 buoys,n-a,GFS/ICON/EURO/open_meteo/persistence,n-a,+24/+48/+72 h,n-a,n-a,n-a,gh run view 31426692621 --log,Section 11 / BEFORE_AFTER E,inline
