input,perturbation,output,expected_coupling,observed,measured_evidence,repeatable,classification,architectural_explanation
"zoom","z5 -> z10 at FIXED coord -79.60/28.35, model EURO, hour 78 held constant","rendered wave-field colour at that coordinate","NONE (a forecast value at a fixed point must not depend on zoom)","DRIFTS MONOTONICALLY","RGB z5(35,168,128) z6(34,169,129) z7(32,171,129) z8(35,164,127) z9(54,153,128) z10(63,141,127); dR +28 dG -27 from z5 to z10","yes (6-point monotonic sweep)","UNEXPECTED COUPLING OBSERVED","Grid tier served per viewport is non-monotonic in zoom (see next row); the same point is interpolated from different-resolution grids"
"zoom","z8 / z9 / z10 same centre","served grid dimensions + nonzero cell count","MONOTONIC (finer viewport -> equal or finer grid)","NON-MONOTONIC","z8 = 5x5 nonzero 21 maxH 1.1519; z9 = 18x17 (306) nonzero 191 maxH 2.1559; z10 = 5x5 nonzero 21 maxH 1.1519","yes","UNEXPECTED COUPLING OBSERVED","Tier selection (mid_res_tier / global-grid fallback) appears to pick different products at adjacent zooms; strongest single lead for the colour drift above"
"model","GFS -> ICON -> EURO, 300 ms apart","in-flight request lifecycle","stale requests aborted","ABORTED CORRECTLY","2 ICON grid_series requests -> ABORT:AbortError at 303/302 ms; final model EURO = last click","yes","EXPECTED (healthy)","AbortController is wired per fetch generation in the marine fetcher"
"model + forecast_hour","EURO switch immediately followed by +1d x3 (hour 78)","rendered forecast hour vs requested hour","must match or show loading","MISMATCH FOR >=60 s, SILENT","__MARINE_RENDER_HOUR_PARITY__ = {parity:false, reason:'retained_previous', requestedHour:78, renderedDataHour:6} at T+12 s and T+60 s; renderedParticleCount 87616 unchanged; no spinner/badge in UI","yes (reproduced once, held 60 s, self-healed after viewport change)","UNEXPECTED COUPLING OBSERVED","Renderer retains previous field when the new grid is unusable; the retain decision is recorded but never surfaced to the UI"
"forecast_hour","10x +1h at 120 ms then 4x -1h, inside cached horizon","network requests issued","some refetch expected","ZERO REQUESTS","requestsIssued 0, aborted 0, pending 0; offset 0 -> +10 -> 6; parity true 6=6","yes","EXPECTED (strength)","Timeline scrubbing is served from a locally cached time series; scrub cost is zero network"
"pan (viewport centre)","Cocoa -> Portugal -> Morocco -> New York -> Cocoa, zoom 8 held","hour parity","NONE","RECOVERED parity at every site","parity true, 78 == 78 at all 4 sites","yes","EXPECTED","Viewport change forces a refetch that clears the retained-previous state"
"pan (viewport centre)","same tour","land/ocean masking","NONE","NONE (correct everywhere)","sea G-R = 152 (Portugal) / 143 (Morocco) / 137 (NY); land G-R = 0 / 11 / 10","yes","EXPECTED (strength)","OceanMask registers correctly at every tested geography"
"active_layer","Waves OFF->ON x6 cycles","GPU textures / buffers / VAOs / programs","balanced create-delete","BALANCED","textures 204/204, buffers 3114/3124, VAOs 1092/1092, programs 0/0, framebuffers 0/0","yes (6 cycles)","EXPECTED (strength)","Engine teardown releases every GPU resource it allocates; shaders compiled once at boot and reused"
"active_layer","Waves OFF->ON x6 cycles","event listeners","balanced add-remove","NET +5.4 PER CYCLE","661 added / 630 removed over 6 cycles","yes","UNEXPECTED COUPLING OBSERVED","At least one listener registered per layer activation lacks a cleanup path"
"active_layer","Waves OFF->ON x6 cycles","GPU allocation churn","low","HIGH BUT BALANCED","~519 buffers + 182 VAOs + 34 textures created AND destroyed per cycle","yes","EXPECTED-BUT-COSTLY","Recreate-per-activation rather than reuse; Gate-3 optimisation target, not a defect"
"active_layer","Waves OFF->ON x6 cycles","JS heap","bounded","INCONCLUSIVE","171/186/130/296/235/339/246 MB - GC-dominated, no monotonic trend","no","UNABLE TO MEASURE","Needs a 50+ cycle soak with forced GC; do NOT claim a heap leak from this data"
