Canonical ID,Title,Category,Intended Outcome,Source Audits,First Proposed,Most Recent Mention,Severity,Implementation State,Verification State,Current Disposition,Implementation Commits,Current Files / Symbols,Evidence At HEAD (this audit),Remaining Work,Release Gate,Dependencies,Program Objective ID,Audit 12.1 Disposition Note,Program 13.0 Status
WS-CAN-0001,"Marine fallback churn loop: clear the stale engine global, gate the backstop, add terminal truth stages",Defect repair,Bounded recovery; no unbounded re-drive of a disposed engine,11.0 R11-01 / Codex F-01,2026-08-09,2026-08-09,P2,Implemented and Active,Verified Current,Keep as Complete,512b1cb6..9fe18414,WebGLMarineEngine.js:3199-3200 (identity-guarded null); useMarineScrubSettle.js:91 (webglMarineFailed gate); weatherTruthTracker.js:428 (chainCancelled),All three seams present at HEAD; grep-verified,Mounted integration test with fake time was specified; not separately confirmed,Gate 2,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0002,Port the Python swell-energy-share refusal into the JS rating mirror,Scientific correctness,JS and Python agree across the 0.50 gate before SURF_PARTITIONS can flip,11.0 R11-02 / Codex F-04 / prior master,2026-08-08,2026-08-09,Release-blocker-on-flip,Implemented and Active,Verified Current,Keep as Complete,512b1cb6..9fe18414 (action 6),"frontend/src/components/map/surfRating.js:109-116,142 MIN_SWELL_ENERGY_SHARE = 0.50","Constant present, refusal present, mirrors surf_rating.py:444,475. SURF_PARTITIONS still defaults ""0""",Confirm the counter-pinning JS test was updated and goldens extended across 0.4525/0.50/0.5525,Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0003,"Stamp the running build on truth events, telemetry and the client-diagnostics POST",Observability,A truth event is release-attributable in isolation,11.0 R11-03 / Codex F-02,2026-08-09,2026-08-09,P2,Implemented and Active,Verified Current,Keep as Complete,512b1cb6..9fe18414 (action 5),"weatherTruthTracker.js:8,204; WeatherTelemetry.js:8,282",import { BUILD_VERSION } and build: BUILD_VERSION present in both,None,Gate 0,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0004,Serialize run/provenance fields onto grid_series frames + a per-response run census,Observability / data truth,Mixed-run pages are detectable at a glance,11.0 R11-04 (serialization half),2026-08-09,2026-08-09,High,Implemented and Active,Verified Current,Keep as Complete,512b1cb6..9fe18414 (action 4),"grid_series_helper.py:58-63 (run_time/upstream_provider/estimate_basis), :428-434 (run_census)",Fields and census present at HEAD,None for this half,Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0005,"True model-cycle identity: thread cycle_dt as run_time, keep wall-clock as ingested_at, key L1 by run",Data truth,"run_time means the model cycle, not the ingest wall clock",11.0 R11-04 (cycle half),2026-08-09,2026-08-12,High,Not Started,Verification Failed,Repair,-,store_helpers.py:81-86 _build_product_filename (valid_time only); normalizer.py:142-144; scheduler.py _pick_cycle discards cycle_dt,"PRODUCTION 2026-08-12: /api/weather/point returned run_time 2026-08-12T12:59:41Z for product gfs_marine_waves_hawaii_20260812T180000Z.json. The 18Z cycle cannot exist at 12:59Z: run_time is provably ingest time || 12.1 SCOPE FINDING 2026-08-13: NOT a one-sitting change and a PARTIAL fix is worse than none. run_time is non-Optional on THREE schemas, and ZERO callers pass run_time= into the normalizer, so normalizer.py:143-144 defaults every product in the system to now(). Threading cycle_dt now would leave new products carrying the model cycle while the 22,843 stored ones carry the ingest clock, WITH NOTHING ON THE WIRE TO DISTINGUISH THEM -- the one-quantity-two-meanings class. Staged plan required: (1) add ingested_at additively, (2) thread cycle_dt from the 7 _pick_cycle fetchers, (3) a provenance marker or the L1 run component so a consumer can tell which semantic a product carries, (4) cache rotation. Steps 3-4 are the owner-facing ones.",Thread cycle_dt from the fetchers; add a run component to the L1 filename; add ingested_at,Gate 1,,WS-OBJ-202,"RE-CONFIRMED 12.1 (LV-05) with a stronger control: four points at four geographies served from THREE different tiles all return run_time 2026-08-13T12:57:54.313295Z, identical to the microsecond. Independently ingested products cannot share a model cycle to six decimals. Also byte-identical on /spot-ratings (LV-06), so the defect spans two endpoints. wind_run_time is a second, different wall clock.","RE-CONFIRMED 2026-08-14 with the strongest control yet: 87 live spots share run_time 2026-08-14T12:50:59.674525Z to the MICROSECOND, and wind_run_time is a second differing wall clock (13:20:39.708395Z). 12:50:59 is not a 00/06/12/18Z cycle. STILL BLOCKED - staged plan required, steps 3-4 owner-facing. NEW: this also BLOCKS the run_time DISPLAY half (see BLOCKERS_AND_DECISIONS.md D-2)."
WS-CAN-0006,"Simulator model contract: thread a validated model enum through all six MCP tools, caches, overrides and provenance - or label every answer GFS-only",Contract / disclosure,A sim answer names the model it came from,11.0 R11-05 / Codex F-03,2026-08-09,2026-08-09,P2 latent / P1 on any model work,Not Started,No Evidence Located,Investigate,-,"sim_forecast.py:55 import-time MODEL; _FORECAST_CACHE key (lat4,lng4,valid_time); sim_observed.py:79,205-206 parity omits model",Not re-verified at HEAD by this audit,"Contract decision first (owner), then one atomic change",Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0007,Retire or pin the ICON >168 h client blend so one hour has one composition,Architecture consolidation,One composition per forecast hour,11.0 R11-06,2026-08-09,2026-08-09,High,Not Started,Verification Failed,Complete Remaining Work,-,"backendWeatherServiceClient.js:272 if (model === ""ICON"" && hourOffset > 168)",Client blend still the unconditional per-hour path at HEAD,"Serve the backend-baked estimates through the per-hour lane, or stamp identity on the blend",Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0008,Worker crash handling: onerror + reply ordering + stop zero-filling truncated arrays,Reliability,A worker crash cannot silently freeze a lane for the session,11.0 R11-07,2026-08-09,2026-08-09,High,Implemented and Active,Partially Verified,Complete Remaining Work,512b1cb6..9fe18414 (action 7),useGridWorker.js:42 onerror = onmessageerror; :68 re-create on next use,onerror present at HEAD,Reply-ordering test (R11-14.3) still specified and unconfirmed,Gate 3,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0009,HTTP status honesty on /conditions/*: stop returning 200 with an error body and stop leaking str(e),Reliability,A failure is a failure on the wire,11.0 R11-07 / prior master 3.13,2026-08-08,2026-08-09,High,Not Started,Verification Failed,Repair,-,"backend/routes/surf_data/conditions.py:94,172,176,212,216,270,274,327,331","NINE 200-with-error return sites at HEAD, four of them returning raw str(e)",Map failures to real status codes with a client-contract check first,Gate 1,,WS-OBJ-103,"Unchanged at HEAD: nine 200-with-error sites, four returning raw str(e). 12.1 ADDS: this same file serves /api/conditions/batch, the worst route in the system by median latency (WS-CAN-0064). Scope the two together - one visit to conditions.py should close both.",
WS-CAN-0010,Measure-or-refuse on the three fabricated status surfaces,Observability,A health surface never reports a number it did not measure,11.0 R11-08,2026-08-09,2026-08-12,Medium (High trust),Fully Delivered,Verified Current,Keep as Complete,512b1cb6..9fe18414 (action 7),"routes/weather.py:677-700 (status now refuses, with a pointer); routes/admin/system.py:486-523 (api-metrics now reads request_telemetry); STILL OPEN routes/admin/system.py:208","CLOSED 2026-08-13. The THIRD and last fabricated status surface. error_rate = 0.5 # Placeholder (invented 9857405a, 2026-05-02) fed a user-visible health verdict, so /admin/system/health reported a healthy API during any outage. Extracted to measured_error_rate_percent(), mirroring the already-repaired sibling at system.py:486: serve request_telemetry 5xx rate, return None when telemetry is off or the process is fresh, and the consumer now emits status not_instrumented rather than collapsing None into healthy. 4 tests; mutation to the 0.5 placeholder fails them.",None. All three R11-08 surfaces are now measure-or-refuse.,Gate 1,,WS-OBJ-506,"system.py:208 error_rate = 0.5 # Placeholder still live at HEAD. 12.1 ADDS a FOURTH fabricated surface of the same shape, client-side: WS-CAN-0063. Grade them together.",
WS-CAN-0011,dt-normalized particle advection in both WebGL engines,Performance / correctness,Motion is hardware-independent,11.0 R11-09,2026-08-09,2026-08-09,Medium,Not Started,No Evidence Located,Defer,-,WebGLWindEngine.js:540-544; WebGLMarineEngine.js:2166,No dt/deltaTime term found in WebGLWindEngine.js at HEAD,"Prototype behind a kill switch pinning dt=1, with an A/B",Gate 6,WS-CAN-0037,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0012,"Port marine four shipped invariants to the wind engine (device tier, reduced-motion, OOB cull, in-place reseed)",Accessibility / correctness,The two engines stop drifting apart,11.0 R11-09,2026-08-09,2026-08-09,Medium,Partially Implemented,Partially Verified,Complete Remaining Work,2e20122d..086ee773 (device-tier pool + prefers-reduced-motion),WebGLWindEngine.js,Two of four ported per the 11.0 batch-2 receipt; OOB cull and in-place reseed not re-verified here,Port the remaining two; confirm all four,Gate 3,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0013,"GPU lifecycle hygiene batch (Promise-as-geojson, score-texture dispose, rollback, accounting, texture units 0-6)",Defect repair,"No mask poisoning, no per-dispose leak, no accounting drift",11.0 R11-10,2026-08-09,2026-08-09,Medium,Implemented and Active,Verified Historically but Not Current,Keep as Complete,512b1cb6..9fe18414 (a) + 2e20122d..086ee773 (b/d/e),WebGLMarineLayer.js:664; disposeEngine; WebGLStateIsolation,Receipted in 11.0 batches 1-2; not independently re-verified by this audit,Independent re-verification of (c) the encoder error-rollback,Gate 2,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0014,Populate the numeric resolution field on point responses,Data truth,Consumers can tell a 0.25 grid from a 10 degree resample,11.0 R11-10 / Codex F-08 / 11.2 RC-05,2026-08-09,2026-08-12,Medium,Fully Delivered,Verified Current,Keep as Complete,-,NormalizedPointResponse.resolution; point_resolution.py deduce_grid_resolution exists but is not stamped on the response,"CLOSED 2026-08-13. res_val was ALREADY computed at point_resolution.py:279 for a bounds check and then discarded two lines before the response was built. Fixed at the SINGLE PRODUCER rather than the 3 call sites: sampler.py now owns deduce_grid_resolution (point_resolution delegates, so the quantity has one definition not two) and every NormalizedPointResponse construction stamps resolution_or_none(product.grid). 0.0 is deduce_grid_resolution's could-not-tell and reaches the wire as None, never as a fabricated 0-degree grid. 5 tests incl. a class guard asserting EVERY response construction stamps it, with a positive control so a rename reddens rather than passes vacuously; mutations (un-stamp a site / emit 0.0) each fail it.","None on the producer. FOLLOW-UP, not blocking: backendWeatherServiceClientDiag.js:203-210 still derives resolution client-side with a resolutionSource label. Retire that derivation only after a deployed payload is confirmed non-null, so the fallback outlives the bug rather than the reverse.",Gate 1,,WS-OBJ-203,RE-CONFIRMED 12.1 (LV-05): resolution null at ALL FOUR geographies including the two inside_regional_tile responses where the value is known to the resolver. Unchanged one day after 12.0.,
WS-CAN-0015,"Readout and legend truth batch (rain unit label, wind legend from the shader ramp, equal-value ticks, cross-fall slot sampling, one nearshore display policy, ft/m in infobox cards, radar legend)",User-facing truth,"The number, the colour and the label agree",11.0 R11-11,2026-08-09,2026-08-12,Medium (High for label errors),Partially Implemented,Partially Verified,Complete Remaining Work,2e20122d..086ee773 (rain label); 6568d94b (wind legend + equal-value ticks),heightUnits.js:9 M_TO_FT=3.28084 (drifted 3.281 retired 2026-08-09); MapWeatherControls.js:48-50,Two of seven shipped and receipted; the ft/m infobox threading and cross-fall slot sampling remain named open clocks in project memory,"Remaining five items, chiefly cross-fall slot-URL sampling and the single nearshore display policy",Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0016,"Forecast-hour zero: unify on floor, derive the scrubber label from the served frame, store base_time per page",User-facing truth,The label describes the frame on screen,11.0 R11-12,2026-08-09,2026-08-09,Medium,Not Started,No Evidence Located,Defer,-,grid_series_helper.py:322; spot_ratings.py:573; getSharedValidTime; MapWeatherControls.js:327-331,Not re-verified at HEAD by this audit,Prototype - it changes visible label behaviour,Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0017,"Pipeline integrity chain: end-to-end checksum, byte-count/Range validation, register-after-upload-confirm, L1 revalidation, non-silent reconcile, working retention prune, CAS on the spot-ratings key",Reliability,A corrupted or truncated product cannot be served as authoritative,Prior master 3.13 / 11.0 R11-13,2026-08-08,2026-08-12,Medium (compounding),Not Started,Verification Failed,Repair,-,_fetch_message_bytes x3; store.py; store_helpers.py,"Only two hashlib uses in the whole backend pipeline: an md5 rollout bucket and store_helpers.py:427, which is a manifest-restore SKIP optimisation, not a product integrity checksum","The whole chain; start with byte-count/Range validation (one site, three copies)",Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0018,Executed-GL pixel harness: a real readPixels oracle that fails on a mirrored or blank field,Test coverage,"Shader output is asserted, not source-substring-matched",11.0 R11-14,2026-08-09,2026-08-09,Medium,Implemented but Inactive,Verification Failed,Complete Remaining Work,ece2c36a,"frontend/e2e/weather-simulation.spec.js:541-578, frontend/e2e/pngPixels.js","The oracle EXISTS and is written, but line 578 is test.fixme(...) with an in-file comment: ""ships as DOCUMENTED WORK-IN-PROGRESS, never reds CI"". It cannot fail. 1 fixme vs 5 live tests in the file","Reach three headed greens and un-fixme it, or delete it. Until then it is a test that cannot fail",Gate 3,,WS-OBJ-502,"Still 2 test.fixme occurrences at HEAD. 12.1 CONFIRMS the slot is dead from the other side: the now-green E2E lane reports ""52 tests, 47 passed, 5 skipped"" - the oracle is inside the skipped 5 (LV-02).",
WS-CAN-0019,Canvas-hash assertion that changing the hour changes the rendered frame,Test coverage,The four hold/dedup mechanisms cannot jointly freeze the picture undetected,11.0 R11-14,2026-08-09,2026-08-09,Medium,Implemented but Inactive,Verification Failed,Complete Remaining Work,ece2c36a,Same fixme block,Folded into the same test.fixme,Same as WS-CAN-0018,Gate 3,WS-CAN-0018,WS-OBJ-502,Folded into the same fixme block. See WS-CAN-0018.,
WS-CAN-0020,"Client-to-server telemetry uplink (fixed cardinality, modelled on request_telemetry)",Observability,Frontend incidents stop being diagnosed by asking a user to paste console output,11.0 R11-15,2026-08-09,2026-08-12,Medium (highest-leverage single instrument),Not Started,Verification Failed,Complete Remaining Work,-,TruthOverlay.js:141 is still the only client-to-server transport in the system,Grep at HEAD finds exactly one fetch to /weather/client-diagnostics; both halves of the uplink exist unbuilt,Build it; the server-side aggregation pattern already exists,Gate 4,,WS-OBJ-504,BLOCKED BY A NEW PREREQUISITE: WS-CAN-0063. TruthOverlay.js:141 is the only transport and its fps field fabricates. Do not scale a transport that reports 60 when the render is frozen.,
WS-CAN-0021,Rotate the two committed credentials in BRAIN_RULES.md and move them to env,Security governance,No live credential in git history-reachable content,11.0 R11-16 / Codex F-05,2026-08-09,2026-08-12,P1 governance,Not Started,Verification Failed,Repair,-,BRAIN_RULES.md,The file still matches credential patterns at HEAD (values not reproduced here). History retains them regardless of any future edit,"OWNER: rotate provider-side, move to env, secret-scan all refs",Gate 0,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0022,Render-lifecycle residuals: cancel the always-on WeatherTelemetry FPS RAF loop; userTier zombie shutdown; cross-component canvas clear; persisted force_*_fallback keys,Defect repair,No module-import RAF that runs on every screen forever,11.0 R11-17,2026-08-09,2026-08-12,Low-Medium,Not Started,Verification Failed,Repair,-,WeatherTelemetry.js:397-399,requestAnimationFrame(loop) at :397 and :399 with ZERO cancelAnimationFrame anywhere in the file at HEAD,Add a cancel path; then the other three residuals,Gate 2,,WS-OBJ-301,"FIRST LIVE RUNTIME CONFIRMATION 12.1 (LV-04): __RAW_GPU__.activeRafCount = 1 with activeLayers = [] on /map. A RAF loop runs with no weather layer active, exactly as the module-import side effect predicts. Previously grep-only.",
WS-CAN-0023,Weather-sim parity: disclose reference_size_m and grade on the glyph disclosed reference,Scientific correctness,"A parity red means a composition difference, not a moving-input artifact",11.0 R11-18,2026-08-09,2026-08-12,Medium,Implemented and Active,Verified Current,Keep as Complete,32bd579c; fee36d57..6568d94b,Sim parity probe; glyph payload reference_size_m,Production point response at HEAD carries reference_size_m: 1.789. Sim Parity Monitor GREEN on its 2026-08-12T18:09Z scheduled run,None - but see WS-CAN-0024 for the surviving band/glyph question,Gate 1,,WS-OBJ-201,RE-VERIFIED 12.1 (LV-06): reference_size_m present on all 24 spots of a live bbox (0.799-0.867).,
WS-CAN-0024,Isolate the per-cell composition sub-term behind the close-zoom rating band vs spot glyph divergence,Scientific correctness,The band and the glyph answer the same question or say they do not,11.0 S16 measurement / queue E#1,2026-08-09,2026-08-12,Medium,Not Started,Partially Verified,Investigate,-,grid_resolver_surf.py:104 reference_for; surf_point.resolve_surf_geometry,Measured 2.3-2.7x over-read at close zoom across three spots; four candidate causes killed by measurement; the binding sub-term is still not isolated,A per-cell geometry dump alongside the score. DO NOT TUNE EITHER LANE FIRST,Gate 1,,see OBJECTIVE_TO_TASK_TRACEABILITY.csv,Carried forward unchanged from Audit 12.0; not re-verified by Audit 12.1.,
WS-CAN-0025,External uptime probe on /api/health and the monitor endpoint,Observability / reliability,Instrument delivery is itself measured,11.0 action 1 (P0),2026-08-09,2026-08-12,P0,Implemented but Inactive,Verified Current,Complete Remaining Work,uncommitted working tree 2026-08-12 (2 files),"backend/scripts/uptime_probe.py (231 LOC, stdlib only); backend/tests/test_uptime_probe.py (13 tests, estate lane)","BUILT AND PROVEN LIVE 2026-08-12. Three-way discrimination against real targets, not fixtures: production -> OK exit 0; example.com (live host, wrong API) -> RED exit 1 'SERVICE DOWN HTTP 404'; unreachable host -> REFUSED exit 3. Live production run: healthy, build 3bc776d9, 706 ms, 22114 products, calibration age 0.5 h. TIMEOUT IS MEASURED: /api/health p50 1.0 s but p99 30.4 s (n=113), so liveness times out at 60 s (~2x p99) and latency WARNS at 10 s but never pages -- a 30 s timeout would page on the platform's own tail. GRADES THE BODY, not the status code: zero products with HTTP 200 is a total outage a naive check reports as healthy. DEFECT FOUND IN ITSELF: urlopen RAISES on 4xx/5xx, so the first _get turned every 503 into 'unreachable' and would have answered REFUSED for the one thing the probe exists to detect. The positive-control test was GREEN throughout -- it proved the assertion, nothing could reach it with a 503. Fixed and pinned by a mutation-verified regression test (reverting the fix fails exactly that test, 1 failed / 12 passed). 13/13 pass; estate lane claims the file (tracked 490->491); LOC ratchet clean","OWNER, one action: create a free heartbeat URL (healthchecks.io / cronitor / Better Stack) and schedule the probe ANYWHERE THAT IS NOT GITHUB ACTIONS with --ping-url <url>. The dead-man's-switch inversion is what makes the alerting stop depending on this probe, this repo, this machine or GitHub -- which is the entire point of the task. A GitHub-hosted probe would reproduce the defect it exists to measure (cron delivery 5-32% of nominal)",Gate 0,,WS-OBJ-505,COMMITTED post-12.0 at f8825291 (the 12.0 register recorded it as uncommitted). Still not scheduled anywhere off GitHub. OWNER: one heartbeat URL.,
WS-CAN-0026,Add a persistence and Open-Meteo paired row to the accuracy monitor RED criterion,Scientific validation,The gate grades the quantity that matters,11.1 SOFTWARE_JACOBIAN_DELTA / T-CP6-04,2026-08-10,2026-08-12,HIGH,Fully Delivered / Operational,Verified Current,Complete - Awaiting Owner Decision,uncommitted working tree 2026-08-12 (3 files),"forecast_accuracy_monitor.py: SKILL_FLOOR_SOURCES / PUBLIC_REFERENCE_SOURCES, _gradeable(), _loses(), evaluate_scored_segment(paired=, cfg=); PAIRED_GRACE_DEFAULT=2026-08-22T00:00:00Z; kill ACCURACY_PAIRED_GATE=0; .github/workflows/forecast-accuracy-monitor.yml passes 4 new tunables","BUILT AND TESTED 2026-08-12. 10 new tests (T1..T7) all failed before the change and pass after; 22/22 monitor + 35/35 forecast_skill green; LOC ratchet ""No new violations""; workflow YAML parses. RV-05 replay on REAL production rows: 08-10 data (run 31426692621) = OK armed and unarmed (we BEAT persistence then, 0.181 vs 0.199); 08-12 data (run 31606511901) = WARN today, RED once armed, on the +24h skill floor. Controls: kill switch OK, positive control OK, missing persistence row REFUSED, +72h persistence correctly ungradeable (POPULATIONS DIVERGE 371 vs 1728). Scientific control RV-03 vs RV-06 at identical valid_time: 56 of 57 keys byte-identical, 0 forecast-bearing differences, surf_height_m 0.9642 unchanged","OWNER DECISION on the persistence floor before 2026-08-22: on 08-12 data the armed gate PAGES (+24h, delta +0.007 m, win 46%). Per the packet stop condition the threshold was NOT tuned until it passed. Then: (1) observe one cron cycle in the warn-only window, (2) commit + push (every push to dev is a production backend deploy - batch it), (3) confirm the first armed scheduled run",Gate 1,,WS-OBJ-501,"CORRECTION TO 12.0: the code was COMMITTED at 2ac9631f 2026-08-12T16:22:20, FIFTY-TWO SECONDS before 12.0 own publication commit 3bc776d9 - see CF-02. The register field ""uncommitted working tree"" was false when written. LIVE AT HEAD (LV-03): run 31710210215 emits SKILL FLOOR BREACHED at +24h [pages after 2026-08-22]. AND THE DEFICIT WIDENED: persistence +24h delta +0.007 -> +0.015, win 46% -> 44%, on n grown 1790 -> 2483. 12.0 ""the gap is narrowing"" is REFUTED. Only an OWNER threshold decision remains.",
