Objective ID,Title,Reliable Baseline Requirement,SOTA Core Requirement,Advanced Differentiation Requirement,Current State,Evidence,Remaining Gap,Canonical Tasks Remaining,Dependencies,Gate,Engineering Uncertainty,Current Decision,12.2 Change,12.2 Evidence
WS-OBJ-201,One forecast composition,REQUIRED,REQUIRED,foundation,CERTIFIED COMPLETE - CONSUMER CENSUS MISSING,LV-06,attach a consumer census; 2 consumers found outside it,-,-,Gate 1,none,PRESERVE,SCOPE CORRECTED,"scheduler/surf_alerts.py (LIVE every 15 min, 0 quality refs) and GET /api/surf-conditions (height, no quality, no model identity)"
WS-OBJ-501,Accuracy gate grades the right quantity,not required,REQUIRED,prerequisite,CERTIFIED COMPLETE - SCOPE IS THE MODEL INPUT,LV-03,a successor gate for the SERVED nearshore quantities,WS-CAN-0054 (arming),owner decision by 08-22,Gate 1,none,OWNER DECISION,SCOPE CORRECTED,"buoy_calibration.py:410-413 resolves at the BUOY deliberately. report_calibration.py: live n_reports 0, n_archive 60000 at its cap, all MAEs null, read by one diagnostic route, cannot refuse"
WS-OBJ-705,CI and E2E lane integrity,not required,REQUIRED,-,PARTIAL - REOPENED,LV-02,the closure criterion cannot express flaky,-,-,Gate 3,none,PRESERVE,REOPENED,"17 flaky across 6 runs, 100% [Desktop Safari], 5 of them weather tests; workflow conclusion is success every time"
WS-OBJ-503,Runtime evidence capture,not required,REQUIRED,-,CERTIFIED COMPLETE - SCOPE CORRECTED,LV-08,none for the E2E lane; the certificate must record that this was the SECOND .webm lane,WS-CAN-0027,WS-CAN-0059 (DISCHARGED),Gate 3,Very Low,CLOSE NOW - authorized mission,CLOSED + SCOPE,181b7ba7. marine-nightly has produced .webm nightly since 2026-07-18 and appears 0 times in either register
WS-OBJ-101,Every activated layer paints,REQUIRED,REQUIRED,-,CERTIFIED COMPLETE,handoff z-trace,none,WS-CAN-0061,-,Gate 3,Low,CLOSE NOW,CLOSED,f3fe2c85 - ocean mask anchored below the basemap ocean; certificate never issued because it closed after 12.1 published
WS-OBJ-506,Measure-or-refuse on every status surface,REQUIRED,REQUIRED,-,CERTIFIED COMPLETE,LV-04,none for the 4 named surfaces; a FIFTH instance found,"WS-CAN-0010, WS-CAN-0063",-,Gate 1,Very Low,CLOSE NOW,CLOSED,69ac3ddb + 172f66aa. NEW: three __RAW_GPU__ counters are write-once literals cited as live runtime measurements (F12.2-19)
WS-OBJ-203,Resolution disclosure,REQUIRED,REQUIRED,-,CERTIFIED COMPLETE,LV-05,none,WS-CAN-0014,-,Gate 1,Low,CLOSE NOW,CLOSED,"172f66aa - resolution was computed, used for a bounds check, and discarded two lines before the response"
WS-OBJ-202,Model-run truth,REQUIRED,REQUIRED,-,HALF SHIPPED,LV-05,thread cycle_dt; add ingested_at; key L1 by run,WS-CAN-0005,-,Gate 1,Medium,NEXT,unchanged,
WS-OBJ-301,Bounded lifecycle,REQUIRED,REQUIRED,-,ONE VIOLATION,LV-04,add a cancel path to one RAF loop,WS-CAN-0022,-,Gate 2,Very Low,NEXT,unchanged,
WS-OBJ-207,Geometry-quality disclosure,REQUIRED,REQUIRED,-,DIAGNOSED NOT STARTED,LV-06,make confidence a function of geometry_readiness,WS-CAN-0062,-,Gate 1,Low,NEXT,unchanged,
WS-OBJ-302,Bounded latency,not required,REQUIRED,-,NOT STARTED,LV-07,"TWO routes breach 10 s, not one","WS-CAN-0064, WS-CAN-0009",-,Gate 5,Medium,NEXT,EXPANDED,conditions/batch 11 of 11 over 10 s max 36.0 s (3rd consecutive audit); grid_series 4 of 22 over 10 s max 17.9 s
WS-OBJ-206,One composition per forecast hour,REQUIRED,REQUIRED,-,NOT STARTED,12.0 §7,serve the bake through the per-hour lane,WS-CAN-0007,-,Gate 1,Medium,LATER,unchanged,
WS-OBJ-103,Failure detection and recovery,REQUIRED,REQUIRED,-,DISCLOSURE ONLY,-,re-run 11.2 failure injection at HEAD,"WS-CAN-0036, WS-CAN-0009",-,Gate 2,Low,LATER,unchanged,
WS-OBJ-102,Projection and global correctness,REQUIRED,REQUIRED,-,OPERATIONAL UNCERTIFIED,LV-05,synthetic canonical fields through the real render path - STILL THE ONLY THING THAT GRADES CORRECTNESS,WS-CAN-0028,WS-CAN-0027,Gate 3,Medium,LATER (after 0027),UNCHANGED - blocker cleared,"WS-CAN-0027 landed, so its stated blocker is gone. This audit's 72/72 and 24/24 pixel cells grade reachability, NEVER value correctness"
WS-OBJ-502,Regression protection that can fail,not required,REQUIRED,-,HALF CLOSED THIS CYCLE,LV-02,complete or delete the test.fixme block,"WS-CAN-0018, WS-CAN-0019",WS-CAN-0027,Gate 3,Medium,LATER,unchanged,
WS-OBJ-205,Deterministic product selection,REQUIRED,REQUIRED,PREREQUISITE,NOT STARTED,11.2 RC-03,make selection deterministic and disclose the tier,WS-CAN-0033,-,Gate 1,Medium,LATER,unchanged,
WS-OBJ-504,Client-to-server transport,not required,REQUIRED,-,NOT STARTED + a new prerequisite,LV-04,fix 0063 (DONE) then build the uplink WITH override + fallback state in the payload,"WS-CAN-0063, WS-CAN-0020",WS-CAN-0063 first,Gate 4,Medium,LATER,EXPANDED,WS-CAN-0063 closed 69ac3ddb. The payload carries neither the 261 override states nor webgl_marine_fallback_engaged
WS-OBJ-204,Readout and legend truth,REQUIRED,REQUIRED,-,2 of 7 shipped,-,five items chiefly cross-fall sampling and ft/m threading,WS-CAN-0015,-,Gate 1,Low,LATER,unchanged,
WS-OBJ-304,Pipeline data integrity,not required,REQUIRED,-,ABSENT,12.0,"byte-count/Range validation, the chain, AND the git-tracked forecast_cache serving fallback",WS-CAN-0017,-,Gate 1,Medium,LATER,EXPANDED,backend/uploads/forecast_cache/*.json are git-tracked and act as a live serving fallback
WS-OBJ-401,One authority per responsibility,not required,REQUIRED,-,PARTIAL,convergence map,"3 accidental duplicates, 2 bypasses","WS-CAN-0016, 0022, 0033",-,Gate 2,Medium,LATER,unchanged,
WS-OBJ-402,Exit every dual-path migration,not required,REQUIRED,-,NO EXIT CONDITIONS EXIST,convergence map,a dated arm-or-delete per path - and the population is larger than 3,"WS-CAN-0007, 0032, 0043",-,Gate 4,Low,LATER - governance not engineering,EXPANDED,26 default-OFF behavioural gates in the runtime override surface resemble the three named dual paths
WS-OBJ-303,Bounded memory,not required,REQUIRED,-,MEASURABLE NOW - one load run from closure,LV-01,one deliberate sustained-load run,-,-,Gate 5,Low,VERIFY NOW,READY,peak_rss 1231.6 MB of a 2048 MB cgroup limit via ru_maxrss. NOTE the 2026-07-24 incident was a 512 MB box - cross-machine comparison is invalid
WS-OBJ-505,Instrument delivery is measured,not required,REQUIRED,-,BUILT NOT DEPLOYED,RV-13,one heartbeat URL AND point healthCheckPath at the 503-capable endpoint,WS-CAN-0025,OWNER,Gate 0,none,OWNER DECISION,EXPANDED,/api/health/data already 503s on a critical corpus and data-health-monitor.yml polls it every 30 min - neither appears in any register (control: uptime_probe = 1)
WS-OBJ-104,Release delivery,REQUIRED,REQUIRED,REQUIRED,FROZEN 85 DAYS,SV-BUILD,one owner decision,WS-CAN-0039,OWNER,Gate 0,none,OWNER DECISION,UNCHANGED - 85 days,prod SW 3bd38a83 read live; dev SW 791fdf78 = HEAD exactly. This row bounds the USER REACH of every frontend finding in Audit 12.2
WS-OBJ-703,Credential hygiene,not required,REQUIRED,-,NOT STARTED,-,rotate provider-side and move to env,WS-CAN-0021,OWNER,Gate 0,none,OWNER DECISION,unchanged,
WS-OBJ-704,Worktree hygiene,not required,supporting,-,WORSE - 7 registered,git worktree list,prune five orphans deliberately,WS-CAN-0055,session owners,Gate 0,none,OWNER DECISION,unchanged,
WS-OBJ-701,Canonical register with persistent IDs,not required,supporting,-,PARTIAL,CF-02,adopt the 12.1 register,"WS-CAN-0038, 0056",-,Gate 0,none,CLOSE NOW - this audit does it,unchanged,
WS-OBJ-702,One release-gate taxonomy,not required,supporting,-,NOT STARTED,-,map both historical matrices once,WS-CAN-0056,-,Gate 0,Low,CLOSE NOW - this audit does it,unchanged,
WS-OBJ-601,Input coverage expansion,not required,not required,REQUIRED,PRICED NOT STARTED,"RV-12, LV-05",+3 to +5 regions after one runtime measurement,WS-CAN-0058,cadence measurement,Gate 1,Medium,NEXT,unchanged,
WS-OBJ-602,Nearshore physics completion,not required,not required,REQUIRED,PARTIAL,tide samples 1-6,tide owner decision; band/glyph sub-term,"WS-CAN-0053, 0024",WS-CAN-0033,Gate 7,High,DEFER,unchanged,
WS-OBJ-603,Model selection,not required,not required,OPTIONAL,HELD OPEN CORRECTLY,"RV-08..11, LV-03",a pooled census spanning days with a storm,WS-CAN-0057,calendar,Gate 1,High,DO NOT FLIP,unchanged,
WS-OBJ-604,AI-assisted correction,not required,not required,RESEARCH,BLOCKED AT THE PREMISE,LV-03,a validated baseline,"WS-CAN-0049, 0051",WS-OBJ-501 + a sustained win,Gate 8,Very High,DO NOT START,unchanged,
WS-OBJ-605,GPU and data modernization,not required,not required,RESEARCH,REJECTED / DEFERRED,12.0 §15,a measured bottleneck,"WS-CAN-0046, 0047, 0050",WS-CAN-0037,Gate 6,Very High,DO NOT START,unchanged,
WS-OBJ-001,Reliable visualization (L1),REQUIRED,REQUIRED,-,PARTIAL,-,rolls up 101/102/103/104,see children,-,-,-,see children,unchanged,
WS-OBJ-002,Scientific trust (L1),REQUIRED,REQUIRED,-,PARTIAL,-,rolls up 201-207,see children,-,-,-,see children,unchanged,
WS-OBJ-003,Bounded runtime (L1),not required,REQUIRED,-,PARTIAL,-,rolls up 301-304,see children,-,-,-,see children,unchanged,
WS-OBJ-004,Single-authority architecture (L1),not required,REQUIRED,-,PARTIAL,-,rolls up 401-402,see children,-,-,-,see children,unchanged,
WS-OBJ-005,Objective validation (L1),not required,REQUIRED,prerequisite,PARTIAL,-,rolls up 501-506,see children,-,-,-,see children,unchanged,
WS-OBJ-006,Nearshore differentiation (L1),NOT REQUIRED,NOT REQUIRED,REQUIRED,PARTIAL,-,rolls up 601-605,see children,-,-,-,see children,unchanged,
WS-OBJ-007,Program truth (L1),not required,supporting,-,PARTIAL,-,rolls up 701-705,see children,-,-,-,see children,unchanged,
WS-OBJ-706,The program registers the SYSTEM and not only the WORK,not required,REQUIRED,foundation,ABSENT,12.2 LV12-2-01,an instrument inventory the registers cite,"WS-CAN-0067, WS-CAN-0070",-,Gate 0,none,ADD - the structural finding,NEW,"3 working instruments with 0 register presence, each measured with a paired positive control"
WS-OBJ-707,Every runtime path that renders forecast data is enumerated and graded,REQUIRED,REQUIRED,-,ABSENT,12.2 LV12-2-04,contract + test + disclosure + reset path for the Canvas2D stack,WS-CAN-0069,WS-CAN-0039 bounds reach,Gate 2,Medium,ADD,NEW,"MarineParticleCanvas / WindParticleOverlay / useWebGLGuardrail: 0 in both registers, 0 test files (control: WebGLMarineEngine = 30)"
WS-OBJ-708,The runtime override surface is inventoried and reportable,not required,REQUIRED,-,ABSENT,12.2 LV12-2-03,generated inventory + CI diff + report non-default state,WS-CAN-0068,-,Gate 4,Low,"ADD - inventory only, NO deletions",NEW,261 overrides / 197 with no test / 5 visible to the program / 2 change a displayed forecast quantity
WS-OBJ-709,Both binding UI mandates have an owner in the objective program,not required,supporting,-,ABSENT,CLAUDE.md,adopt both mandates with a measured debt baseline,WS-CAN-0071,-,Gate 0,none,ADD,NEW,"THREE THEMES (2026-07-12) and ACCESSIBILITY (2026-07-14) are named by no objective, task or SOTA row"
