Canonical ID,Original Identifier(s),Original Wording (source),Source Document,Repeated In,Times Restated,Normalization Action
WS-CAN-0001,Codex F-01; R11-01; 11.0 action 3,Live marine fallback enters an unbounded cross-controller recovery loop,OneDrive CODEX_FORENSIC 2026-08-09; MASTER_WEATHER_SIMULATION_REPORT_11.0 S4/S8,"11.0 x3 (S4, S8, S16)",3,"Merged: one root cause, three cooperating seams. Kept as ONE task because the fix is atomic (a null engine still passes the empty check)"
WS-CAN-0002,Codex F-04; R11-02; 11.0 action 6; prior-master JS-mirror item,JS rating mirror diverges 63.5 (re-measured 64.6) points when SURF_PARTITIONS flips,Codex; 11.0 S4/S8,MASTER-AUDIT-11.0; 11.0; memory router,3,Merged. Severity restated from 63.5 to 64.6 after re-measurement; the underlying task is identical
WS-CAN-0003,Codex F-02; R11-03; 11.0 action 5,Runtime artifact and chain terminality cannot be tied to a release,Codex; 11.0 S4,11.0 x2,2,SPLIT from the Codex headline. Codex claim was overbroad (release identity does exist); only the truth/telemetry payload family lacked the stamp
WS-CAN-0004,R11-04 (serialization half); 11.0 action 4,Series frames strip run_time / upstream_provider / estimate_basis,11.0 S8,11.1 (run_census caught a real mixed page),2,"SPLIT from WS-CAN-0005. Different risk (LOW vs MEDIUM), different files, independently verifiable"
WS-CAN-0005,R11-04 (cycle half),"run_time is ingest wall-clock, never the model cycle; L1 filename omits run",11.0 S8,11.1; 11.2 RC-03 adjacency,2,SPLIT from WS-CAN-0004 per the register rule: two independently verifiable outcomes
WS-CAN-0006,Codex F-03; R11-05,The simulator cannot reproduce model selection; cache keys lack model,Codex; 11.0 S4/S8,11.0 x2,2,"Merged and RESTATED as single-model-per-process. Codex sub-claim (b) cited _cached_live_forecast, a symbol git log -S proves never existed"
WS-CAN-0009,R11-07a; prior-master 3.13b/c/j/k,conditions.py returns HTTP 200 with an error body,MASTER-AUDIT-11.0; 11.0 R11-07,MASTER-AUDIT-11.0; 11.0; 11.0 S15 Phase 1,3,Merged into one route-honesty task
WS-CAN-0010,R11-08,Three backend status surfaces serve hardcoded/simulated numbers as measured,11.0 S8,11.0 x2,2,"Kept as ONE task (three surfaces, one class). Two of three shipped; the register tracks the third"
WS-CAN-0014,Codex F-08 residual; R11-10 residual; 11.2 RC-05,The numeric resolution field is declared but never populated,Codex; 11.0 S4/S8; 11.2 S16,Codex; 11.0 x2; 11.2,4,"MERGED ACROSS AUDITS. 11.2 RC-05 (""the client discards resolution"") and 11.0 R11-10 (""the backend never populates it"") are the SAME field, opposite ends. The consumer end shipped; the producer end did not"
WS-CAN-0017,Prior-master 3.13e/f/h/i; R11-13,"No checksum, no byte-count validation, register-before-confirm, L1 never revalidated",MASTER-AUDIT-11.0; 11.0 S8,MASTER-AUDIT-11.0; 11.0; 11.0 S15 Phase 3,3,"Merged as ONE compounding integrity chain, per 11.0 own consolidation"
WS-CAN-0018,R11-14(1); 11.0 action 8; 11.0 SOTA row,No executed-GL or pixel assertion anywhere,11.0 S8/S12/S16,11.0 x4,4,Kept SEPARATE from WS-CAN-0019 (different oracle) even though both landed in one test.fixme block
WS-CAN-0025,11.0 action 1 (P0); 11.0 S17 step 2; 11.1 carry,External uptime probe on /api/health,11.0 S16/S17,11.0 x3; 11.1; 11.2,5,"ZOMBIE. Ranked P0 and ""the cheapest single stability purchase left""; never started"
WS-CAN-0026,11.1 T-CP6-04/05; 11.1 SOFTWARE_JACOBIAN_DELTA row; 11.1 OPEN_EVIDENCE_GAPS,The gate is green on the headline while the paired head-to-heads say the product lane loses,11.1 SOFTWARE_JACOBIAN_DELTA.csv,11.1 x4,4,"ZOMBIE. 11.1 own text: ""Adding a persistence + Open-Meteo row to the RED criterion is still unstarted"""
WS-CAN-0027,"11.0 SOTA B-01; 11.1 G-02; 11.2 evidence gap; 11.4 ""Recordings reviewed 0""",Zero video/screencast configuration; the failures this project chases are temporal,11.0 S(SOTA),11.0; 11.1; 11.2; 11.4,4,ZOMBIE and the program largest evidence gap. Named by 11.0 as the single largest evidence gap and re-declared by all three successors
WS-CAN-0031,11.4 Gate C; 11.4 packet Stages 1-2,The two star-marked assertions compare an array to a copy of itself,11.4 EXECUTIVE + AUTHORIZED_NEXT_GATE_PACKET,11.4 x3,3,CLOSED BEFORE PUBLICATION. Fixed at ecfc1077 12:43; the packet authorizing it was published at 13:05
WS-CAN-0033,"11.0 SOFTWARE_JACOBIAN_MATRIX ""strongest single lead""; 11.2 RC-03",Non-monotonic z8/z9/z10 tier selection changes the served value,11.0 Jacobian; 11.2 S16,11.0; 11.2 x2,3,"MERGED. 11.2 itself records the correction: RC-03 is not novel, and that is worse - it survived the whole 11.1 window"
WS-CAN-0046,MASTER-AUDIT 9.0/10.0/11.0 Zarr rows; 11.2 DO_NOT_ADVANCE,Migrate to cloud-optimized chunked formats,MASTER-AUDIT series,9.0; 10.0; 11.0; 11.2; 11.0 S17,5,"Merged into ONE rejection. Preserved: the objective was never ""add Zarr"", it was ""reduce forecast-data access latency"" - and the measured latency root is elsewhere"
WS-CAN-0049,MASTER-AUDIT 9.0/10.0/11.0 AI rows; 11.2 DO_NOT_ADVANCE; 11.0 Phase 6,"Bias correction, model blending, learned downscaling, neural emulation",MASTER-AUDIT series,9.0; 10.0; 11.0; 11.2,4,"Merged. Preserved as DEFER not REJECT because the blocker (no validated baseline) is a task, not a law"
WS-CAN-0056,(none - new),n/a,THIS AUDIT,n/a,1,NEW. Created because 11.2 and 11.4 publish incompatible gate taxonomies
