relative_path,bytes,sha256_first16,kind,what_it_proves
evidence/.gitignore,688,b148a29f1435f068,other,
evidence/blind-log.txt,5704,a51fbab38e65a2d7,run log,the blind journey run log
evidence/blind-marks.json,72478,1bf451b3121bd8db,measurement data,"the 23 instrumented marks of the blind journey: layers, RAF sites, workers, GL contexts, textures, buffers, intervals, requests"
evidence/blind-projection-tour.json,7310,db575958ac093f28,measurement data,12-camera projection tour incl. antimeridian and 66.5N; the +5 style-layer leak persisting across all 12
evidence/blind-sample-cocoa-EURO.json,1924,dab2e8c262a1c5ee,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-GFS-restored.json,1923,a231cd9013d79dc7,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-waves.json,1926,96fd4bb28f37a93d,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-wind-restored.json,1919,791b0cead90a75f0,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-z11.json,1959,69ca569f6ba3fcdb,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-z5.json,1923,a231cd9013d79dc7,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-z8-after-pan.json,1923,a231cd9013d79dc7,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-z8-first.json,1936,57cae81b2aae5c91,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-z8-hour-restored.json,1923,a231cd9013d79dc7,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-sample-cocoa-z8-hourplus6.json,1927,bd6eb2cd941cb8ff,measurement data,"fixed-coordinate infobox reads at Cocoa Beach across zoom, time, model and layer"
evidence/blind-summary.json,39347,0fab5c6775644523,measurement data,"the 23 instrumented marks of the blind journey: layers, RAF sites, workers, GL contexts, textures, buffers, intervals, requests"
evidence/blind-ui-state-initial.json,3499,5eec993d5e16819c,measurement data,"62 buttons, 1 aria-pressed, 0 role=slider - the accessibility and testability finding"
evidence/blindsnap.js,23100,60853c1d4719474e,audit harness (disposable; archived for reproducibility),HARNESS: the blind snapshot + lifecycle census
evidence/causal-traces/local-ablation-custom-hidden.png,896459,e792a0bb2794d682,screenshot,frame from the ablation attempt that did not execute
evidence/causal-traces/local-parity-ablation.json,3474,5cbf2b11415f45b4,measurement data,"the ablation that DID NOT EXECUTE - recorded as not-performed, never as a null result"
evidence/causal-traces/local-parity-log.txt,5619,5dedfe23fc4138bc,run log,"9-step causal trace: the heatmap holds 15,023 live swell_2 vectors while activeLayer=wind, with unsampled=null"
evidence/causal-traces/local-parity-trace.json,15073,7dba9504b5d75866,measurement data,"9-step causal trace: the heatmap holds 15,023 live swell_2 vectors while activeLayer=wind, with unsampled=null"
evidence/console/blind-console.json,198494,348d6e8d1c672084,measurement data,"110 console errors and 0 uncaught page errors across 1,558 requests"
evidence/console/blind-pageerrors.json,2,4f53cda18c2baa0c,measurement data,"110 console errors and 0 uncaught page errors across 1,558 requests"
evidence/jac2.js,22001,87a4524afab44760,audit harness (disposable; archived for reproducibility),HARNESS: the Jacobian matrix + interaction residuals
evidence/jacobian-tests/jacobian-FATAL.txt,543,1a18c51094de6f43,run log,Jacobian run log
evidence/jacobian-tests/local-console-errors.json,8869,1331333becca7724,measurement data,
evidence/jacobian-tests/local-failed-requests.json,3940,06a1515c78792816,measurement data,
evidence/jacobian-tests/local-hidden-raf.json,4936,b339b212a604ee84,measurement data,17.8 RAF/s hidden vs 18.5/s visible - no app-side visibility owner
evidence/jacobian-tests/local-interaction-residuals.json,16765,8f56ee54ed0f05b1,measurement data,"7 pairs, four-term protocol: the +84/+924 super-additive residual and the +1 interval created only in combination"
evidence/jacobian-tests/local-jacobian-first-order.json,33380,e674f646cf0e80be,measurement data,22 probes x 10 outputs: the first-order sensitivity matrix
evidence/jacobian-tests/local-jacobian-log.txt,9946,4a1d3116f772ef10,run log,Jacobian run log
evidence/jacobian-tests/local-noise-estimate.json,6792,1de0ed8c68cf2eb9,measurement data,the ZERO-spread baseline over 4 identical repeats - what makes every Jacobian delta signal rather than noise
evidence/network/blind-network.json,639610,d87e874523a23b3c,measurement data,full request/response/failure log of the blind journey (cold backend)
evidence/paint-control-deployed568fc2c6-log.txt,2916,19a1ebfbaa9e177f,run log,DEPLOYED build paints at all 20 layer x camera cells
