Dependency,Category,Purpose,How it enters the system,Auth model,Update cadence,Rate limit / quota,Timeout,Retry,Outage behaviour,Fallback,Licensing / attribution,Cost exposure,Schema-drift detection,Observability,Test strategy,Objective,Task,Status / disposition
Open-Meteo (forecast API + map tiles),Weather data provider,Primary forecast source and the om:// raster tiles,"backend weather_pipeline providers; frontend om:// protocol; live host map-tiles.open-meteo.com observed in this audit's network capture",public / keyless for the tile host,continuous,"UNDOCUMENTED IN THE PROGRAM. A quota is a load-bearing design constraint cited in 7 source comments across 6 files and COUNTED NOWHERE - no counter of upstream calls, no breaker, no headroom signal",per-request,present,"tiles ERR_ABORTED observed (cancellation authority working, not failure)",coarse fills / lattice fill / far-edge hold exist in the pipeline,attribution obligation UNRECORDED by the program,unmeasured,"normalizer is a single authority; a schema change would surface as a parse failure, but nothing aggregates parse failures",backend logs only,pipeline tests + the composition guards,WS-OBJ-304,"WS-CAN-0017 (integrity chain). NO ROW covers the quota","GAP - an undocumented quota on a load-bearing dependency. Add a counter before C1 (0.25 deg expansion) is priced"
Mapbox tiles,Basemap tile provider,"Basemap under every weather layer; a/b.tiles.mapbox.com observed live",frontend MapLibre style; REACT_APP_MAPBOX_TOKEN,public token (pk.*),continuous,UNDOCUMENTED,per-request,MapLibre default,map renders without basemap,none,commercial terms not recorded in the program,"REAL AND UNMEASURED - token-gated paid tier; marine-nightly.yml:47-52 hard-fails without the secret",n/a,none,exercised implicitly by every browser test,NONE,NONE,"GAP - add to the register with quota and cost stated. Two tile providers is itself unrecorded"
PostHog,Analytics / session capture,Product analytics,"INJECTED IN frontend/public/index.html:149,172-173 - NOT in frontend/src and NOT in package.json; us-assets.i.posthog.com observed live",project key in the page,vendor-controlled,vendor,vendor,vendor,page still works,none,vendor ToS,unmeasured,n/a,n/a,none,NONE,NONE,"GAP - invisible to six audits because every dependency census ran over frontend/src and package.json. FUTURE CENSUSES MUST INCLUDE frontend/public/"
NOAA / NDBC buoys,Observation source,Ground truth for offshore Hs validation,backend forecast_skill.py + buoy_calibration.py,public,hourly,public,per-request,present,skill ledger goes stale,none,public domain,none,"FIXED-COLUMN parsers that discard the header they could validate against (confirmed gap F12.2-27)",workflow logs,calibration tests,WS-OBJ-501,WS-CAN-0026,"COVERED - but see F12.2-27 (column drift undetectable) and F12.2-21 (58 of 60 panel buoys are American waters)"
Copernicus Marine,Marine data provider,EURO marine lane,backend copernicus_validator.py; credentials present per /api/health,credentialed,per cycle,vendor,per-request,present,EURO lane degrades,GFS,vendor licence,vendor account,validator exists,copernicus_credentials_present in /api/health,validator tests,WS-OBJ-601,WS-CAN-0058,COVERED
Supabase,Storage / durable product store + observation feed,"Durable weather product store; surf_log_entries is the TRUTH side of report_calibration",backend service client,service credentials,continuous,vendor,per-request,present,"restore_status surfaces in /api/health/data (503-capable)","disk product store (386 files) + in-memory (23124)",vendor,vendor plan,n/a,"/api/health/data, polled every 30 min","test_uptime_probe.py, data_health tests",WS-OBJ-505,WS-CAN-0025,"COVERED for storage. GAP for the observation feed: fetch_recent_reports_via_rest():234 returns [] on missing credentials WITH NO LOG AT ALL, indistinguishable from a genuine drought"
Render,Hosting - backend,"The single production backend. There is NO staging backend - dev and prod are the same service",git push to dev triggers autoDeploy,dashboard,"401 of 595 commits in 14 days (~29/day)",n/a,n/a,n/a,total weather outage,none,commercial,"paid instance; ~29 builds/day",n/a,"/api/health + /api/health/data",e2e-tests.yml waits for the deployed SHA,WS-OBJ-104,WS-CAN-0040,"GAP - no branch protection object exists on dev (HTTP 404); render.yaml is NOT APPLIED so config lives only in the dashboard"
Netlify,Hosting - frontend + CDN,Serves the SPA and the service worker,git push builds; publish=build,dashboard,"prod FROZEN 85 days at 3bd38a83; dev = HEAD",n/a,n/a,n/a,frontend unavailable,none,commercial,"~32 MB deploy weight of which 23 MB is source maps",n/a,SW BUILD_VERSION is publicly readable,e2e runs against the dev deploy,WS-OBJ-104,WS-CAN-0039,"OWNER-GATED. Also: source maps with full sourcesContent are anonymously served on BOTH origins (4.8 MB main.js.map, HTTP 200)"
MapLibre GL,Rendering library,Map engine and custom-layer host,frontend/package.json,n/a,pinned via package-lock.json,n/a,n/a,n/a,n/a,n/a,BSD,none,n/a,layer/source counts readable at runtime,228 jest suites + 4 browser projects in e2e,WS-OBJ-101,-,COVERED
Playwright 1.60.0,Test infrastructure,"E2E across 4 browser projects; the zoomlab optical harness; this audit's own probes",frontend/package.json,n/a,pinned,n/a,90 s per test,retries: 2,lane goes red,n/a,Apache-2.0,CI minutes,n/a,"video: retain-on-failure since 181b7ba7",it IS the test strategy,WS-OBJ-705,WS-CAN-0027,"COVERED. NOTE the deliberate deviation: the 1.60 -> 1.62 bump was NOT done and video works from 1.10, so no action"
