hash,full_sha,date_utc,subject,files_changed,code_files,test_files_touched,related_R11,docs_only,test_added
3cf5a1ce,3cf5a1cec7bafff7448c282ff4288db5511d95fb,2026-08-09 01:43:20,chore(deploy): redeploy trigger -- serve box dark ~50 min after the c9a0e9fc deploy window,0,0,0,-,YES,no
512b1cb6,512b1cb66e65b05ae9de3734c54984d2197bb055,2026-08-09 06:09:29,"docs(audit): Master Weather Simulation Report 11.0 -- Codex verified, invariants audited, the register that drove this session",1,0,0,-,YES,no
0013020c,0013020c839b7ef30e9e91cdc826381fb85d2f6b,2026-08-09 06:09:29,feat(parity-probe): a red run now records BOTH sides' factor vectors -- the verdict alone cost three sessions,1,1,0,-,no,no
843f6e59,843f6e598bf491f01eddcf186ae9d34ef4bc26b1,2026-08-09 06:10:00,"fix(render): close the marine fallback churn loop at its three seams -- and the Promise-as-geojson poison (R11-01, R11-10a)",8,8,3,R11-01; R11-10,no,YES
f1db2900,f1db290001876b605db9dd238824e2f8a82d7a01,2026-08-09 06:10:00,feat(telemetry): release identity on every truth/telemetry payload (R11-03),2,2,0,R11-03,no,no
7312412b,7312412b36b7bc69c98e266d7bf0ef50510ef875,2026-08-09 06:10:17,"feat(series): run identity + upstream provenance on every grid_series frame, and a run census per response (R11-04)",2,2,1,R11-04,no,YES
47d249bb,47d249bb0b73b638bcb3f6ba8aef1221b42a57d7,2026-08-09 06:10:18,"fix(worker): a crashed grid worker now rejects, recovers, and can no longer parse truncation into flat calm (R11-07)",2,2,0,R11-07,no,no
926d6b22,926d6b22afd81a10c085d60a069f2fa232f932c0,2026-08-09 06:10:39,"fix(observability): measure or refuse -- no more fabricated health, no more everything-is-rate-limited (R11-07/R11-08)",5,5,2,R11-08,no,YES
9fe18414,9fe1841474b3fd5f8c17ea32e6a5a82c6d151851,2026-08-09 06:10:40,fix(rating-mirror): port the MIN_SWELL_ENERGY_SHARE refusal the JS mirror was missing -- 64.6 points on the day partitions flip (R11-02),2,2,1,R11-02,no,YES
e22c3692,e22c3692d10330089a1b5aa50a7d2c27e0e7cec7,2026-08-09 06:11:50,docs(audit): stamp the same-day execution record into the action register,1,0,0,-,YES,no
2e20122d,2e20122d042d2dda88a449bf6c06ab2c15cef4af,2026-08-09 07:34:10,"fix(gpu): dispose stops lying to the telemetry, frees the score texture, and state isolation covers the units marine actually binds (R11-10 b/d/e)",2,2,0,R11-10,no,no
13b772bf,13b772bf44d04c07d1397743a3b8a28b019f8ec5,2026-08-09 07:34:11,fix(wind): port marine's device-tier pool sizing and reduced-motion damp -- two shipped invariants that never crossed the engine boundary (R11-09),4,4,1,R11-09,no,YES
4a36ede7,4a36ede7a2eac9d75922319a59de35eec967ecd4,2026-08-09 07:34:34,fix(legend): the rain legend stops ARE millimetres -- stop labeling them inches (R11-11),1,1,0,R11-11,no,no
d8b8d35c,d8b8d35c7b2f2be61453f5510cb240efa8737d12,2026-08-09 07:35:09,fix(pipeline): the four worst silent excepts now say what they swallowed (R11-07/R11-13),3,3,0,R11-07,no,no
086ee773,086ee7736303cc1de4c0a5ce7f704447dc7330b1,2026-08-09 07:35:10,"fix(parity-probe): compare ungated-vs-ungated as the docstring always claimed, split instrument reds from composition reds, and stop printing prose into the JSO",1,1,0,-,no,no
adbdb246,adbdb24615065f38e5382e1c15fb02d06ffd7b8a,2026-08-09 07:36:22,docs(audit): batch-2 execution record + the closed monitor-cron clock,1,0,0,-,YES,no
8301b78e,8301b78e0c345e30be3697e77b90eab3598149b2,2026-08-09 07:43:15,"fix(loc): shrink the two ratchet regressions from 086ee773 -- rationale relocated to docs, never deleted",3,2,0,-,no,no
