mission_id,title,authorized_scope,claimed_result,start_commit,end_commit,scope_verdict,auditor_note
12.2-AUTH / WS-CAN-0066,Make the surf alert that actually runs state the quality (Audit 12.2's single authorized execution mission),"audit/weather-simulation-12.2/NEXT_AUTHORIZED_EXECUTION_MISSION.md — reunify the two surf-alert implementations, rewrite the guard census so it DISCOVERS its subjects, fix the push deep-link (step 4), verify on the scheduled path (step 5). Forbidden: forecast quantities/constants/science_registry, flag flips, conditions.py, latency, run_time/cycle_dt, reverting video:'retain-on-failure', E2E workflow_dispatch, --no-verify.",Commit a1b5aac3 body: guard RED->GREEN naming :94; mutation reverts redden 6 tests and 4/4 deep-link tests; a planted third emitter was discovered and named; frontend 2142 passed (2138 baseline + 4).,791fdf78,886094ce,Implemented Exactly,"VERIFIED BY CODE, not by claim. Baseline 791fdf78:backend/scheduler/surf_alerts.py:94 carries the live literal `body=f""Waves are {wave_height_ft:.1f}ft - perfect conditions!""`; at HEAD that literal survives only as a comment at backend/scheduler/surf_alerts.py:80 and the file now has 5 refs to surf_alert_body/rating_level (baseline: 0) — the acceptance criterion `grep -c > 0` is met against its own stated control. Step 4 verified: 791fdf78:frontend/public/service-worker.js routed surf_alert to `/map?spot=${data.spot_id}`; at HEAD frontend/public/service-worker.js:295 routes to `/alerts?alert_id=...`, and the map components still contain zero spot-param readers (positive control: only MarineAnimTuner.js:55 and TruthOverlay.js:23 read location.search, unchanged from baseline) — so the fix was made on the side that IS consumed. Step 5 test file backend/tests/test_surf_alert_scheduled_states_the_quality.py (180 lines) exists. UNVERIFIED: the 'CI green with content' criterion (backend 1779+ collected, frontend 2138, E2E 52) — no CI run artifact is in the repo; verifying it needs `gh run view` on the run for a1b5aac3. Note the sequencing oddity: CURRENT_EXECUTION_STATE.json:19 calls WS-CAN-0066 'ALREADY COMPLETE at a1b5aac3 before this program began' — true only because Program 13.0 starts at d8c866bd; relative to the 12.2 baseline 791fdf78 this mission was executed INSIDE the audited window."
13.0-M1 / WS-CAN-0062,Mission 1 — geometry-quality disclosure (WS-OBJ-207),"Not named by 12.2 directly. Derived under PROGRAM_CONTROL_13.0.md rule 10 from audit/weather-simulation-12.2/UPDATED_CRITICAL_PATH.md position 2 ('one provenance visit' = WS-CAN-0005 + 0062 + the run_time display half), of which only WS-CAN-0062 passed the readiness gate.","MISSION_HISTORY.md closure certificate for WS-OBJ-207: 10 tests, red-first 4F -> 10P, repair-disabled 2F; live n=87 production census; 19 of 87 spots gain a disclosure.",1f4e5149,70ae3623,Implemented Exactly,"The re-derivation is documented and the reason is checkable: the 12.2 mission was already complete, so a re-derivation was mandated rather than optional. The certificate in MISSION_HISTORY.md states four things it does NOT establish (governance rule 16 honoured). BLOCKERS_AND_DECISIONS.md D-1 records the rejected design (coupling confidence to geometry_readiness) with a named CONTROL test. This is the best-governed mission in the window."
13.0-M2 / WS-OBJ-401,Mission 2 — split spot_ratings.py off its precompute lane,"Self-authorized inside the program. CURRENT_MISSION.md declares it an 'enabler — no new WS-CAN ID' under WS-OBJ-401, forced by the 800/800 LOC pre-commit ratchet.",spot_ratings.py 800 -> 351 LOC; spot_ratings_precompute.py 498; `precompute.rate_one_spot is spot_ratings.rate_one_spot` asserted; 11-test mutation-proven seam guard.,70ae3623,3afaf8b1,Implemented with Safe Variation,"WS-OBJ-401 sits at Finish Line B position 16 in audit/weather-simulation-12.2/UPDATED_CRITICAL_PATH.md, not Finish Line A — so a Finish-Line-B objective was advanced before Finish Line A closed. The variation is defensible and stated: the LOC ratchet made it a hard prerequisite for any further rating repair, and CURRENT_MISSION.md explicitly argues why no new WS-CAN ID was minted (the anti-'new tasks under new names' rule). No behaviour change; the same object is shared across the file boundary."
13.0-M3 / WS-CAN-0064 (forensics),Mission 3 — latency forensics,audit/weather-simulation-12.2/UPDATED_CRITICAL_PATH.md position 4: WS-OBJ-302 bounded latency <- WS-CAN-0064 EXPANDED (two routes: /conditions/batch AND /api/weather/grid_series) + WS-CAN-0009.,CURRENT_EXECUTION_STATE.json:104-112 — 'production /api/conditions/batch is linear at 0.380 s/spot (n=2..87)... blocked on the live value of SPOT_RATINGS_CONCURRENCY on Render'.,3afaf8b1,e5c68c1a,Superseded,"The recorded blocker was retracted twice inside the window: e5c68c1a 'RETRACT the WS-CAN-0064 blocker — raising concurrency is refuted, and /api/health had the answer all along', then 72a8edba/d72444b5 'the Render env read, reconciled — Gate 0 item met'. CURRENT_EXECUTION_STATE.json:104 still carries the superseded 'DIAGNOSED — Blocked on an owner/admin read' text as the CURRENT mission, 84 commits behind HEAD."
13.0-M4 / WS-CAN-0064 (repair),Mission 4 — /conditions/batch serves from the precomputed frames,"Same as Mission 3: WS-CAN-0064 EXPANDED to TWO routes (/conditions/batch and /api/weather/grid_series, 'same file, one visit' per CURRENT_EXECUTION_STATE.json:80).","c4a8a315 — '30 production spots in 0.40-0.59 s, all precomputed, vs ~11.4 s before'.",ed280c93,c4a8a315,Partially Implemented,"Only ONE of the two authorized routes was repaired. 9d8b2ad9 touches backend/routes/surf_data/conditions.py (+100), routes/weather.py (+8), spot_ratings.py (+9) and adds backend/tests/test_conditions_batch_precompute.py (220 lines). `git log -S""grid_series"" 791fdf78..fb50fa6d` returns only documentation commits (4950ac45, e5c68c1a, 43ccbe07, and pre-existing files) — no repair commit touches the grid_series latency path. The 12.2 expansion ('/api/weather/grid_series also breaches 10 s — Add to current WS-CAN-0064 scope, same visit') is therefore unmet, and no control file records it as deferred."
13.0-M5 / WS-CAN-0076,Mission 5 — the nearshore outcome loop's core,"NONE in the 13.0 or 12.2 corpus. CURRENT_TASK_REGISTER.csv:72 names its source as 'Master Codex Audit 1.0 MC-03 (deep half) + Phase-2' — an external document at C:\Users\dprit\OneDrive\Documents\New project\MASTER_CODEX_AUDIT_REPORT_1.0.md (36,210 bytes, 2026-08-14 23:23).","da730a9b — 'the system's FIRST matched nearshore observation'; Blacks Beach <-> CDIP 153p1, model 0.573 m vs instrument 0.940 m (-39.0%), n=1.",da730a9b,fabb9fe8,Expanded Beyond Scope,"A NEW WS-CAN ID was minted for an outcome sourced from an external audit, against Gate 5 (CURRENT_TASK_REGISTER.csv:72), while Gate 1 is OPEN and WS-OBJ-202 sits at 'Verification Failed' (CURRENT_RELEASE_GATE_STATUS.md). PROGRAM_CONTROL_13.0.md's provenance section reserves new-ID space only for the 12.2 IDs (WS-CAN-0066/0067, WS-OBJ-706..709) 'until a mission adopts them'; 0072-0076 have no such reservation. Mitigating: the row is honestly scoped ('n=1 proves the CHAIN, not the statistic'), the register row was written, and MISSION_HISTORY.md was NOT updated with a closure certificate — so the program's own history has no record of Missions 3, 4 or 5."
MC-1.0-BATCH,Master Codex Audit 1.0 remediation batch (WS-CAN-0072/0073/0074/0075 + WS-CAN-0017 residual),"NONE in the 13.0 or 12.2 corpus. Source is external: C:\Users\dprit\OneDrive\Documents\New project\MASTER_CODEX_AUDIT_REPORT_1.0.md (2026-08-14 23:23). CURRENT_EXECUTION_STATE.json:113 names it 'Master Codex Audit 1.0 (external, OneDrive)'.",Four repairs; cap seam dark (38/48 negative-jump traces -> 0/48 armed); calibration refuses at n_matched=0; diagnostics ingress bounded; 22 module-level env parses hardened.,c1566c8b,118cfabc,Expanded Beyond Scope,"Best-governed of the out-of-corpus work: four new WS-CAN rows written (CURRENT_TASK_REGISTER.csv:68-71), decisions D-4/D-5 recorded in BLOCKERS_AND_DECISIONS.md, and a dated addendum added to CURRENT_RELEASE_GATE_STATUS.md that explicitly claims no gate passed. It is nonetheless work no in-repo authorizing document names, and it crosses gates: WS-CAN-0073 is Gate 5 and WS-CAN-0074 is Gate 4 while Gate 1 is the open gate. It is also the ONLY window work to touch the science core — 6e4e44fb modifies surf_transform.py/surf_height_convention.py, shipped DARK behind SURF_CAP_SEAM_MONOTONE default OFF, which honours the 12.2 and 13.0 'no flag flip' prohibition."
HALO-CAMPAIGN,The coastal / island land-mask halo campaign (Master Codex Audits 3.1 / 4.0 / 4.1 / 4.2),"NO DOCUMENT INSIDE THE PROGRAM AUTHORIZES IT. `grep -c -i halo` returns 0 in ALL of: PROGRAM_CONTROL_13.0.md, CURRENT_MISSION.md, MISSION_HISTORY.md, CURRENT_RELEASE_GATE_STATUS.md, BLOCKERS_AND_DECISIONS.md, CURRENT_TASK_REGISTER.csv, CURRENT_OBJECTIVE_REGISTER.csv, audit/weather-simulation-12.2/NEXT_AUTHORIZED_EXECUTION_MISSION.md and audit/weather-simulation-12.2/UPDATED_CRITICAL_PATH.md. The only in-program file that mentions it is CURRENT_HANDOFF.md (5 hits), added AFTER the work started.",Halo attributed to `ocean-mask-buffer` and made opt-in (784b4c6c); NE island re-assert gate 1200->400 (050f19b3); island ring proven a 0.25-degree grid-resolution limit and answered with a 0.083-degree ingestion lane (fb50fa6d).,2e3efa66,fb50fa6d,Expanded Beyond Scope,"CLASSIFICATION: an EMERGENT OWNER-REPORTED REGRESSION, subsequently scoped by EXTERNAL audit documents that live outside the repository — NOT scope drift in the 'nobody asked' sense, and NOT an authorized program mission. The owner-report chain is recorded in five independent files, all agent-authored (CLAIMS, not evidence): program/weather-simulation/evidence/HALO-REGRESSION-2026-08-15.md:3 quotes 'Marine layers are showing a regression with land mask halos showing up. The issues are on dev and main identically'; COMPLETION_LEDGER_4.2.csv:64 (C4-MR-16) cites 'owner report 2026-08-16 ""the land mask halo is still persisting around coast lines""' and 'OWNER CHOSE THE REPAIR HALF ONLY (option 2)'; evidence/AUDIT-3.1-INDEPENDENT-LANE-2026-08-15.md:169 cites 'owner authorization to fix forward'; evidence/HANDOFF-2026-08-16-audit4-verification-lane.md:19 records 'You need to seed auth'; 784b4c6c's body cites an owner mandate for LAYER_ORDER_PROOF_LOG.json. The scoping documents DO exist and are dated, but outside the repo: MASTER_CODEX_AUDIT_REPORT_3.1_LAND_MASK_SECOND_PASS.md (2026-08-15 20:31, frozen at commit 2e3efa66 — i.e. commissioned AFTER the in-repo reopening), MASTER_CODEX_WEATHER_SIM_FORENSIC_AUDIT_4.0.md (08-15 22:52), RAW_SURF_WEATHER_SIM_ACCELERATION_AUDIT_4.1.md and CLAUDE_CODE_WEATHER_SIM_COMPLETION_HANDOFF_4.2.md (08-16 00:48). SIZE: 61 of 127 commits (48%) — 9 on 08-15, 26 of 36 on 08-16, 17 of 17 on 08-17, 9 of 9 on 08-18. GOVERNANCE CONSEQUENCE: it created a PARALLEL ID NAMESPACE. COMPLETION_LEDGER_4.2.csv holds 63 C4-* rows; only 10 lines contain any WS-CAN reference, and CURRENT_TASK_REGISTER.csv contains ZERO 'C4-' strings. Commit 43ccbe07 calls it 'the ONE authoritative completion ledger' and asserts 'no second competing register is created', while PROGRAM_CONTROL_13.0.md's 'Where to start' table names CURRENT_TASK_REGISTER.csv as the register. Two registers now claim authority. MITIGATING: the campaign did NOT touch the forecast composition chain — `git log 791fdf78..fb50fa6d -- surf_rating.py science_registry.py surf_transform.py surf_point.py` returns only bf8fb4cd and 6e4e44fb, both Master Codex 1.0 items, neither halo."
ISLAND-INGEST-0083,The 0.083-degree island ingestion lane (backend half of the island halo),None in-corpus. fb50fa6d's body claims 'Owner chose top-20 regions and asked to hold the push until the lane is ready'; evidence/ISLAND-HALO-ROOT-CAUSE-2026-08-18.md:244 claims 'Owner approved a Madeira pilot before any ingestion build'. Both are agent-authored CLAIMS.,"20 CMEMS island regions derived from production /api/surf-spots (1,773 spots), 398 spots = 72% of island spots, 19,963 cells; ~4.3 min per frame, 4.63 MB/frame, ~37 MB/day; 24 tests, 2 mutations.",014c0674,fb50fa6d,Expanded Beyond Scope,"This is the sharpest scope finding in the window: a frontend render defect (a halo) escalated into a NEW BACKEND MARINE INGESTION LANE with a recurring daily cost. fb50fa6d adds backend/services/weather_pipeline/copernicus_island_ingestion.py (162), copernicus_island_regions.py (138), a scheduler method and registration (backend/services/weather_pipeline/scheduler.py:371, backend/scheduler/forecast.py +14). PROGRAM_CONTROL_13.0.md:47 'Do not start' and audit/weather-simulation-12.2/UPDATED_CRITICAL_PATH.md section 6 both forbid starting WS-CAN-0058 — whose title is '0.25 deg regional tile-coverage expansion (+3 to +5 regions)', whose intended outcome is 'Fewer served spots resolved from the coarse global grid', and whose Remaining Work names MADEIRA explicitly as a candidate region. The island lane is a DIFFERENT lane (0.083 deg, CMEMS subsets, separate scheduler group) and the 0.25-degree config is untouched — WORLDWIDE_REGIONS_PER_CYCLE is '3' in both .github/workflows/forecast-ingest.yml:72 and forecast-ingest-pilots.yml:72 at HEAD, byte-identical to 791fdf78 — so WS-CAN-0058 is strictly Not Implemented. But the forbidden OUTCOME was pursued under a new name, and WS-CAN-0058's register row still reads 'Not Started' with an EMPTY Program 13.0 Status column. Two mitigations are real and verifiable: the lane is inert by construction (backend/services/weather_pipeline/scheduler.py:377 — 'no serving tier reads region_id `island_*` yet'; a repo-wide grep confirms no reader outside the ingestion module itself), and the commit produced exactly the cadence and bytes-per-frame figures the WS-CAN-0058 blocker demanded — but recorded them against no register row."
12.2-VERIFY-LANE,"VERIFY IN PARALLEL — V1..V5 (zero production change, explicitly not blocked)","audit/weather-simulation-12.2/UPDATED_CRITICAL_PATH.md section 3: V1 zoomlab red + video (expires 08-27), V2 WebKit failure video (expires 08-27), V3 read __MAP_RENDER_FPS__ on hardware GL, V4 one sustained-load run (CLOSES WS-OBJ-303), V5 the 27-workflow census.","V1 closed (8cf6be3e), V2 closed (dd6a8126), V5 run and it retired the build it recommended (aa305291).",62ae29bb,aa305291,Partially Implemented,"3 of 5 done. V3 and V4 have ZERO commits in the window: `git log --grep='WS-CAN-0037'` returns only the audit-publication commit 62ae29bb, and `git log --grep='MAP_RENDER_FPS|sustained' -i` likewise. V4 was the item the path said would CLOSE WS-OBJ-303 outright, and V3 was the item 12.2 argued had shrunk from 'build a harness' to 'read the one that exists' (~1 hour). Both were free, unblocked, and skipped — while 61 commits went into unregistered renderer work."
