artifact_path,bytes,sha256,created_utc,test_id,commit_range,branch,browser,viewport_dpr,app_url,producer,description
"A2-09_redteam_coordinate_arm.py","3990","9e0a52ea51335cc87f3a4c235ee18a602486012a6629b2b9ce42221c6690a774","2026-08-09T23:12:18.5937704Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"A2-09_redteam_same_coord_control.py","5756","db49531a8184c255d53ab0bc389f47afa4d686897b2b7cecdcbd9e97f4b1c5aa","2026-08-09T23:09:52.6352182Z","WS11-REDTEAM","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-G","Adversarial reproduction/control script"
"ARCHITECTURE_AUTHORITY_MAP.md","78883","28a148eafeb0bc4a985cbbaeabc9964f88b823e3841cde1e11e3a7a805135337","2026-08-09T23:02:32.1580635Z","WS11-ARCH","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-B1+F1","Authority map plus the architectural invariant audit"
"CHAT_AND_HANDOFF_LEDGER.md","29073","e85cbe01a5c04698df5ee4f1d10e867efa19fc0ce34c7dca01396b0ce4df5d14","2026-08-09T22:21:43.4626057Z","WS11-DOCS","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-A1","Document ledger with per-claim verification status"
"COMMIT_REVIEW_LEDGER.csv","93656","d7e9276822247840f048e2bf18cdf44992c96346d54e2dd46f130a63168da418","2026-08-09T22:29:19.1877367Z","WS11-COMMITS","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","agent-A2","All 100 commits accounted for"
"D01-jest.config.js","644","8f75c086b8013e6f8b22c90a70d8ce16b910b355fb72a04f3d501586b03c8de8","2026-08-09T23:19:40.6099121Z","WS11-MISC","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","subagent","Audit-only harness or repro script"
"D01-reentry.test.js","4639","4a11900b4b598c9006392a3e7a51c894bb4df57d5de8a039234e5ef0c4ea06bc","2026-08-09T23:20:00.5607883Z","WS11-MISC","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","subagent","Audit-only harness or repro script"
"EXECUTIVE_RECOVERY_BRIEF_11.0.md","7190","a3e6cf73f72577080ee60e7c693ee9563141126edfcc1eea0685d84c1f431179","2026-08-09T23:30:38.6576101Z","WS11-BRIEF","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","Executive verdict and repair order"
"FIRST_IMPLEMENTATION_PACKET.md","7800","7a1c22484008cc7d20831cbda98bf91ea5e96ec3b6c4cf141bc187aafaba3cdc","2026-08-09T22:40:50.6144657Z","WS11-PACKET","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","Executable work packet for the first repair"
"G-E1-04-period-sensitivity.py","2986","e0c9af346e3d923f95c1e8e7b20ea0d3428942bab0ba30221cde770ff3d1d6f6","2026-08-09T23:18:31.5783925Z","WS11-MISC","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","subagent","Audit-only harness or repro script"
"MASTER_WEATHER_SIMULATION_REPORT_11.0.md","61744","8200f70ec2ec75bdaa6e9c1577c0ad95705f346dfeff0761fc2698fd7190713c","2026-08-09T23:30:11.3258721Z","WS11-REPORT","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","Master report, Sections 1-20 incl. red-team ledger"
"OPEN_QUESTIONS_AND_BLOCKERS.md","7501","c60a0bdce8fc494f5ebf0924f5cfc12041e54cd012abe8f2cc77ad0449287263","2026-08-09T22:45:49.2565289Z","WS11-OPEN","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","Q-01..Q-06, B-01..B-14, P-01..P-04"
"ROOT_CAUSE_GRAPH.md","7515","11a803ae206ff849ad85d9102105c99d8d55df9eaa9df0312d72d664c59d3775","2026-08-09T22:45:04.3277254Z","WS11-ROOTCAUSE","3d3ccdc2..9f4f8570","dev","Chromium (in-app pane)","961x910 CSS / DPR 2","http://localhost:3007/map","lead","Three causal chains plus the refuted list"
