direction,indicator,baseline_791fdf78,current_HEAD_568fc2c6,evidence,confidence
POSITIVE,Objectives/tasks certified closed,0 in window,6,"WS-OBJ-207 d8c866bd; WS-CAN-0009 d1fb5369; WS-CAN-0062 d8c866bd; WS-CAN-0066 a1b5aac3; WS-CAN-0073 f44cc87f; WS-CAN-0075 0509b1ec",HIGH
POSITIVE,Critical/High defects causally eliminated,0 in window,2,"coastal+island halo (784b4c6c ocean-mask-buffer opt-in + 050f19b3 NE re-assert gate 1200->400) verified on the deployed build with a positive control at 6022f4cf; GRIB Range positional-variable-swap (a6e4339a)",HIGH
POSITIVE,Release-gate blockers removed,0 in window,1,WS-CAN-0066 - the live 15-minute scheduled alert now states quality,HIGH
POSITIVE,Meaningful regression tests added,n/a,18 of 27 rated Strong Causal or Strong Invariant,TEST_PROTECTION_QUALITY.md,HIGH
POSITIVE,Test density (frontend/src/components/map),0.84 tests per module (134 test / 159 module),0.91 (150 / 165),git grep at both revisions; the strongest convergence signal measured,HIGH
POSITIVE,Scientific gaps closed,n/a,3,"GRIB Range guards close a real corruption path; report-calibration `available` moved from 'a file exists' to n_matched>=1; SURF_HEIGHT_H110 registry cell repaired a 10-day-stale claim",HIGH
POSITIVE,Config robustness,22 module-level bare env parses,1 clamping accessor absorbing 20 inline reads,backend/services/weather_pipeline/config_env.py env_int:29 env_float:48,HIGH
POSITIVE,Failure-recovery paths added,n/a,2,SAFE_DEGRADED coverage terminal state (d555b17e); FPS-guardrail downgrade now disclosed AND recoverable (fc3e2af2),HIGH
POSITIVE,Backend batch latency,~11.4 s / 30 spots,0.40-0.59 s (~22x),c4a8a315 - measured live on production spots,HIGH
POSITIVE,Build-cache correctness,junctioned worktree poisoned the webpack cache (casualty: the wasm decoder),fixed - cache keyed to the build tree,01ec5a3d,HIGH
POSITIVE,Uncaught page errors across 13 journeys / 1558 requests,not measured,0,evidence/blind-summary.json,HIGH
POSITIVE,Owner multiplication under race + 3 remount cycles,not measured,none - workers 18->18 GL 1->1 canvases 4->4,evidence/blind-marks.json; jacobian-tests/local-jacobian-first-order.json,HIGH
