journey,step,build,camera_or_input,expected,observed,verdict,evidence
A normal round trip,clean load,local fb50fa6d,z9 default,map interactive,"14939 ms to usable handle; 138 layers; 31 sources; 18 workers; 1 GL context; 2 canvases; 21 live intervals; 16 console errors",PASS,evidence/blind-marks.json + screenshots/blind-01-clean-load.png
A normal round trip,record model/run/hour/layer,local fb50fa6d,HUD read,identity stated,"Model/Layer 'GFS / wind'; Render Mode 'Wind'; Raster Source LOADED; Provider UNKNOWN; Class NO DATA",PARTIAL FAIL,screenshots/blind-01-clean-load.png
A normal round trip,activate wind,local fb50fa6d,Wind button,field animates,animates; canvases 2->4; textures 32->37,PASS,screenshots/blind-02-wind-active.png
A normal round trip,zoom 8->11->5,local fb50fa6d,Cocoa Beach,resources bounded,textures 67->127->146; buffers 504->968->1333,PASS bounded / growth noted,evidence/blind-marks.json
A normal round trip,pan and return to the SAME camera,local fb50fa6d,Cocoa z8,return to entry resource counts,textures 67 -> 138 (2.1x); buffers 504 -> 1325 (2.6x),FAIL,evidence/blind-marks.json
A normal round trip,timeline +6h then restore,local fb50fa6d,Cocoa z8,label current; resources flat,38 requests; textures/buffers unchanged; labels consistent,PASS,evidence/blind-marks.json
A normal round trip,model GFS->EURO->GFS,local fb50fa6d,Cocoa z8,no resource churn,dTex 0; dBuf 0; dWorkers 0; dLayers 0; 8-10 requests,PASS,jacobian-tests/local-jacobian-first-order.json
A normal round trip,weather->marine layer switch,local fb50fa6d,Cocoa z8,style returns on switch back,MapLibre layers 138 -> 143 and NEVER returns; water_temp-slot-0/1/2-layer still present while wind is active,FAIL,evidence/blind-projection-tour.json
A normal round trip,return to original model/hour/layer,local fb50fa6d,Cocoa z8,state equivalent to entry,layers 143 not 138; textures/buffers not restored,FAIL,evidence/blind-marks.json
A normal round trip,hide and restore,local fb50fa6d,visibilitychange,animation pauses when hidden,145 RAF in 6 s hidden; re-measured 142 in 8 s = 17.8/s vs 18.5/s visible,FAIL (no app-side owner),jacobian-tests/local-hidden-raf.json
A normal round trip,leave and return,local fb50fa6d,/ then /map,clean remount,map re-acquired; 138 layers; workers 18; GL 1,PASS,evidence/blind-marks.json
B race and stress,thrash without settling,local fb50fa6d,wind->z9->waves->Portugal z7->EURO->scrub->swell->z6->scrub back->GFS->wind,no stale result wins,71 in-flight requests; labels consistent after settle; no old field reappeared,PASS,screenshots/blind-19-race-midflight.png + blind-20-race-settled.png
B race and stress,owner multiplication under thrash,local fb50fa6d,same,no multiplication,workers 18->18; GL contexts 1->1; canvases 4->4; layers 143->143; 0 uncaught errors,PASS,evidence/blind-marks.json
B race and stress,loading-state truthfulness,local fb50fa6d,Cocoa z8 waves,LOADING clears,Raster Source stayed LOADING at a settled camera on the cold-backend run,FAIL on cold backend; not reproduced warm,screenshots/blind-11-layer-waves.png
C projection tour,Florida,local fb50fa6d,-80.607/28.361 z8,style intact,143 layers; 13 water/mask layers incl ocean-mask-buffer; textures 88,PASS,screenshots/blind-tour-florida.png
C projection tour,New York,local fb50fa6d,-73.1/40.6 z8,style intact,143 layers; textures 148,PASS,screenshots/blind-tour-newyork.png
C projection tour,Portugal,local fb50fa6d,-9.4/38.7 z8,style intact,143 layers; textures 152,PASS,screenshots/blind-tour-portugal.png
