Area,surface_id,type,files_symbols,reachability,entry_point,consumer,objective_id,task_id,test_coverage,runtime_evidence,observability,recovery,status
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-render-autodeploy,infrastructure,"render.yaml (header comment, documentation only); Render service Raw-Surf-Antigravity srv-d7fhiu7lk1mc73debje0; no deploy job exists in .github/workflows/","Active-reachable — every push to `dev` redeploys the single production backend. Justified by e2e-tests.yml:138-155, which exists solely to WAIT for that redeploy to report the pushed SHA on /api/health.",git push origin dev,"every production user of every weather surface (spot hubs, map glyphs, /api/weather/*, /api/conditions/*, the sim)",NONE,NONE,NONE,"e2e-tests.yml:150 comment — measured 2026-08-07, `f85fdeda` -> `7a002e8b`, backend current ~2 min after push, observed by polling /api/health",/api/health embeds the deployed 40-hex SHA in `version`,Render dashboard redeploy of a prior commit. Undocumented; see SUR-OPS-rollback.,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-deploy-gate,infrastructure,".github/workflows/ (no `environment:`, no `workflow_run`); .github/CODEOWNERS absent; .git/hooks/pre-push -> backend/scripts/check_floor_before_push.py",Dead — the surface does not exist. `grep -rn '^\s*environment:' .github/workflows/*.yml` -> 0 hits (control: `permissions:` present in 5+ files); `grep -rn workflow_run` -> 0 hits (control: workflow_dispatch in 25 of 27 files).,n/a,n/a,NONE,NONE,NONE,NONE,none — a red CI run marks the commit after the deploy has already served,n/a,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-ci-lane,infrastructure,".github/workflows/ci.yml — 11 jobs: lint-and-build:21, frontend-lint:131, frontend-marine-composition-guards:170, backend-lint:239, backend-file-size-check:274, backend-import-check:290, backend-bola-guard:310, backend-sim-composition-guards:337, backend-forecast-chain-guards:633, backend-estate-coverage:791, backend-floor-staleness:1025","Active-reachable — push [dev, main] + pull_request [dev, main], deliberately no `paths:` filter so the jobs are safe as required checks",push / PR to dev or main,GitHub commit status,WS-OBJ-705,WS-CAN-0065,backend/tests/test_ci_lane_single_source.py; ci_floor_staleness.py,"ci.yml:80-90 — MIN_SUITES 185 / MIN_TESTS 1686 floors, measured on ubuntu at 8856f24d and ratcheted by delta",commit status + the suite-count assertion at ci.yml:60-95,n/a,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-e2e-lane,infrastructure,".github/workflows/e2e-tests.yml:63-95 (frontend deploy wait), :138-155 (backend deploy wait), :157-176 (run + upload); frontend/playwright.config.js","Active-reachable but strictly POST-deploy — both waits block until the deployed artifacts report the commit under test, so the first assertion runs after the change is live for all users","push to dev (paths-ignore **/*.md, docs/**, audit/**)","playwright-report artifact, 14-day retention",WS-OBJ-705,"WS-CAN-0059, WS-CAN-0027",frontend/e2e/weather-simulation.spec.js,"5 consecutive completed greens, `Running 52 tests` (12.1 LV-02); video:'retain-on-failure' landed 181b7ba7",reporter list+html; upload-artifact,n/a,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-netlify-prod-context,infrastructure,"netlify.toml [context.production] ignore = ""git diff --quiet $CACHED_COMMIT_REF $COMMIT_REF -- frontend/src frontend/public netlify.toml""","Prod-only, and currently unreachable in practice — production is frozen at 3bd38a83 (2026-05-20) by a Netlify site-config cause that the 2026-08-05 control proved is NOT this ignore rule (same commit 01df62d7 on both branches; dev built, prod did not)",push to main,rawsurf.netlify.app,WS-OBJ-104,WS-CAN-0039,NONE,prod service-worker.js BUILD_VERSION=3bd38a83 vs dev=HEAD exactly (re-measured 12.1),curl <site>/service-worker.js | grep BUILD_VERSION,Netlify deploy history; owner-gated,Missing Task
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-netlify-dev-context,infrastructure,"netlify.toml [context.dev] ignore=""false""; REACT_APP_BACKEND_URL = https://raw-surf-antigravity.onrender.com",Active-reachable — dev--rawsurf.netlify.app rebuilds on every push to dev and is the only frontend the program actually exercises,push to dev,dev--rawsurf.netlify.app; the E2E lane's baseURL,WS-OBJ-104,WS-CAN-0039,frontend/e2e/weather-simulation.spec.js (against the deployed site),e2e-tests.yml:63-95 prefix-matches the served BUILD_VERSION against the full SHA every run,BUILD_VERSION stamp,Netlify deploy history,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-backend-env-parity,infrastructure,"netlify.toml — REACT_APP_BACKEND_URL identical in [build.environment], [context.dev.environment] and [context.branch-deploy.environment]; `git grep -ohE 'https://[a-z0-9-]+\.onrender\.com'` returns ONE distinct host, 236 occurrences","Active-reachable — there is no second backend, so there is no non-production environment for a weather backend change",any Netlify context,"prod frontend, dev frontend, branch deploys, E2E, and the Netlify /api/* proxy — all the same Render service",NONE,NONE,NONE,e2e-tests.yml:140 API=https://raw-surf-antigravity.onrender.com — the E2E lane drives production,none — nothing distinguishes test traffic from user traffic on the box,n/a,Missing Objective
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-api-proxy-redirects,infrastructure,"netlify.toml [[redirects]] /api/weather-proxy -> function, /api/* -> render; frontend/public/_redirects /api/* -> render, /* -> /index.html","Active-reachable — the /api/* rule is declared TWICE in two files; netlify.toml is processed first, which is the only reason /api/weather-proxy still reaches the function",any browser request to /api/*,every backend call the frontend makes,WS-OBJ-401,NONE,NONE,netlify.toml:29-33 comment records the 2026-07-13 removal of the /.netlify/functions/weather hop (~10 s sync limit dropped heavy grid_series requests),none,n/a,Conflicting
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-sw-version-stamp,infrastructure,frontend/update-sw-version.js — writes BUILD_VERSION into public/service-worker.js AND src/buildVersion.js from `git rev-parse --short HEAD`,Active-reachable — runs twice per Netlify build (shell command + npm prebuild); idempotent,netlify.toml build command; frontend/package.json prebuild,e2e-tests.yml deploy wait; the 12.1 SV-BUILD measurement; weatherTruthTracker/WeatherTelemetry build stamps,WS-OBJ-104,WS-CAN-0003,NONE (no unit test for the stamper),e2e-tests.yml:63-95 consumes it every run; 12.1 measured prod 3bd38a83 vs dev 9febd970,one curl,n/a,Complete
DEPLOYMENT + OPERATIONAL READINESS (audit spec §19) — CI/CD ,SUR-OPS-service-worker-cache,infrastructure,frontend/public/service-worker.js — CACHE_NAME/SPOT_CACHE_NAME/OFFLINE_CACHE_NAME/FEED_CACHE_NAME suffixed with BUILD_VERSION; GALLERY_CACHE_NAME deliberately unversioned; install->skipWaiting; activate->clients.claim + delete non-matching keys,Active-reachable on every deployed host; explicitly unregistered + caches purged on localhost (src/index.js:314-331),navigator.serviceWorker.register('/service-worker.js') at src/index.js:333,all non-weather navigation and spot-list requests,NONE,NONE,NONE,NONE at HEAD,BUILD_VERSION in the served file,skipWaiting + clients.claim means a new SW takes over immediately; no JS/CSS chunk is precached so the SW cannot pin a stale bundle,Complete
