Coupling,11.1 state,11.2 measurement,Classification,Implication
global bbox x resident RSS,"142x the memory for 5.9x the cells (small +5.7 MB vs global +812.8 MB)","BROKEN by MALLOC_TRIM_THRESHOLD_=131072. RSS 1445.3 MB @590 products -> 789.1 MB @618 products (my independent read); observed BELOW peak mid-flight, never seen before on this box",Unexpected coupling REMOVED,"Removed by CONFIG, not code. The per-request delta was arena high-water glibc refused to return -- 11.1 measured the symptom correctly and named the wrong remedy"
grid_series build x process high-water,"+156.7 / +201.6 / +812.8 MB across three replicates","per-request delta unchanged; operational consequence (OOM) removed",Reduced not removed,A high per-request delta and zero OOMs are both true simultaneously
Render env var x running process,not examined,"PUT /v1/services/{id}/env-vars returns 200, read-back shows the NEW value, and the process keeps the OLD one until a deploy is POSTed",NEW unexpected coupling -- high blast radius,"Same shape as the 08-03 PREFETCH_MAX prescription sitting unapplied 7 days. Verify against the PROCESS (/api/health or a log line), never the config"
RSS x uptime,assumed a valid control,"REFUTED -- RSS tracks disk_product_count, not clock. The concurrent session retracted a -62% of their own for this",NEW coupling ON THE INSTRUMENT,"Weakens my T-CAP-01/02 (uptime-only controls). T-CAP-03 survives: two arms in adjacent windows, background load would raise BOTH, the small arm moved +5.7 MB"
tile-lane height x default render state,not examined,"isExactPointAuthority requires selectedSpot || longPressLocation; the overlay renders whenever any layer is active, so the DEFAULT state displays the tile value directly",NEW unexpected coupling -- user-visible,"Makes the height flip a default-path change, not a transient one. Median 3.00x, max 10.68x"
network census x client render state,not examined,"A 423-resolution census showed the point endpoint answering 100% and concluded the tile lane was unreachable. It measured whether the endpoint CAN answer, not whether it is the AUTHORITY",NEW coupling ON THE INSTRUMENT,"A network census cannot answer a question whose gate is client render state. Caused a reversed recommendation before it was caught"
docs commit x production deploy,"closed out-of-band via the Render build filter; unverified by 11.1","VERIFIED both directions: docs-only push -> no deploy (confirmed by unchanged uptime + SHA); render.yaml -> deploy",Unexpected coupling REMOVED and now proven,-
docs commit x E2E coverage,paths-ignore shipped; 1 data point,"Held on a genuinely docs-only push (no E2E run). Fired correctly on a push CONTAINING code -- paths-ignore evaluates the whole push",Expected behaviour confirmed,-
concurrent session x my measurements,"2 restarts mid-audit; 1 inference retracted","4 more commits and 6 deploys during 11.2, including two DOUBLE deploys of the same SHA (the env-var apply pattern)",Unchanged -- now the dominant noise source,"Every live figure must carry its SHA and timestamp. A shared tree also means my commits build on theirs"
FastAPI Query default x programmatic call,not examined,"get_grid is BOTH a route and the injected resolver. FastAPI resolves Query(None) to None only on the HTTP path; called directly the parameter is the Query OBJECT, which is TRUTHY. 98 TypeErrors in 13 min on production",NEW unexpected coupling -- LIVE P1 I SHIPPED,"A test double that reproduces the SIGNATURE but not the production DEFAULT is not a double. Found by production logs, not by 421 tests + a 6-arm mutation battery + the full composition lane"
manifest re-parse x RSS,not examined,"periodic_l2_restore re-parsed a 20,007-entry manifest every 30 min: +74.8 then +76.6 MB with disk_product_count FLAT. Fixed by 712e3bac (hash the bytes, skip when unchanged)",Unexpected coupling REMOVED (by the concurrent session after 11.2),"11.2's capacity attribution was one intervention short -- the memory arc had FOUR fixes, not three"
science chain x everything shipped,bit-identical across 103 commits,"bit-identical again after the store refactor, the load-time stride and the height flip",Expected coupling preserved,Third consecutive audit with zero drift on the served numbers
skill ledger x per-source MAE columns,"'losing to persistence' refuted by pairing (mine: 0.181 vs 0.199)","independently refuted by the concurrent session by pairing (theirs: 0.186 vs 0.203, n_theirs=7 vs n_ours=64)",Convergent refutation from two routes,"Strongest form of confirmation in this record: two independent sessions, same conclusion, different data windows"
