quantity,baseline_behaviour,current_behaviour,classification,evidence
science_registry.py — every calibration constant,Constant set as of 791fdf78.,Byte-identical at fb50fa6d. ZERO constants changed.,Preserved,`git rev-parse 791fdf78:backend/services/weather_pipeline/science_registry.py fb50fa6d:...` both return blob 38b283d889076b3ee72eead11e9eed352eda5558. `git diff 791fdf78..fb50fa6d -- backend/services/weather_pipeline/science_registry.py` is empty.
surf_point.py — resolve_surf_geometry + estimate_surf_at (the mandated chain head),resolve_surf_geometry at surf_point.py:65; estimate_surf_at at surf_point.py:223.,"File unchanged, byte for byte.",Preserved,Both commits resolve backend/services/weather_pipeline/surf_point.py to blob 33b08590e7afe068818a139f58921075a017b5e2.
"γ (GAMMA/GAMMA_MIN/GAMMA_MAX/GAMMA_MAX_STEEP), REFRACTION_KR, H110_OVER_HS","GAMMA 0.78, GAMMA_MIN 0.63, GAMMA_MAX 0.81, GAMMA_MAX_STEEP 0.81, REFRACTION_KR 0.797, H110_OVER_HS 1.27; SURF_HEIGHT_H110 code default ""1"".",All identical. surf_transform.py's only diff hunks are the import line and the estimate_surf return block; no constant line is touched.,Preserved,"backend/services/weather_pipeline/surf_transform.py:46,65-68,84 (values); surf_height_convention.py:52 (H110_OVER_HS=1.27), :74 (default ""1""); `git diff 791fdf78..fb50fa6d -- backend/services/weather_pipeline/surf_transform.py` shows only 2 hunks, 19 lines."
estimate_surf's cap-vs-statistic resolution point (the 'ONE STATISTIC' seam),"Inline at surf_transform.py:518-528 (791fdf78): `if H >= cap: return cap,'breaking'` then `to_surf_convention(H,_regime)`.","Extracted to surf_height_convention.publish_surf_height(H, cap, regime); with SURF_CAP_SEAM_MONOTONE off the two branches are line-for-line the old code. Still ONE return, still the single point all three callers pass.",Preserved,"backend/services/weather_pipeline/surf_transform.py:518 `return publish_surf_height(H, cap, 'shelf' if H <= Hs_m else 'shoaling')`; surf_height_convention.py:129-131 is the legacy branch verbatim."
SURF_CAP_SEAM_MONOTONE (commit 6e4e44fb) — default state,Did not exist.,"DEFAULT OFF, confirmed from code not from the commit message. Reads `os.environ.get(""SURF_CAP_SEAM_MONOTONE"",""0"")==""1""`. Ships dark; the only production-visible effect is an additive provenance key `cap_seam:""legacy""`.",Preserved,"backend/services/weather_pipeline/surf_height_convention.py:98 (default ""0""); :124-131 (branch); :146 (`""cap_seam"": ""monotone"" if cap_seam_monotone_enabled() else ""legacy""`); registry declaration backend/routes/admin/surf_forecast.py:259 with default cell ""0""."
"Nearshore outcome loop (commit da730a9b, WS-CAN-0076) — default state","Did not exist. 60,000 archived nearshore predictions, 0 matched observations.","DARK with respect to serving. nearshore_validation.py is imported by NOTHING in backend/routes/ or backend/services/ — only by backend/scripts/run_nearshore_validation.py and .github/workflows/nearshore-validation.yml. It reads the serving path's own components rather than re-deriving them, and refuses (available:false + counters) below the match floor.",Preserved,"`git grep -rn nearshore_validation -- backend/routes/ backend/services/ .github/` returns only the module itself, ci.yml floor comment, and nearshore-validation.yml:7,79. backend/services/weather_pipeline/nearshore_validation.py:75-87 imports shelf_dissipation/shoaling_coefficient/_height_exposure_factor/REFRACTION_KR from surf_transform; :82 reuses the identical `float(os.environ.get(""SURF_REFRACTION_KR"", REFRACTION_KR))` read found at surf_transform.py:511. :136-140 is the refusal."
"Callers of estimate_surf_at (production, non-script)","4: surf_conditions.py:91-92; point_surf_augment.py:61,195; sim_rating.py:42,251; spot_conditions.py:63-64.","Same 4, same line numbers. No new caller, no new height derivation site.",Preserved,"`git grep -n estimate_surf_at` at both 791fdf78 and fb50fa6d, excluding backend/tests and backend/scripts — identical non-script result sets. point_surf_augment.py:178 still asserts `surf_height_m` is produced at THIS ONE SITE."
"Callers of compute_surf_rating (production, non-script)","4: local_size_preview.py:237,241; spot_conditions.py:379,397; spot_ratings.py:20,184; surf_rating.py:768 (rating_transform_grid, internal).","Same 4 (spot_ratings.py shifted to :22,186; surf_rating.py to :769 — line drift only). The new spot_ratings_precompute.py imports rate_one_spot rather than re-deriving; it never imports compute_surf_rating or estimate_surf_at.",Preserved,"`git grep -n compute_surf_rating` at both commits; backend/services/weather_pipeline/spot_ratings_precompute.py:41-44 `from services.weather_pipeline.spot_ratings import (... rate_one_spot,)` and :370 `await rate_one_spot(...)`. spot_ratings.py:1-12 documents the one-way dependency."
/conditions/batch `wave_height_ft` (the published surf height),Always live: point_resolution.resolve_spot_conditions -> spot_conditions._breaking_ft -> estimate_surf_at (breaking height).,"Frame-first lane may answer from the precomputed blob's `surf_height_m`, which is `marine.surf_height_m` produced at the single injection point point_surf_augment.py:204 via resolve_surf_geometry + estimate_surf_at. Both lanes are therefore the BREAKING height from the mandated chain — no offshore `point.speed` leak.",Preserved,"backend/routes/surf_data/conditions.py:71 `h_ft = round(float(e[""surf_height_m""]) * M_TO_FT, 1)`; source chain: spot_ratings.py:122 `surf_h = marine.surf_height_m` -> :281 `""surf_height_m"": round(surf_h,3)`; producer point_surf_augment.py:61-62,195,204. Live twin: spot_conditions.py:52-71 (`_breaking_ft`) and :361-368."
"/conditions/batch `swell_height_ft` (published, per-spot, frozen client shape)","ALWAYS the primary SWELL PARTITION height: marine layer `swell_1` (VHM0_SW1 / SWELL '1 in sequence'), or `swell_wave_height` on the point fallback; 0 when neither is cached.","For every spot the precomputed frame answers (lane DEFAULT ON), it is `offshore_hs_m` = `marine.point.speed` of the `waves` layer = the TOTAL offshore SIGNIFICANT wave height (swell + wind sea). Two physically different quantities now ship under one field name in one payload, selected by which lane happened to answer.",Unexpected Drift,"FRAME: backend/routes/surf_data/conditions.py:75 `""swell_height_ft"": round(float(e[""offshore_hs_m""]) * M_TO_FT, 1)`; source spot_ratings.py:136 `offshore_h = getattr(marine.point,""speed"",None)` under the `layer=""waves""` resolve at :110-111, persisted at :291. LIVE: spot_conditions.py:251-257 (`swell_1` resolve, `""swell_height"": res.point.speed`), :292-296 (`swell_wave_height` fallback), :359 `current_swell_height_ft = round(current_swell[""swell_height""] * M_TO_FT,1)`, :369. Layer identity: capabilities.py:31 (swell_1 lane); noaa_gfs_wave_fetcher.py:52 (SWELL 1-in-sequence -> swell_wave_height) vs the total `wave_height`. Lane default: conditions.py:109 `lane_on = os.environ.get(""CONDITIONS_BATCH_PRECOMPUTED"",""1"") != ""0""`; registry backend/routes/admin/surf_forecast.py:232 default cell ""1"". The code's own parity claim is SHAPE only — conditions.py:68-70 says ""BYTE-SHAPE IDENTICAL ... (six keys)"" and the test asserts only the key set plus the frame's own arithmetic (backend/tests/test_conditions_batch_precompute.py:115,119). NO test compares the two lanes' swell_height_ft on one sea state. UNVERIFIED: the numeric magnitude of the divergence — verifying it needs one production /conditions/batch call for a spot present in the current frame, compared against the same spot with CONDITIONS_BATCH_PRECOMPUTED=0."
/conditions/batch `updated_at` and the hour the entry describes,"`updated_at` = datetime.now(utc) at spot_conditions.py:372, and the entry always described the CURRENT hour (live resolve).","Frame-answered entries carry `updated_at` = the blob's `generated_at`, and the frame may be up to SELECT_TOLERANCE_S (7200 s) from now, or up to SPOT_RATINGS_STALE_TOLERANCE_S (21600 s = 6 h) on the stale rung. The per-spot payload is frozen at six keys and cannot say which hour it describes; only the top-level `conditions_source.served_valid_time` discloses it, and useExploreData.js spreads the per-spot entry.",Unexpected Drift,"backend/routes/surf_data/conditions.py:113-127 (fresh then stale frame pick), :131 `_updated = (obj or {}).get(""generated_at"") or pre_valid_time`, :76 `""updated_at"": updated_at`, :183-188 (`conditions_source` is top-level only). Contrast the /spot-ratings twin, which surfaces `served_valid_time` AND `frame_offset_hours` on its response: backend/routes/weather.py:511-515. The residual is named for the error case at conditions.py:190-194 but not for the staleness case."
"Marine ingestion authority for model=EURO, domain=marine (the 0.083° island lane, fb50fa6d)","Two EURO marine ingestion lanes: euro_marine_coarse_ingestion (10°, global_coarse) and marine_mid_res_ingestion (2°, global_mid; ECMWF Open Data primary, CMEMS fallback).","A THIRD authority: copernicus_island_ingestion writes waves/swell_1/swell_2/wind_waves products at resolution 0.0833 from cmems_mod_glo_wav_anfc_0.083deg for 20 island bboxes, under the SAME model label EURO. DEFAULT ON — registered in the marine ingest task whenever COPERNICUS_ISLAND_INGEST != ""0"", and the impl's own gate defaults to enabled.",Unexpected Drift,"backend/scheduler/forecast.py:174-175 `*([(""Copernicus Island Regional"", weather_scheduler.ingest_copernicus_island_regions)] if os.environ.get(""COPERNICUS_ISLAND_INGEST"",""1"") != ""0"" else [])`; backend/services/weather_pipeline/copernicus_island_ingestion.py:89 (impl gate, default on), :49 (four layers), :132-141 (`model=""EURO"", provider=""copernicus"", resolution=ISLAND_RESOLUTION, region_id=""island_*""`); copernicus_island_regions.py:55-76 (the 20 bboxes), :78 `ISLAND_RESOLUTION = 0.0833`. NOTE the memory landmine 'EURO = TWO upstreams under ONE label' is now THREE."
