ID,Claim A (source),Claim B (source),Current Evidence,Better Supported,Canonical Interpretation,Tasks Affected,Corrective Action Required
CON-01,"Audit 11.4 Gate C = FAIL, ""6 of 10 mutants survive 32/32 green"" (RELEASE_GATE_MATRIX.csv, Executive Gate Decision, AUTHORIZED_NEXT_GATE_PACKET.md, all in commit fb601060)","MUTATION_RESULTS_FINAL_10of10.json: all ten mutants CAUGHT (same commit fb601060); commit message ""4 of 10 mutants became 10 of 10""","RV-04 THIS AUDIT: M9 and M8 applied at HEAD in an isolated worktree, both CAUGHT (2 failed / 52 passed of 54 each); control 54/54","Claim B, decisively","Gate C is PASS at HEAD. The FAIL text is stale-at-publication, not wrong-at-the-time (the harness fix landed at ecfc1077, 22 min before publication)","WS-CAN-0031, WS-CAN-0045",Retire 11.4 Gate C FAIL and Gate I FAIL. The one genuinely open residue is the non-vacuity guard (WS-CAN-0045)
CON-02,"Audit 11.4: ""This audit must run after the implementation mission authorized by Audit 11.3 has been completed"" (its own commissioning prompt)","Audit 11.4 S2: ""There is no Audit 11.3. find . -iname *11.3* returns nothing""","Confirmed: no 11.3 report, directory, or evidence exists anywhere. The 11.3 PROMPT exists in session 33778014 and declares WEATHER_SIM_ROOT_CAUSE_CLOSURE_AUDIT_11.3.md",Claim B,"Audit 11.3 is a PHANTOM AUDIT: prompt authored, never run. 11.4 correctly marked the unverifiable requirements Unable to Verify rather than passed",All 11.4 Gate A rows,None for 11.4 (it handled this correctly). The governance rule in 12.0 S19 addresses the cause
CON-03,"Session 33778014 (2026-08-11T22:11Z), verbatim: ""don't run 11.3, and don't run the 11.4 I wrote you. Both would produce a fifth document about a system whose problems are now specifically named""",Audit 11.4 was commissioned and run 16.75 hours later (2026-08-12T14:58Z),Both events are in the transcript record,"Both are true; they are a decision, not a factual conflict","The recommendation against a fifth report was made, recorded, and overridden. 11.4 nevertheless produced real value (the tautology finding) - so the recommendation was directionally right about churn and wrong about yield",Governance,12.0 S19 rule 5: a recommendation against a new report must be answered in writing before the report is commissioned
CON-04,"MASTER_WEATHER_SIMULATION_REPORT_11.0.md (repo root) - audits c9a0e9fc, cites MASTER-AUDIT-11.0 as prior master","audit/weather-simulation-11.0/MASTER_WEATHER_SIMULATION_REPORT_11.0.md - audits 3d3ccdc2..9f4f8570, cites the repo-root file as its prior master","Two distinct 130 KB / 69 KB documents, same title, same version number, same day, different commits, different SHA-256",Both are real audits,They are DIFFERENT AUDITS sharing a version number. Plus docs/research/MASTER-AUDIT-11.0-2026-08-08 is a THIRD document numbered 11.0,"Every citation of ""Report 11.0""","12.0 assigns distinct source IDs. Future citations must name the path, never the number"
CON-05,audit/weather-simulation-11.2/WEATHER_SIM_CERTIFICATION_REPORT_11.2.md (verdict NOT CERTIFIED),audit/weather-simulation-11.2/WEATHER_SIM_FORWARD_PROGRESS_AUDIT_11.2.md (verdict ON TRACK),"Two distinct reports, both numbered 11.2, in the same directory, with opposite-sounding headline verdicts","Both, on different scopes","The certification verdict is explicitly scoped (""a truth-layer and determinism verdict, not an architecture verdict""). They do not actually contradict - but the shared version number invites reading them as if they did",Program status reporting,"Never cite ""Audit 11.2"" without the document name"
CON-06,Report 11.0 and 11.1 both cite the infobox/heatmap parity guard PASS as meaningful,"11.2 production forensics: forecastDiagnostics.js:241-242 read renderedVectorCount / renderedNonzeroCount, which NO code writes; the producer was renamed around dcfce3c1 (2026-06-03)",FIXED at HEAD: forecastDiagnostics.js:48 now reads webglSourceVectorCount; the history is documented in-file at :15-31; the REFUSE third state shipped at :341-354,Claim B was right; the defect is now closed,The parity guard was blind for ~10 weeks and two audits cited its PASS. Both the orphaned read and the absence-as-success encoding are repaired,WS-CAN-0035,"None - closed. Retained as the program canonical example of ""grep the WRITE site, never the READ"""
CON-07,"11.2 published G2-01 as CRITICAL: ""the marine field does not render at/near the antimeridian""","11.2 itself, same document: REFUTED - the blank screenshot was a settle-time artifact (blank at 10 s, painted by 20 s); __RAW_GPU__.wrapCull reads needWrap=true at 179.6E",The refutation is recorded in RELEASE_GATE_MATRIX.csv with the superseded text preserved,The refutation,"A blank screenshot is a READINESS question. Compare time-to-paint, never rendered-vs-blank",Gate 2,None - self-corrected. This is the program best instance of an audit refuting its own published CRITICAL
CON-08,11.0 S1: performance maturity Adequate; 11.1: grid_series p90 latency 32 s -> 16 s,"THIS AUDIT, live production request_telemetry 2026-08-12T19:28Z: GET /api/weather/grid_series n=133 p50 5,000 ms p99 31,075 ms, 49 of 133 (36.8 percent) over 10 s",Captured artifact RV-01,Neither is refuted; they measure different statistics,"p90 and p99 are not comparable. What IS newly established: at HEAD more than a third of grid_series requests exceed 10 seconds, and process peak RSS is 87.0 percent of the 2,048 MB cgroup limit",Performance ranking,"Re-state the performance headline in p50/p99 terms with the >10 s fraction, and stop comparing across statistics"
CON-09,"Project memory: ""Render-OOM (closed)"" retired as a topic on the 18th pass","THIS AUDIT, live: memory.peak_rss_mb 1780.9 of limit_mb 2048.0 = 87.0 percent of the cgroup limit, 267 MB headroom",Captured artifact RV-01,Both,"The OOM KILLS are closed (11.1/11.2 attributed them, zero in 10.9 h). The HEADROOM is not. 11.1 own words still hold: the serve box spends essentially its entire memory headroom on a single client settle",Capacity gate,Reinstate headroom (not kills) as a watched number
CON-10,"11.0 S3.3: ""Regressions: none found. No previously-fixed defect was observed re-opened at HEAD""",11.0 title page: one stale registered worktree flagged as a search-hygiene hazard,THIS AUDIT: six stale registered worktrees at HEAD (five orphans from a prior session pinned to 79056047 / e8f10955),The count grew,"Not a code regression - a process regression in the audit environment itself, and it is the exact hazard 11.0 named",WS-CAN-0055,Prune the five orphans carefully (they may hold another session work)
