Dimension,Config,Model,Layer,Geography,LeadTime,Measured_Pixel_Delta_Pct,Measured_Frame_Variance_Pct,Paints,Method,Covered_By_Objective,Covered_By_Task,Status,Evidence
model x layer,chromium-desktop,GFS,Wind,"NW Atlantic z5 [-72,30]",hour 0 (default),74.778,95.713,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),68.125,99.707,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Swell,"NW Atlantic z5 [-72,30]",hour 0 (default),69.014,99.098,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Swell 2,"NW Atlantic z5 [-72,30]",hour 0 (default),68.782,98.13,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Wind Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),67.23,97.555,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Precip,"NW Atlantic z5 [-72,30]",hour 0 (default),15.265,99.159,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Radar,"NW Atlantic z5 [-72,30]",hour 0 (default),10.922,99.918,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Satellite,"NW Atlantic z5 [-72,30]",hour 0 (default),75.343,98.581,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Fog,"NW Atlantic z5 [-72,30]",hour 0 (default),4.134,99.936,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
model x layer,chromium-desktop,GFS,Pressure,"NW Atlantic z5 [-72,30]",hour 0 (default),55.807,79.392,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-chromium-desktop.json
