Capability (defined as behaviour before any technology is named),Classification,Evidence from Audit 12.2,Existing SOTA row checked,Why the existing row does not cover it,Proposed acceptance criterion,Candidate means (technology named LAST),Priority
"An instrument's output has a NAMED READER, and going unread is a failure state",Missing Core Requirement,"Three chains are green through Runtime Evidence and worthless: marine-nightly (RED, 18 of 37 runs failed, unread), WS-CAN-0027's WebKit failure video (worked on the first qualifying failure, unread, expires 2026-08-27), report_calibration (60,000 archived nearshore predictions, n_reports 0, read by one diagnostic route). The traceability chain the brief prescribes has no link for this.","B5 (observability exposes state), B8 (regression protection can fail), B15 (maintainable without forensic reconstruction)","All three grade whether an instrument EXISTS or CAN FAIL. None asks whether its output reaches a human. B8 in particular is satisfied by a test that can fail even if nobody reads the red.","Every instrument in the estate has a named reader and a cadence; a red or an empty result in any instrument appears in the next audit's baseline census automatically rather than by hand-listing",a generated instrument inventory; a digest that fails when an instrument is red or empty,HIGH
Runtime configuration is reportable,Missing State-of-the-Art Core Capability,"261 window.__RAW_*/__OM_* overrides in 143 production files; 197 with no test; 2 change a DISPLAYED FORECAST QUANTITY; 2 persistent localStorage renderer overrides with no reset path; NO telemetry of which are set","B5 lists model, model init time, forecast hour, layer, source, cache, worker, renderer and resource state",B5's enumeration stops before configuration. Without it a client cannot be reconstructed from a support report - which is the stated purpose of the row.,"The truth/telemetry payload carries every non-default override; a support report is sufficient to reproduce the client",one accessor + a generated inventory + CI diff,HIGH
Automated degradation is disclosed to the user,Missing Core Requirement,"useWebGLGuardrail silently switches the app to a second Canvas2D renderer after 12 low-FPS seconds, cancels in-flight truth chains, and tells the user nothing. Four triggers, one persistent in localStorage with no reset path. Zero tests reference either fallback component.","A14 (critical failures recover safely - detect, disclose, recover), B11 (adverse conditions are handled)","A14 is scored PARTIAL 'disclosure only' for the FAILURE case. Neither row contemplates a SUCCESSFUL automatic degradation that the user is never told about, which is a different thing: the app is working, and it is working differently.","A fallback engagement is visible to the user; every automatic degradation has a documented exit; the two stacks are asserted to agree on colour scale, units and land mask",progressive-degradation disclosure; a differential render test,HIGH
"Validation covers the SERVED quantity, not only the model input",Covered but Under-Specified,"The gate that can page grades offshore hs_m at the buoy - buoy_calibration.py:410-413 resolves at the BUOY deliberately, to exclude nearshore shoaling. The one instrument grading the served nearshore height and the 0-100 score is report_calibration.py: live n_reports 0, all MAEs null, available true, read by one diagnostic route, and it cannot refuse (three silent-zero paths, one with NO LOG AT ALL).",B7 - MET,"B7's acceptance is 'a gate that grades paired skill and can page', satisfied by offshore Hs. The certificate is defensible for what it graded; its SCOPE stops at the model input and no row ever said otherwise, which is exactly why nothing noticed.","B7's scope statement says in writing that it grades the offshore input; a successor row covers the served nearshore quantities; report_calibration REFUSES rather than reporting a silent zero","copy the sibling instrument's REFUSED state - forecast_accuracy_monitor.py already implements it",HIGH
Forecast validation is partitioned by geography,Missing State-of-the-Art Core Capability,"The accuracy estate is partitioned by height band, lead and model - never by geography. 58 of 60 panel buoys are in American waters.",B7,"B7 grades aggregate paired skill. A regional failure is invisible, and the program's largest measured accuracy lever (C1, 0.25 deg regional expansion) is a REGIONAL decision being made with no regional error signal.",Skill is reported per region and a regional regression can page,partition the existing ledger; no new instrument needed,MEDIUM
Lead-time validation reaches the horizon the product sells,Missing State-of-the-Art Core Capability,Lead-time validation stops at +72 h while user-reachable surfaces serve to ~+240 h (spot hub) and +336 h (premium).,B7,B7 does not name a lead-time envelope. The product sells 4.6x further out than it validates.,"Validation covers the served horizon, or the product states the validated envelope to the user",extend the existing skill ledger's bins,MEDIUM
Temporal interpolation is validated,Missing State-of-the-Art Core Capability,Time-interpolated frames are served through the full forecast chain and no instrument has ever measured their error against a native frame.,"A3 (valid time is correct and echoed) - MET",A3 grades that the served hour is correctly LABELLED. It says nothing about the error introduced by interpolating to it.,An interpolated frame's error against the native frame is measured and bounded,a control at a fixed valid_time; the byte-diff pattern of RV-03/RV-06 already exists,MEDIUM
Deterministic playback / reproducible visual tests,Already Covered,zoomlab drives a scripted real-gesture staircase with a per-frame trace synchronised on map.on('render') and a budgeted verdict; this audit's covercap.js reproduces a differential pixel oracle in one file using the repo's own pngPixels decoder.,"B8, B13",Covered - the capability exists. What is missing is a READER (row 1) and a value oracle (WS-CAN-0028).,n/a - do not open,n/a,n/a
Data provenance and versioning,Already Covered,"A1 MET - every served payload names model, provider, upstream model and dataset. Release identity end to end: health SHA, SW stamp, GPU build, truth/telemetry payload stamps.",A1,Covered.,n/a,n/a,n/a
Schema validation of provider responses,Covered but Under-Specified,"_fetch_message_bytes accepts a bare 200; the NDBC ground-truth parsers index FIXED COLUMNS and discard the header they could validate against - and the repo already owns the parsing tools to do it.",B14 - FAILING,"B14 covers the integrity chain (checksum, byte-count, Range). The NDBC column-drift case is a different mechanism (a silently mis-parsed OBSERVATION, not a truncated product) and the fix is smaller.",A provider schema change is detected rather than silently mis-parsed; the NDBC header is validated,use the header the parser already reads and discards,MEDIUM
Cost controls,Missing Advanced Differentiator,"Two tile providers, one token-gated and paid; an Open-Meteo quota cited as load-bearing in 7 source comments across 6 files and counted nowhere; PostHog unregistered; ~29 backend deploys/day; ~60 MB/night of CI artifacts.",no SOTA row,No row covers cost or quota headroom. An UNDOCUMENTED quota on a load-bearing dependency is a finding in its own right.,A counter and a headroom signal exist for every metered upstream,a request counter + a breaker,MEDIUM
"Privacy-safe telemetry",Covered but Under-Specified,PostHog is injected in frontend/public/index.html and observes an authenticated map session; it is in no dependency register. Separately POST /api/weather/client-diagnostics is unauthenticated and field-unbounded.,no SOTA row,No row covers third-party data collection or the privacy surface of retained failure video.,Every third-party data collector is registered with its collection surface stated,register first; policy second,MEDIUM
Release automation / progressive rollout,Missing Core Requirement,"dev has NO branch-protection object (HTTP 404); 401 of 595 commits in 14 days deploy the single production backend with no required check; no rollback runbook or named known-good point; canary blocked on WS-CAN-0044.","A18 (users receive the tested artifact) - FAILING, B12 (kill switch and control arm) - MET","A18 is about the frontend freeze. B12 is about FEATURE-level rollback, which the program does excellently. Neither covers RELEASE-level gating or rollback of the deploy itself.","A required check gates the deploy, or the owner records the decision not to have one; a named known-good point exists",branch protection; a rollback runbook,MEDIUM (owner decision)
"WebGPU / OffscreenCanvas / Zarr / SWAN / learned downscaling",Not Necessary,unchanged from 12.1,C5-C8,"Prerequisites unchanged. 12.2 STRENGTHENS the case against them: the platform's constraint is not capability, it is that existing capability goes unread.",n/a - DO NOT START,n/a,REJECT
