ID,Report 11.0 Recommendation,Intended Outcome,Actual Work (commits),Runtime/Static Evidence at HEAD,Current Status,Decision,Root cause reproduced before repair?,Acceptance test created?,Test reproduces original failure?,Duplication effect,Rollback preserved?,Benefit measurable?,Still valid?
R11-01,Marine fallback churn loop: clear/gate __MARINE_ENGINE__ + gate backstop on webglMarineFailed + terminal truth stages,End the unbounded ~6 s re-drive class,843f6e59 (3 seams); 1073f36f (triggerRepaint into finally on BOTH layers),"STATIC: WebGLMarineEngine.js:3199-3200 clears window.__MARINE_ENGINE__ on dispose when === this; useMarineScrubSettle.js:88-92 marineFallbackSuppressesEmptyRedrive() reads __WEBGL_GUARDRAIL_FALLBACK__.webglMarineFailed with kill switch __RAW_BACKSTOP_IGNORE_GUARDRAIL__; weatherTruthTracker.js:428 emits chainCancelled. LIVE (localhost:3009 HEAD): __MARINE_CHURN__ = {counts:{engine_init:1}} — exactly one init, zero re-drives; __WEBGL_GUARDRAIL_FALLBACK__ present and false/false",Complete but Unvalidated,Continue,Yes (mechanism statically pinned in 11.0),Partial — unit-level (useMarineScrubSettle.commitStamp.test.js),NO — the guardrail trip was never reproduced live at HEAD,Decreased (one authority for engine-empty),Yes (two independent kill switches),"Not yet — the churn counter reads clean only on the healthy path",Yes
R11-02,JS rating mirror: port MIN_SWELL_ENERGY_SHARE refusal + fix counter-pinning test + extend goldens,Prevent 64.6-pt infobox-vs-glyph contradiction on SURF_PARTITIONS flip,9fe18414,"surfRating.js:116 MIN_SWELL_ENERGY_SHARE = 0.50; :142 refusal implemented. surfRating.test.js counter-pinning fixture CORRECTED (windsea 3.0 -> 0.5) with the R11-02 rationale in-comment, and a NEW explicit refusal test added. 4320-row parity goldens green (1949/1949 frontend tests)",Verified Complete,Complete,Yes (re-measured 64.6 pts at 11.0),Yes,Yes — the corrected fixture fails against the un-ported mirror,Decreased,Yes (revert one file),Yes (level drift 5501/34035 -> 0/34035 per in-code note),"Yes — but the PARITY GATE still passes only 6 of 12 args (ratingParity.test.js:38), so future drift on the other 6 remains structurally invisible"
R11-03,Build stamp on truth/telemetry/client-diagnostics payloads,Release-correlated field diagnostics,f1db2900,"weatherTruthTracker.js:8 imports BUILD_VERSION and :204 emits build:; WeatherTelemetry.js:8,:282 same. Live confirm not possible in local dev (no BUILD_VERSION stamp locally); deployed SW serves BUILD_VERSION='8be9dd56'",Verified Complete,Complete,Yes,Not located,n/a (additive field),Neutral,Yes,Yes,Yes
R11-04,Run identity + provenance on series frames; response-level run census,Mixed-run detection and honest provenance,7312412b,"grid_series_helper.py:58-61 frames carry run_time/upstream_provider; :387-393 emits run_census. LIVE PRODUCTION CATCH: T-CAP-01 response carried run_census={distinct_runs:2, min 2026-08-10T13:00:30Z, max 2026-08-10T20:49:05Z, mixed_runs:true} — a ~7.8 h run split in ONE response. This closes Report 11.0 open question U-2 with a POSITIVE observation",Verified Complete (serialization half),Continue,Yes,Yes (test_run_provenance.py in guard lane),Yes,Neutral,Yes,"Yes — and it immediately produced its first real catch",Yes. The CYCLE half (run_time = ingest wall-clock not model cycle) is UNCHANGED and still open
R11-05,Sim model contract: thread a model enum through tools/caches/provenance OR label every answer GFS-only,Remove the single-model-per-process ambiguity,none,"weather_sim_mcp.py: all SIX tools (get_surf_spots, get_weather_forecast, simulate_weather_change, find_best_window, find_best_spot, clear_simulation_overrides) still expose NO model parameter. sim_observed.parity() signature at :188 still omits the model argument to the one model-keyed cache. forecast_confidence: zero occurrences in weather_sim_mcp.py",Not Started,Defer,n/a,No,n/a,Unchanged,n/a,No,Yes — latent until any model-parameter work begins
R11-06,Retire/pin the ICON >168 h client blend; arm marineCommitArbiter after reading arb_shadow_diverge,One composition per hour,none,No change to backendWeatherServiceClientHelpers.js blend path; arbiter still dark behind __RAW_MARINE_ARBITER__,Not Started,Defer,n/a,No,n/a,Unchanged,n/a,No,Yes
R11-07,Reliability seams cluster: worker onerror + zero-fill->null + reply ordering + HTTP-status honesty + silent-except logging,Stop converting failure into false success,47d249bb (worker); 926d6b22; d8b8d35c (4 worst silent excepts),"Worker crash path and fabricated-zeros addressed per commits. STILL OPEN and re-verified at HEAD: conditions.py returns HTTP 200 with {""error"": ...} on SIX paths (:94, :172, :176, :212, :216, :270, :274, :327, :331) including raw str(e) leakage. Backend bare except...pass 26 -> 24; JS empty catches 85 -> 84",Partially Complete,Correct,Yes,Yes (guard lane),Yes for the worker half,Slightly decreased,Yes,Partially,"Yes — the HTTP-status-honesty half is untouched and is the user-visible one"
R11-08,Point api-metrics at request_telemetry; make /api/weather/status measure-or-refuse,End fabricated observability,926d6b22,"routes/weather.py:663-686 now returns provider_status/last_errors/stale_products_count = None with an explicit note pointing at /api/health.request_telemetry. routes/admin/system.py:486-524 reads request_telemetry snapshot(), source:'request_telemetry'. RESIDUAL: system.py:208 error_rate = 0.5 # Placeholder still present",Partially Complete,Correct,Yes,Yes,Yes,Decreased,Yes,Yes,"Yes for the one residual placeholder"
R11-09,dt-normalized advection (flagged A/B) + port marine's 4 invariants to wind,Hardware-independent motion; close a11y gap,13b772bf (device-tier pool + reduced-motion damp),"PORTS SHIPPED: WebGLWindLayer.js:15 imports getWindParticleRes from ./deviceTier; :232 records the innerWidth bug being killed. dt HALF NOT SHIPPED: WebGLWindEngine.js:546 and WebGLMarineEngine.js:2171 both still compute stableSpeedScale with no dt term",Partially Complete,Continue,Yes,Yes for the ports,Yes for the ports,Decreased (wind now shares marine's helpers),Yes,Yes (a11y mandate gap closed),Yes for the dt half — classified Prototype so timing is correct
R11-10,GPU lifecycle: (a) Promise-as-geojson (b) score-texture dispose (c) rollback nulls (d) safeDeleteTexture accounting (e) state-isolation units 0-6,Stop GPU leak + telemetry drift + state pollution,843f6e59 (a); 2e20122d (b/d/e),"(a) FIXED: WebGLMarineLayer.js:667-668 passes null with the explanatory comment; landGeoJSONRef holds the RESOLVED object. (b)(d)(e) per commit 2e20122d. (c) not separately verified this audit",Complete but Unvalidated,Continue,Yes,Yes (existing GPU tests),Partial,Decreased,Yes,Not independently measured,Yes for (c)
