experiment_id,hypothesis,alternative_hypothesis,controlled_difference,expected_outcome,actual_outcome,runtime_evidence,scientific_evidence,architecture_effect,conclusion,status
AB-01,The marine wave field does not paint at Cocoa z8 - a shipped rendering defect,The local dev environment cannot reach the backend so there is no data to paint - an environmental condition,"Same probe, same cameras, same layers, run against the DEPLOYED build (dev--rawsurf.netlify.app @ 568fc2c6) instead of localhost",If shipped: the deployed build is also blank. If environmental: the deployed build paints.,"DEPLOYED PAINTS. grid_series 45/45 HTTP 200; all 20 layer x camera cells produced a populated palette. A later warm-backend LOCAL run also painted, with grid_series 52/52 HTTP 200 and only 10 failures vs 122 cold.",evidence/paint-control-deployed568fc2c6.json; paint-control-local-fb50fa6d-meta.json; blind-summary.json,n/a,none,"ENVIRONMENTAL - a Render cold-start transient. The blind snapshot's most alarming single observation is WITHDRAWN and downgraded to local-environment-scoped. This is the audit's own most important self-correction.",EXECUTED - CONCLUSIVE
AB-02,The SOURCE-PARITY-MISMATCH means the marine engine is DRAWING a stale variable while a different layer is active - a renderer/state-ownership defect,The engine merely RETAINS the last marine field without drawing it and the instrument is comparing metadata that need not agree - an instrument defect,"Decode the ocean crop of each frame (PNG inflate + unfilter in Node) across 4 layers x 5 cameras and compare the mean RGB per layer","If the renderer is wrong: the palette under Wind matches the palette under Swell. If the instrument is wrong: each layer has its own palette.","EACH LAYER HAS ITS OWN PALETTE. Wind [34,55,71]; Waves [43,58,72]; Swell [31,70,74]; Water Temp [63,60,50]. The drawn variable matches the active layer at every one of 5 cameras.",evidence/paint-control-local-fb50fa6d.json,"The retained field is real, not dead metadata: at parity-trace step 7 heatmap.vectorCount=15023 and waveData=true while activeLayer=wind, with unsampledReasons=null",none - the renderer is correct,"THE INSTRUMENT IS AT FAULT, NOT THE RENDERER. forecastDiagnostics.js:334 guards for an UNINITIALISED heatmap but not for the case where the marine heatmap is not the active renderer at all. Third iteration of the same shape at the same site.",EXECUTED - CONCLUSIVE
AB-03,Hiding every custom (marine) layer will change the parity verdict - proving the verdict is derived from what is drawn,The verdict is derived from engine metadata and is independent of what is drawn,"map.setLayoutProperty(id,'visibility','none') on every layer of type 'custom', then re-read window.__MARINE_SOURCE_PARITY__","If drawn-derived: status changes. If metadata-derived: status unchanged.","DID NOT EXECUTE. The probe lost the window.__M__ handle; hiddenIds returned null and style.customLayers read null both before and after. The before/after 'both MISMATCH' reading is therefore NOT a null result - no ablation was applied.",evidence/causal-traces/local-parity-ablation.json,n/a,n/a,"NOT PERFORMED. Reported as such and never as a null result. If repeated, use OPACITY not visibility - the project's own record notes visibility:'none' is silently reverted on OceanMask (OceanMask.js:658), which would produce a FALSE NEGATIVE that clears the culprit. AB-02 is the surviving discriminator.",NOT EXECUTED
AB-04,"The 0.25 deg GFS-Wave .om product fails to load, which is why a 2 deg grid is served",The upstream is healthy and the coarse grid is served for a reason internal to the client,"Probe the exact failing URL directly with curl: HEAD, a Range GET, and the product's latest.json","If upstream broken: non-2xx. If healthy: 200/206.","UPSTREAM IS HEALTHY. HEAD -> 200; Range 0-63 -> 206 (Range supported); latest.json -> 200, 5332 bytes, completed:true. The .om product IS requested by the app (15 times at Cocoa z9) and the disclosed served resolution stays 2 deg.",curl probes recorded in WEATHER_SIM_CAUSAL_PROGRESS_AUDIT_13.1.md section 11 packet 4,"~223 km grid (2 deg) disclosed at z5 z7 z8 z9 z10 z12 on the deployed build",none,"THE PROVIDER IS EXONERATED. The observed client-side aborts are CONSISTENT WITH CORRECT stale-request cancellation on a Range-chunked reader and this audit does NOT claim they are pathological. The mechanism by which the fine product does not become the served product remains OPEN (gap G-03).",EXECUTED - PARTIAL (exonerates upstream; does not identify the cause)
AB-05,Resource growth across a journey means resources are never freed,The system returns to a canonical resource state when driven back to a canonical state,"Re-establish the identical baseline (GFS, Wind, Cocoa z8, bearing 0, pitch 0) four times with no perturbation and read the counters each time","If never freed: counts climb across the four repeats. If freed: counts are identical.","IDENTICAL EVERY TIME. textures 67/67/67/67; buffers 504/504/504/504; layers 138 x4; RAF sites 2 x4; workers 18 x4; GL contexts 1 x4; intervals 20 x4; programs 24 x4. Spread ZERO on eight of nine counters.",evidence/jacobian-tests/local-noise-estimate.json,n/a,"establishes a zero-noise measurement floor, which is what makes every Jacobian delta in this audit signal rather than noise","BOTH ARE TRUE AND THE DISTINCTION MATTERS. Resources ARE returned at a canonical baseline. The 2.1x/2.6x growth reported in Journey A occurs WITHIN a journey that never re-lands on the baseline. The +5 style layers are the exception - they do NOT return.",EXECUTED - CONCLUSIVE
AB-06,The layer buttons are idempotent setters so a harness can reliably set the active layer,The buttons are toggles with no idempotent set and no machine-readable state,Repeat the identical baseline click sequence four times and read the HUD Model/Layer each time,"If setters: all four identical. If toggles: alternation.","STRICT ALTERNATION. noise[0] 'GFS / wind LOADED'; noise[1] 'GFS / none OFF'; noise[2] 'GFS / wind LOADED'; noise[3] 'GFS / none OFF'.",evidence/jacobian-tests/local-noise-estimate.json,n/a,"accessibility + testability: 62 buttons on the page and exactly 1 aria-pressed (the GFS chip); 0 role=slider anywhere","TOGGLES, CONFIRMED. Neither a harness nor an assistive technology can read or reliably set the active layer. Every Jacobian probe row records which state its leg started from so like was compared with like.",EXECUTED - CONCLUSIVE
AB-07,Switching the model after switching the layer behaves as the sum of the two operations,The combined path is a different code path,"Four-term protocol: measure f(x), f(x+layer), f(x+model), f(x+layer+model), each from an independently re-established baseline","If additive: residual I ~ 0. If a different path: |I| large.","SUPER-ADDITIVE. Layer switch alone -70 textures / -841 buffers (a large teardown). Model switch alone 0 / 0. Both together +14 / +83. Residual I = +84 textures / +924 buffers.",evidence/jacobian-tests/local-interaction-residuals.json,n/a,"the teardown a layer switch performs is SUPPRESSED when a model switch follows it","CONFIRMED NONLINEAR. Against four sub-additive pairs (resize x zoom -92/-800; layerSwitch x mapMove -62/-710; antimeridian x zoom -52/-223; zoom x layerSwitch -26/-17) and two clean pairs (modelSwitch x timeScrub and hidden x timeScrub, I ~ 0), a +924 buffer residual is not noise.",EXECUTED - CONCLUSIVE
AB-08,The app pauses its animation when the document is hidden,The app has no visibility-based animation ownership and relies entirely on browser throttling,"Override document.visibilityState via defineProperty, dispatch visibilitychange, count RAF callbacks for 8 s hidden and 8 s visible IN THE SAME JS CONTEXT","If app-owned: hidden rate collapses toward 0. If browser-only: hidden rate ~ visible rate.","NO APP-SIDE OWNER. 142 RAF in 8 s hidden = 17.8/s vs 148 in 8 s visible = 18.5/s - 96% of the visible rate. Fetches during hidden: 0. Textures during hidden: 0. One setInterval IS cleared on hide (-1).",evidence/jacobian-tests/local-hidden-raf.json,n/a,"one visibility-aware owner exists (an interval); the animation loop has none","CONFIRMED, WITH A STATED LIMIT. defineProperty does NOT engage Chromium's own background throttling, so this shows the APP has no owner of its own - NOT that a real background tab burns full CPU. The visible-rate control measured in the same context is what makes the comparison interpretable.",EXECUTED - CONCLUSIVE WITHIN ITS STATED LIMIT
AB-09,The CI chain floor at HEAD matches what the lane actually collects,The floor is stale and the only test watching it compares two hand-written numbers to each other,"Run the real lane selector and the real collector at committed HEAD and compare against both the ci.yml floor and _FLOOR_SET_FROM","If sound: selector output matches the floor's margin. If self-referential: the pair test passes while the floor is stale.","STALE AND INVISIBLE. ci.yml chain floor = 88/809; _FLOOR_SET_FROM['chain'] = 815; margin 6 = budget 6 so the pair test PASSES. Real selector -> 90 files. Real collector -> 839 tests. Stale by 2 files and 30 tests.",TEST_PROTECTION_QUALITY.md,n/a,"the floors gate file count and pass count only - a file gutted to assert True keeps every floor green","CONFIRMED. No test in the repository can see the staleness. The pre-push hook catches it (5 of 5 per 568fc2c6's own body) but that control lives outside CI and outside the test suite.",EXECUTED - CONCLUSIVE
AB-10,A commit that landed mid-audit invalidates the runtime evidence,The mid-audit commit touched no runtime source so the evidence stands,"git show --name-only 568fc2c6 filtered to frontend/src, backend/services, backend/routes, backend/scheduler","If runtime source touched: evidence compromised. If not: evidence stands.","NO RUNTIME SOURCE TOUCHED. The filter returns nothing. 568fc2c6 changes .github/workflows/ci.yml (+10/-1) and backend/tests/test_ci_floor_staleness.py (+1/-1) only - neither is in the CRA build graph.",CURRENT_BASELINE_MANIFEST.md section 0,n/a,none,"EVIDENCE STANDS. The audited range is restated as 791fdf78..568fc2c6 = 128 commits and 568fc2c6 is analysed inline. The baseline-integrity finding itself is retained and is the audit's first finding.",EXECUTED - CONCLUSIVE
