id,area,task,source,dependency,current_state,evidence,owner_action,next_action,acceptance_gate,target_batch,disposition
C4-P0-01,halo,Record the exact owner halo reproduction vector R = {immutable URL SHA account-role center zoom-ladder layer model theme viewport settle-discipline animation-time browser GPU full-flag-set},Audit 4.1 P0 register; lane handoff 2a,C4-P0-02 for the deployed leg only,"RECORDED 2026-08-16 and PROVEN SUFFICIENT - it reproduced the defect first try. R = {https://dev--rawsurf.netlify.app/map, frontend SW 7becd023, authenticated owner session, center [-80.2,28.33], zoom 7.50, layer Waves, model GFS, dark theme, viewport 800x736, isStyleLoaded true, 145 style layers, animation live}. Six telemetry channels captured before any lever.",program/weather-simulation/evidence/HALO-ATTRIBUTED-ocean-mask-buffer-2026-08-16.md section 1-2,None - surface resolved: the dev alias. Production frontend is frozen at 3bd38a83 and cannot carry this regression.,Reuse this vector verbatim for the control coast and the light/beach theme legs,"Written vector with every field populated, plus a before-lever telemetry capture at the band",B2,VERIFIED_COMPLETE
C4-P0-02,halo,Seed authenticated Playwright storageState for deployed optical testing,Audit 4.1 P0; owner instruction 'you need to seed auth'; RUNBOOK-2026-08-15-halo-optical-promotion-gate.md option A,Owner-provisioned test account or saved state,"NOT SEEDED, and the block is now EMPIRICALLY PROVEN rather than inferred: navigating the dev alias to /map redirects to /auth?tab=signup&redirect=%2Fmap with 0 canvases and window.__RAW_GPU__ undefined. No unauthenticated route reaches the map. Zero storageState files exist anywhere under the repo.","browser navigation to https://dev--rawsurf.netlify.app/map on 2026-08-16 -> auth redirect, canvases:0, __RAW_GPU__ undefined; git grep storageState -> 5 hits, all documentation; find for *storage*state* -> 0 files",Provide a NON-PRODUCTION test account (or an exported storageState) for the dev alias. Never paste credentials into chat; place the file at .secrets/zl-auth.json locally.,Add .secrets/ to .gitignore and write the setup-project login script; leave the state file to the owner,Authenticated navigation to the dev alias succeeds headless and the state file is git-ignored,B2,BLOCKED_OWNER_provide-test-account-or-storageState
C4-P0-03,halo,Attribute the first bad halo painter with a one-variable A/B,Audit 4.1 P0; lane handoff 2a Jacobian shortlist,C4-P0-01 and (deployed leg only) C4-P0-02,"ATTRIBUTED AND CLOSED 2026-08-16 on the authenticated dev alias at the owner scene. Four-leg one-variable experiment, center [-80.2,28.33] z7.50 dark GFS Waves, style settled, everything else verified fixed: A baseline halo PRESENT; B line-opacity->0 halo ABSENT; A' opacity restored halo RETURNS (non-vacuity control); C opacity left at FULL and the layer moved BELOW webgl-marine-particles, halo ABSENT. Painter = ocean-mask-buffer. Leg C proves the defect is STACK ORDER, not styling. ZOOM LADDER ADDED (owner challenge): paired captures at the same position with the order toggled in place. STOCK halo PRESENT at z2, z4 (severe - whole Gulf/Atlantic/Caribbean), z7.5; FIXED absent at z2, z4, z6, z7.5 with the buffer at FULL stock opacity and visible. At z9 the halo is already gone in STOCK because line-opacity ramps 8.5->1.0, 9.5->0.0, and above z9.5 it is 0 by construction. Affected band = z1..z9.5, worst z4-z8.5 - which is why it 'goes away when you zoom in' and why close-zoom-only inspection would have missed it. coverageTerminal read unknown/safe_degraded/covered across the ladder and the halo appeared in every opaque regime, so the defect is independent of the coverage state machine.",program/weather-simulation/evidence/HALO-ATTRIBUTED-ocean-mask-buffer-2026-08-16.md; 4 screenshots; live style._order fill8/inland9/waterway10/FIELD11/buffer12/line13,Run the 30-second console A/B (flag + layer toggle) - no credentials needed from us since the owner is already authenticated,Hand off to C4-P0-06: repair MASK_FAMILY_CHAIN so the custom WebGL field is not placed below MASK_BUFFER,One lever produces a reproducible pixel change in the owner band with all other variables held fixed,B2,VERIFIED_COMPLETE
C4-P0-04,halo,Complete halo commit archaeology with a Jacobian column and never-closed faces named,Audit 4.1 P0-04; owner request in lane handoff 2b,none - read only,"DONE 2026-08-16. 19 halo fixes across 11 weeks tabulated in 5 eras, each with lever / intended face / proof-then / later-refutation / still-open remainder. Four never-closed faces named. One of my own claims was raised and then REFUTED by reading the diff (see evidence section 3).",program/weather-simulation/evidence/HALO-COMMIT-ARCHAEOLOGY-2026-08-16.md; 11 reproducible git commands listed in its section 6,None,Feed the reordered lever priority into C4-P0-03: run the ocean-mask-buffer A/B FIRST,Table in evidence/ covering every halo-related commit with a named face and an explicit never-closed list,B2,VERIFIED_COMPLETE
C4-P0-05,halo,Finish the mount-permutation hunt and the planner-on control,Audit 4.1 P0-05; lane handoff 2c,local dev server,"PARTIAL. ~3 of ~24 trials ran before session exit. 2 unique BAD permutations captured, both the lakes/rivers/parks-under-fill class. In NEITHER do buildings/roads sit below the fill.",frontend/scripts/mount-permutation-hunt.js and evidence/mount-hunt-2026-08-16-partial/ on lane 33bd3787,None,Finish the hunt plus the planner-ON control phase (pass = exactly one permutation hash and moved:0),All trials complete; planner-on yields exactly one hash with moved:0; any buildings-below-fill permutation triggers the pass-isolation ladder,B3,OPEN_READY
C4-P0-06,halo,Implement the smallest causal halo repair on one authority surface,Audit 4.1 P0-06,C4-P0-03,"FIX WRITTEN AND PROVEN 2026-08-16, owner-confirmed live before the source change. ocean-mask-buffer is now OPT-IN ONLY (resolveCoastBufferOn in waterTempAnchor.js; OceanMask.js delegates). MY FIRST ANSWER WAS WRONG AND THE OWNER CAUGHT IT: reordering the buffer below the field clears the band over water but lands the near-black line above ocean-mask-fill, darkening coastal land instead - the symptom moves, it does not clear. The proven fix is to stop painting it at all by default. Mutation-verified: restoring the pre-fix semantics turns 3 tests RED; 10/10 green after. 137 suites / 1452 tests pass; eslint 0 errors; OceanMask.js 904/905 LOC (net zero).",program/weather-simulation/LAYER_ORDER_PROOF_LOG.json#LOP-0001; frontend/src/components/map/OceanMask.coastBuffer.test.js; evidence/HALO-ATTRIBUTED-ocean-mask-buffer-2026-08-16.md,Authorize the push (renderer source change). Every push to dev is a production backend deploy.,"C4-P0-07: optical proof on the deployed candidate - owner coast + control coast, three themes, full zoom ladder","Failing-before / passing-after semantic invariant on MASK_FAMILY_CHAIN, pass-isolated optical probe, and the FULL zoom ladder z2/z4/z6/z7.5/z9 on the owner coast AND a distinct control coast, in all three themes - a close-zoom-only proof is explicitly insufficient (owner, 2026-08-16)",B4,COMPLETED_AWAITING_PROMOTION
C4-P0-07,halo,Prove the exact candidate optically on an authenticated immutable preview,Audit 4.1 P0-07,C4-P0-02 and C4-P0-06,NOT POSSIBLE YET. No authenticated preview run has ever occurred; all optical evidence to date is SwiftShader/local.,Audit 4.1 'Latest marine visual gate'; no Marine Nightly receipt exists on 7becd023 or any newer SHA,None beyond C4-P0-02,Hold,"Immutable preview permalink, light + beach, desktop + mobile projects, real GPU metadata, zero settled halo finding",B5,OPEN_BLOCKED_C4-P0-02
C4-P0-08,release,Converge local commits into one reviewed promotion path and close the duplicate,Audit 4.1 P0-08 and OP-11,Owner push/merge authorization,"DONE 2026-08-16. PR #9 MERGED at 15:06:27Z; origin/main ffe7a462. Tree parity VERIFIED: `git diff --stat origin/main origin/dev` is EMPTY, so main and dev carry identical content. MECHANICS THAT COST FOUR ATTEMPTS: fast-forward is impossible (main has required_linear_history and dev's history contains ed280c93, an EMPTY 'reconcile main back into dev' merge whose second parent is main's own tip); and both `--rebase` and `--squash` FAILED SILENTLY - no output, no error, PR stayed OPEN - because main has enforce_admins:true and the merge needs `--admin`. Working command: gh pr merge 9 --squash --admin -R <repo>. NOTE main and dev do NOT share commit SHAs (squash rewrites them); parity here means identical TREES.",origin/main ffe7a462; PR #9 mergedAt 2026-08-16T15:06:27Z; git diff --stat origin/main origin/dev empty,None for #9. PR #10 and #7 remain - see C4-OP-11.,Never merge main back into dev - that is what created ed280c93 and it will block the next promotion the same way,One PR contains the intended commits; the duplicate is closed with a written reason; required checks green on the actual head SHA,B3,VERIFIED_COMPLETE
C4-P0-09,release,Restore production release coherence (frontend and backend on the same approved SHA),Audit 4.1 P0-09; WS-CAN-0039,Owner production unfreeze,"MEASURED 2026-08-16, no longer inferred. The repo side is DONE and the blocker is provably Netlify-side. Evidence chain: main promoted 15:06:27Z to ffe7a462; that promotion changed 698 insertions across frontend/src, so netlify.toml's production `ignore` rule (git diff --quiet -- frontend/src frontend/public netlify.toml) returns NON-ZERO and CANNOT have skipped the build; 22+ minutes later prod still serves BUILD_VERSION 3bd38a83 (2026-05-20). THE CONTROL that makes this conclusive: the dev alias on the SAME site, SAME repo, SAME build command republished within minutes and is already at c3ab8298. The pipeline works; the production CONTEXT specifically does not publish. This retires the 85-day ambiguity - it is a publish lock / auto-publishing setting, not anything in git.",curl service-worker.js on both aliases 2026-08-16; git diff --stat 118cfabc origin/main -- frontend/src frontend/public netlify.toml (698 insertions); PR #9 mergedAt 15:06:27Z,Netlify -> site `rawsurf` -> Deploys: the production deploy is locked or auto-publishing is off. Unlock and publish the newest build. NOTHING in the repository can do this and no further commit will change it. Until then NO frontend fix reaches production users - which makes every C4-UX row invisible in prod.,"Blocked. Once unlocked, verify prod BUILD_VERSION moves and run the owner-scene optical canary.",Production frontend and backend report the same approved SHA and the canary passes,B6,BLOCKED_OWNER_netlify-production-publish-lock
C4-P0-10,security,Rotate the credentials committed in BRAIN_RULES.md and remove tracked exposure,Audit 4.1 P0-10; WS-CAN-0021,Owner credential authority at each provider,"CONFIRMED WITHOUT DISCLOSURE - TWO live credentials in tracked files. (1) Supermemory MCP API key, BRAIN_RULES.md line 60. (2) Qdrant Cloud cluster endpoint + API key, BRAIN_RULES.md line ~200 AND .antigravityrules. BRAIN_RULES.md is tracked and appears in 20 commits, so both are in git history.","redacted grep of BRAIN_RULES.md lines 52-61 and 198-203; git ls-files --error-unmatch BRAIN_RULES.md -> TRACKED; git grep -l cloud.qdrant.io -> BRAIN_RULES.md, .antigravityrules","REVOKE/ROTATE both at the provider consoles (Supermemory, Qdrant Cloud). Rotation must happen BEFORE removal - removal alone does not revoke a leaked key.",Prepare the sanitizing edit (replace values with env-var references) and add secret scanning; do not commit until the owner confirms rotation,"Old credentials rejected by their providers, replacements in a secret manager, tracked files reference env vars only, secret scanning active",B2,BLOCKED_OWNER_revoke-and-rotate-two-credentials
