Objective ID,Canonical Tasks,Tasks Closed,Tasks Open,Implementation Commits,Active Files / Symbols,Tests,Runtime Evidence,Traceability Finding
WS-OBJ-001,"0012,0013,0033,0036,0060,0061",2 (0060 shipped+guarded; 0013 historically),4,"0f13fa7d,2dd8f1ff,6bef6eda,82005e35,ba7f1c18,f314f418",colorScales.js; openMeteoProtocol.js; WebGLWindEngine.js,layerColorScaleCoverage.test.js (mutation-proven),"z2.99: 45 entered / 20 decoded; z2.00: 24 entered / 0 decoded",OBJECTIVE HAD NO TASKS BEFORE 12.1. Two user-visible defects lived outside the register for the whole program
WS-OBJ-002,"0002,0004,0005,0014,0015,0023,0024,0029,0034,0035,0062",4 (0002/0004/0023/0034/0035 - five),6,"512b1cb6..9fe18414, 32bd579c, fee36d57..6568d94b, post-11.2",surf_point; grid_series_helper.py; TruthOverlay.js; forecastDiagnostics.js,AST guard across three rating surfaces,"LV-05, LV-06","SPLIT OBJECTIVE: the composition is closed, its self-description is not. Do not read partial status as partial composition"
WS-OBJ-003,"0008,0011,0022,0032,0037,0050,0064",1 (0008 partial),6,512b1cb6..9fe18414 (0008 only),useGridWorker.js; WeatherTelemetry.js; marineMaskShelter.js,reply-ordering test still specified and unconfirmed,"LV-01, LV-04, LV-07",TASK SET EXPANDED without a scope decision - 0064 was in 12.0's own evidence and unregistered
WS-OBJ-004,"0007,0016,0022,0033,0043,0056",0,6,none since 12.0,backendWeatherServiceClient.js:272; arbiterDecide; WeatherTelemetry.js:397,none specific,-,OBJECTIVE WITH MANY TASKS AND NO RUNTIME PROOF - and zero post-12.0 commits. The least-advanced objective in the program
WS-OBJ-005,"0026,0054,0057,0058",1 (0026),3,"2ac9631f, 55f2c068, 4c45afc2",backend/scripts/forecast_accuracy_monitor.py,"10 new tests T1..T7, 22/22 monitor, 35/35 forecast_skill",LV-03,ALL ENGINEERING COMPLETE ON THE BLOCKING TASK. Only an owner threshold decision remains
WS-OBJ-006,"0024,0048,0049,0051,0053,0058",0,6,18 post-12.0 commits on 0053 alone,science_registry.py; surf_point; pilot_regions,test_rating_shadow_ab.py,tide samples 1-6,LARGEST WORK STREAM SINCE 12.0 AND ZERO OBJECTIVE CLOSURE. 18 commits produced knowledge (a harness proven able to see a 38.1-pt move) but no closure - correctly so; it is an owner decision
WS-OBJ-007,"0021,0038,0055,0056,0059,0065",2 (0059 certified; 0065 shipped),4,11 commits on 0065; af0be9df + 06b6334a on 0059,check_floor_before_push.py; weather-simulation.spec.js,"test_check_floor_before_push.py, test_ci_floor_staleness.py","LV-02, CF-02",OBJECTIVE OPENED AND CLOSED A TASK INSIDE ONE CYCLE (0059) - the first time the program has done this
WS-OBJ-101,"0060,0061",1,1,6 commits,colorScales.js; openMeteoProtocol.js,layerColorScaleCoverage.test.js,z-controlled trace,ONE TASK FROM CLOSURE. 0061 needs one value read
WS-OBJ-102,"0028,0013",0,2,none since 12.0,per-vertex Web Mercator transform,none for canonical fields,LV-05,BLOCKED ONLY BY MISSING VERIFICATION - the render path is believed correct and has never been tested in both directions
WS-OBJ-103,"0036,0009",0,2,none since 12.0,TruthOverlay provenanceClass; conditions.py,none,LV-07,TWO TASKS ONE FILE - 0009 and 0064 both live in conditions.py
