objective_or_task_id,title,previous_delivery_state,current_state_claimed,auditor_verdict,evidence_cited,evidence_is_runtime,remaining_closure_requirement
WS-OBJ-201,One forecast composition,12.1: Fully Delivered / Verified Current (CERTIFIED COMPLETE). 12.2 OBJECTIVE_AND_TASK_COVERAGE_DELTA.csv: 'CERTIFIED - SCOPE CORRECTED' (two consumers found outside the certified list: scheduler/surf_alerts.py and GET /api/surf-conditions),"CERTIFIED CLOSED 2026-08-14 (Gate 1 truth pass) ... RE-ISSUED WITH THE CONSUMER LIST, as Audit 12.2 required. Delivery/Evidence moved Verified Current -> Verified Complete.",Closed Under Monitoring,"MISSION_HISTORY.md:240-278 (re-issued certificate). Live payload artifact program/weather-simulation/evidence/network/live-spot-ratings-raw.json. Guard backend/tests/test_rating_composition_parity.py. VERIFIED BY ME: the artifact holds 87 spots, surf_height_m 87/87, score 87/87, level 87/87, reference_size_m 87/87 -- the register's number is exact. The guard file exists, imports ast, and has exactly 11 top-level test functions as claimed. Ran it at the working tree: part of a 59-passed/0-failed run over the five cited guard files.",YES,"The 12.2 reopen was caused by a consumer census that did not exist; the re-issued certificate's own Limitation 1 admits 'no equivalent census exists for RATING consumers' -- only alert emitters are discovered by walking the tree. Closure requires a discovering (census-based) guard for rating consumers of the same shape as test_surf_alert_states_the_quality.py, plus reference_size_m measured across the estate rather than one bbox at one hour, plus frontend consumers re-measured after WS-CAN-0039 unfreeze."
WS-OBJ-202,Model-run and forecast-time truth,12.1: Partially Delivered / Verification Failed. 12.2 delta (via WS-CAN-0005): 'UNCHANGED + A NEW HALF' -- model-run truth has no display half,"UNCHANGED. Re-confirmed with a stronger control 2026-08-14 (87 spots, identical run_time to the microsecond). Now additionally identified as the BLOCKER for the run_time display half of WS-OBJ-203.",Unchanged,"program/weather-simulation/evidence/network/live-spot-ratings-raw.json. VERIFIED BY ME: exactly 1 distinct run_time across all 87 spots -- 2026-08-14T12:50:59.674525Z -- which is not a 00/06/12/18Z cycle boundary; wind_run_time is a second, differing wall clock. The register's claim is measured, not asserted.",YES,"Owner approval of the WS-CAN-0005 staged plan steps 3-4 (recorded in COMPLETION_LEDGER_4.2.csv as disposition BLOCKED_OWNER_approve-WS-CAN-0005-staged-steps-3-4). Until cycle_dt is threaded as run_time with wall clock kept as ingested_at, no rendered surface may show run_time."
WS-OBJ-203,Resolution and coverage disclosure,"12.1: Not Started / Verification Failed, blocker recorded as 'none - it is a stamping change'. 12.2 delta: '✅ CLOSED' citing 172f66aa, action 'Certificate'","Partially Delivered / Partially Verified. BLOCKER CORRECTED 2026-08-14: the criterion is MET and measured (resolution 10.0 on global_coarse, 0.25 on the regional tile), guarded by test_point_resolution_is_stamped.py (5 tests). STILL OPEN: the run_time DISPLAY half is blocked by WS-CAN-0005. => re-phrase the criterion to cover both halves.",Materially Advanced,"program/weather-simulation/evidence/scientific-validation/tier-coarse.json and tier-florida.json. VERIFIED BY ME: tier-coarse.json carries resolution=10.0 with product_id gfs_marine_waves_global_coarse_...; tier-florida.json carries resolution=0.25 with product_id gfs_marine_waves_florida_east_coast_... Guard backend/tests/test_point_resolution_is_stamped.py exists with exactly 5 test functions and passes. COUNTER-EVIDENCE I FOUND: live-spot-ratings-raw.json carries resolution on 0 of 87 spots, so the stamp is on the /point path only, not on the spot-ratings payload.",YES,13.0 is right to refuse closure and 12.2's '✅ CLOSED' was over-claimed. Two items: (1) the register's own instruction 'RE-PHRASE THE CRITERION to cover both halves' was never executed -- the Closure Criteria and Required Closure Evidence cells are byte-identical to 12.1; (2) the run_time display half stays blocked by WS-CAN-0005. No closure certificate for WS-OBJ-203 exists in MISSION_HISTORY.md despite 12.2 requiring one.
WS-OBJ-205,Deterministic product selection,12.1: Not Started / Verification Failed. Not carried in the 12.2 delta.,"Partially Delivered / Verified Current. STATE CORRECTED 2026-08-14 - was recorded Not Started / Verification Failed. BOTH halves of the criterion are MET ON THE BACKEND and measured. The required evidence - 'layer off-on x3 at a fixed coordinate returning one value' - is a UI action, unobtainable while the production frontend is frozen (WS-CAN-0039).",Materially Advanced,"program/weather-simulation/evidence/scientific-validation/WS-CAN-0033-tier-disagreement.md sections 1-2, plus tier-coarse.json / tier-florida.json. The document records a 240x grid_bbox sweep at three coordinates returning byte-identical values, WITH a stated positive control (Cocoa Beach vs Portugal discriminate), and the measured tier disagreement 0.6684 vs 0.2737 m Hs at one coordinate/hour.",YES,"⚠️ INTEGRITY FLAG: Evidence State was raised Verification Failed -> Verified Current while the row's own 'Required Closure Evidence' cell still names an unobtained UI action. Either re-write that cell to the backend-provable form or obtain the UI evidence after WS-CAN-0039 unfreeze. The substantive residual -- tiers disagreeing 2.4x on offshore Hs and 1.99x on breaking height with the CLIENT choosing the tier -- is unrepaired and, per the WS-CAN-0033 row, was re-filed against a frozen frontend block."
WS-OBJ-207,Geometry-quality disclosure,"12.1: Not Started / Verified Current, next action 'Make confidence read geometry_readiness'. Not carried in the 12.2 delta.","Delivered / Verified Complete. CERTIFIED CLOSED 2026-08-14, Program 13.0 Mission 1. Closure certificate in MISSION_HISTORY.md. LIMITATION recorded: reaches production BACKEND today; the frozen production frontend means production USERS see it only after unfreeze.",Certified Closed,"MISSION_HISTORY.md:135-238 (full closure certificate). backend/tests/test_spot_rating_geometry_disclosure.py -- 9 test functions, one parametrized over 2 values = 10 collected, exactly as claimed; passes in my run. program/weather-simulation/evidence/scientific-validation/WS-CAN-0062-disclosure-matrix.txt (4-verdict matrix, score/level identical at 93.4/epic across all four, plus the RATING_GEOMETRY_CAVEAT=0 kill-switch line). evidence/browser/WS-CAN-0062-rendered-popup.md (DOM readout, lane provenance verified via performance.getEntriesByType). INDEPENDENTLY RECOMPUTED BY ME from live-spot-ratings-raw.json: geometry_readiness {full: 68, degraded: 19} and exactly 8 why-strings shared across both full and degraded -- both figures match the certificate to the unit.",PARTIAL,"Closure stands for served capability. Two honesty notes the certificate itself records rather than hides: the screenshot is NOT committed (the browser proof is a DOM transcript plus a committed payload JSON, not an image or HAR), and the rendered NEGATIVE control was attempted and not obtained -- proven at the payload layer and by test_full_geometry_adds_nothing instead. User-facing delivery waits on WS-CAN-0039 (production frontend frozen at 3bd38a83, 2026-05-20)."
WS-OBJ-401,One authority per critical responsibility,12.1: Partially Delivered / Partially Verified. Not carried in the 12.2 delta.,"Unchanged states. PARTIAL PROGRESS 2026-08-14 (Mission 2, enabler - no new WS-CAN ID). spot_ratings.py split 800->351 LOC; the precompute lane moved out with a ONE-WAY dependency pinned by test_spot_rating_module_seam.py. Does NOT close the objective: the second renderer (WS-CAN-0069), the 261 overrides (WS-CAN-0068) and the three dual paths under WS-OBJ-402 are untouched.",Local Progress Only,"VERIFIED BY ME: backend/services/weather_pipeline/spot_ratings.py was 797 lines at baseline 791fdf78 and is 360 lines at HEAD (the register's '351' has drifted by 9 since it was written). backend/services/weather_pipeline/spot_ratings_precompute.py:41 imports from spot_ratings; spot_ratings.py names the lane only in its module docstring at line 6, never as an import -- the one-way dependency is real. backend/tests/test_spot_rating_module_seam.py has 7 test functions and passes.",PARTIAL,"⛔ DANGLING IDS: this status cell is the only place in the program that cites WS-CAN-0068 and WS-CAN-0069, and NEITHER EXISTS in CURRENT_TASK_REGISTER.csv -- the register runs 0066 then jumps to 0072. Allocate them (or renumber), then do the actual work: the Canvas2D second renderer, the 261 window.__RAW_*/__OM_* overrides, and WS-OBJ-402's dual paths."
WS-OBJ-506,Measure-or-refuse on every status surface,"12.1: Partially Delivered / Verification Failed ('two fabricated values remain'). 12.2 delta: '✅ CLOSED' citing 69ac3ddb, with a note that a FOURTH instance was found (three __RAW_GPU__ write-once literals cited as live runtime measurements, F12.2-19)",Partially Delivered / Partially Verified. BLOCKER CORRECTED 2026-08-14. The criterion as written is MET. THE OBJECTIVE IS NOT: this session found a FOURTH site - the HUD reporting 'Raster Source: LOADED' and 'No Causal Layer Violations' throughout an 18-second blank ocean. => needs a task for the new site AND a criterion phrased over a DISCOVERED census rather than a hard-coded count.,Partial,"Commit 69ac3ddb exists (2026-08-13, 'the last two fabricated status surfaces -- and the fps one had a SECOND site the audit missed'). Both canonical tasks WS-CAN-0010 and WS-CAN-0063 read Fully Delivered / Verified Current / Keep as Complete in the same 13.0 task register. NO evidence artifact is cited for this objective anywhere in the register; the fourth-site claim rests on Audit 12.2 prose (V1 / F12.2-19), not on a measurement file.",NO,"Both of the register's own instructions are unexecuted four days later: (1) no task exists for the fourth site -- WS-CAN-0072 through 0076 are cap-seam, calibration-refusal, diagnostics-bounding, config-hardening and the nearshore loop, none is a status-surface census; (2) the Closure Criteria cell is byte-identical to 12.1, so the 'discovered census' rephrasing never happened. This is the same defect shape (a hard-coded path where a census is needed) that WS-CAN-0066 was opened to fix."
WS-OBJ-101,Every activated layer actually paints,"12.1: Partially Delivered / Partially Verified, 'ONE VALUE FROM CLOSURE - the authorized mission'. 12.2 delta: '✅ CLOSED' citing f3fe2c85 (ocean mask anchored below the basemap ocean), action 'Issue the closure certificate'","Program 13.0 Status cell is EMPTY. Row unchanged from 12.1: Partially Delivered / Partially Verified, Current Blocker 'WS-CAN-0061 open', Recommended Next Action 'Read window.__OM_URL_TRACE__.blockedDetail'.",Regressed,"THREE-WAY CONTRADICTION, all verifiable on disk. (a) The blocker is stale: CURRENT_TASK_REGISTER.csv records WS-CAN-0061 as Fully Delivered / Verified Current / Keep as Complete ('CLOSED 2026-08-13, OWNER-CONFIRMED ON LIVE DEV') and WS-CAN-0060 as Implemented and Active -- both of the objective's only two tasks are closed, yet the objective still names 0061 as its blocker. (b) f3fe2c85 exists (2026-08-13). (c) 12.2's '✅ CLOSED' is REFUTED by post-12.2 evidence in this same program folder: program/weather-simulation/evidence/ISLAND-HALO-2026-08-17.md section 29 records the marine field BLANK at Madeira z9.30 on deployed build 7f2c6f22, reproducible under both gate settings with the lever provably taking effect. No closure certificate for WS-OBJ-101 exists in MISSION_HISTORY.md.",YES,"The objective must NOT be certified: an activated layer paints blank at a real camera on the deployed build, three days after 12.2 marked it closed. Required: a register row for the Madeira/island blank (there is none -- 'madeira' and 'island' return 0 hits in CURRENT_TASK_REGISTER.csv, CURRENT_OBJECTIVE_REGISTER.csv and COMPLETION_LEDGER_4.2.csv), replacement of the stale WS-CAN-0061 blocker cell, and the layer-by-layer paint census the row already demands."
WS-OBJ-503,Runtime evidence capture,"12.1: Not Started / Verification Failed, 'READY NOW - blocker cleared'. 12.2 delta: '✅ CLOSED' citing 181b7ba7 (video: retain-on-failure), action 'RE-ISSUE the certificate with corrected scope: marine-nightly has produced .webm nightly since 2026-07-18'","Program 13.0 Status cell is EMPTY. Row unchanged from 12.1: Not Started / Verification Failed, Recommended Next Action 'START NOW - this is the authorized mission'.",Implemented but Unverified,"Commit 181b7ba7 exists (2026-08-13, 'the video key five audits named and none wrote -- WS-CAN-0027, verified with a positive control'). CURRENT_TASK_REGISTER.csv records WS-CAN-0027 as Fully Delivered / Verified Current / Keep as Complete, mapped to Program Objective ID WS-OBJ-503. So the register tells a session to 'START NOW' on a mission its own task rows say shipped five days before Program 13.0 began. MISSION_HISTORY.md contains exactly two closure certificates (WS-OBJ-207 and WS-OBJ-201); the corrected-scope re-issue 12.2 demanded was never written.",NO,"Issue the corrected-scope certificate naming BOTH .webm lanes (WS-CAN-0027 closed the second; marine-nightly/zoomlab has produced the first nightly since 2026-07-18). Separately, WS-CAN-0037 -- this objective's other task -- is still Not Started / Verification Failed on the premise 'no headed harness exists', which 12.2 marked PREMISE FALSE."
WS-OBJ-705,CI and E2E lane integrity,"12.1: Fully Delivered / Verified Current, 'CERTIFIED COMPLETE on LV-02'. 12.2 delta: '⛔ REOPENED' to PARTIAL -- 17 flaky results across 6 E2E runs, 100% [Desktop Safari], 5 of them weather tests; 'flaky is a FOURTH disguise a green wears, not named by governance rule 15'","Program 13.0 Status cell is EMPTY. Row unchanged from 12.1: Fully Delivered / Verified Current, Current Blocker 'none', Recommended Next Action 'CERTIFIED - preserve'.",Regressed,"12.2 explicitly reopened this objective; the 13.0 register carries the pre-reopen cells verbatim with an empty status column -- the reopen was silently dropped, not argued down. Post-12.2 counter-evidence exists in this same folder: program/weather-simulation/evidence/CI-SCHEDULED-REDS-2026-08-15.md records three SCHEDULED lanes red at aa305291 (parity, census, zoomlab-battery) with the explicit note that 'gh pr checks 8 shows 31 checks, all pass -- the PR lane cannot see any of this'. Both of the objective's tasks (WS-CAN-0059, WS-CAN-0065) read complete, so a task-level rollup would also miss it.",PARTIAL,"Re-ingest the 12.2 reopen into the row (state, blocker and next action), name flaky as a fourth green-disguise in the governance rules, and account for the three scheduled reds in the objective's evidence -- a green PR check set is structurally incapable of seeing them."
