requirement,source,authorized_scope,actual_implementation,evidence,status,risk
Cache the pure classifier verdict keyed on its complete input,GATE6_mask_input_redundancy_MEASURED.md,"memoise classifySheltered on (water,nPx,dims)","4-entry LRU keyed FNV-1a(water):nPx:dsWxdsH",marineMaskShelter.js 336-367,Implemented Exactly,Low
Do not tax the product with the instrument,FINDING-2026-08-09-an-instrument-must-not-tax-the-product.md,"redundancy stats stay behind __RAW_MASK_INPUT_HASH__","stats kept behind their own flag; only the ~2.3ms key hash is unconditional and is the cache's own cost",marineMaskShelter.js 341-348,Implemented Exactly,Low
Provide a kill switch restoring the pre-cache path,implied by standing work rules (instrument + kill-switch + live A/B),runtime flag,__RAW_DISABLE_SHELTER_CACHE__ restores pre-cache path exactly,marineMaskShelter.js 335; M5 CAUGHT,Implemented Exactly,Low
Measure against the kill switch with a control arm,standing work rules,live A/B,"A/B run, control arm at 0% hit both phases",GATE6_mask_cache_SHIPPED.md,Implemented Exactly,Low - single session per arm
Do not ship the cache and call the mask problem closed,GATE6_mask_input_redundancy_MEASURED.md (explicit stop condition),moving case must remain open,"commit states STILL OPEN: panning ~85 ms/s needs debounce-to-settle, not a bigger cache",commit e6033e2b message,Implemented Exactly,None
Guard the repair with tests that detect recurrence,audit standard sec 11,"tests must fail on pre-repair and on mutation","6 cache tests added; 3 mutation arms verified by author; 6 of 10 audit mutations SURVIVE",TEST_INTEGRITY_AND_MUTATION_RESULTS.md,Partially Implemented,HIGH
Assert a HIT is indistinguishable from a MISS,commit e6033e2b message (author's own stated property),"byte-identical stamped pixels, identical verdict fields, post-close mask","property HOLDS in code but the assertions are tautological - run() returns created[0] for every call",TEST_INTEGRITY_AND_MUTATION_RESULTS.md sec 2,Contradicted,HIGH
Preserve close behaviour when extracting it,commit e6033e2b message,"_closeShelteredMask mutates in place exactly as the inline block did","verified - identical body, in-place mutation, same call site semantics",diff hunk 1 vs removed inline block,Implemented Exactly,Low
Keep memory bounded,"Render OOM history (audit 11.2)",small cap,"cap 4 x 512 KB ~ 2 MB; LRU eviction pinned by test",marineMaskShelter.js 200-215; M6 CAUGHT,Implemented Exactly,Low
Respect the LOC ratchet,CLAUDE.md / memory landmine,no new ratchet debt,"commit states 'Ratchet 0 new'; source 316->389 (+73), test 324->388 (+64)",git show d518d536/e6033e2b,Implemented with Safe Variation,Low
Do not introduce a second forecast path,CLAUDE.md ONE FORECAST COMPOSITION,forecast chain untouched,"no forecast-chain file in the diff",path grep over diff,Implemented Exactly,None
Audit 11.3 authorized mission conformance,Audit 11.3,n/a,n/a,"Audit 11.3 does not exist in the repository",Unable to Verify,n/a
