Objective ID,Canonical Title,Level,Type,Exact Original Wording (representative),Source Audits,First Appearance,Most Recent Appearance,Related Canonical Task IDs,Related Initiative,Duplicate/Superseded Wording,Notes
WS-OBJ-001,Reliable global weather and marine visualization,1,Product,"'the marine field does not render at the antimeridian' (11.2 G2-01, later self-refuted)","11.0, 11.2, 11.4, 12.0",2026-08-09,2026-08-13,"0012,0013,0033,0036,0060,0061",I-13,"'rendering correctness', 'field alignment'","Prior audits framed this as PROJECTION correctness. 12.1 widens it: two POST-12.0 defects were blank renders with correct projection"
WS-OBJ-002,Scientifically trustworthy forecast display,1,Correctness,"'ONE FORECAST COMPOSITION' (CLAUDE.md user mandate 2026-07-28)","prior masters, 11.0, 11.2, 12.0",2026-07-28,2026-08-13,"0002,0004,0005,0014,0015,0023,0024,0029,0034,0035,0062","I-01, I-04, I-15","'forecast truth', 'data truth'",The composition itself is closed; its SELF-DESCRIPTION is what remains open
WS-OBJ-003,Stable bounded high-performance runtime,1,Performance and Capacity,"'p90 32 s -> 16 s' (11.1); 'peak RSS 87.0% of the 2,048 MB cgroup' (12.0)","11.0, 11.1, 11.2, 12.0",2026-08-09,2026-08-13,"0008,0011,0022,0032,0037,0050,0064",I-07,"'performance', 'capacity'","CON-08 in 12.0 warns these numbers were compared across statistics. 12.1 preserves that warning"
WS-OBJ-004,Maintainable single-authority architecture,1,Architecture,"'one clear authority per critical responsibility'","11.0, 11.2, 12.0",2026-08-09,2026-08-13,"0007,0016,0022,0033,0043,0056","I-05, I-08, I-09",'architecture convergence',12.0's five ownership questions remain the right five
WS-OBJ-005,Objective forecast validation,1,Assurance,"'Adding a persistence + Open-Meteo row to the RED criterion is still unstarted' (11.1, 2026-08-10)","11.1, 12.0",2026-08-10,2026-08-13,"0026,0054,0057,0058",I-06,'accuracy validation','THE objective closed since 12.0 - and it now says the product is losing'
WS-OBJ-006,Advanced nearshore surf differentiation,1,Differentiation,"'SWAN / FVCOM / GNN / nested grids' (MASTER-AUDIT 9.0/10.0/11.0)","9.0, 10.0, 11.0, 11.2, 12.0",2026-08-06,2026-08-13,"0024,0048,0049,0051,0053,0058",I-15,"'nearshore modelling', 'finer bathymetry'","THE CROSSWALK PRESERVES THE OBJECTIVE NOT THE TECHNOLOGY: the objective is nearshore accuracy; SWAN was one proposed means, rejected 3x"
WS-OBJ-007,Program truth and closure discipline,1,Program-Governance,"'Audit 12.0's CANONICAL_TASK_REGISTER.csv is the program's source of truth' (12.0 Rule 1)","11.2, 11.4, 12.0",2026-08-11,2026-08-13,"0021,0038,0055,0056,0059,0065",-,'audit churn',12.0 authored the rules; its own successor session violated Rule 2 six times
WS-OBJ-101,Every activated layer actually paints,2,Correctness,"'water temp rendered NOTHING on every model - the colour scale key did not exist' (0f13fa7d)",POST-12.0,2026-08-13,2026-08-13,"0060,0061",I-13,none,"NEW OBJECTIVE. No prior audit tracked blank-render as distinct from projection error. A lookup miss returning 'nothing to draw' is indistinguishable from 'nothing to show'"
WS-OBJ-102,Projection and global geographic correctness,2,Correctness,"'exact per-vertex Web Mercator with the correct 85.051129 clamp'","11.0, 11.2",2026-08-09,2026-08-13,"0028,0013",I-13,'antimeridian',"Certified by 11.2 including a self-refuted false positive. Residual: synthetic canonical fields never run"
WS-OBJ-103,Failure detection disclosure and recovery,2,Reliability,'Detection, disclosure and recovery on weather request failure' (11.2 RC-04),11.2,2026-08-11,2026-08-13,"0036,0009",I-02,-,Disclosure half shipped; detection and recovery never re-tested at HEAD
