input,perturbation,output,expected_coupling,observed,measured_evidence,backend_arm,repeatable,classification,architectural_explanation
layer toggle,"Waves OFF -> ON x3, no other change; fixed coord (26.0,-78.0), model GFS, hour 0, valid_time held","sampled wave height at that coordinate","ZERO (a forecast value must not depend on toggling its own layer)","VARIES AND RETURNS","ON#1 0.64 m ; ON#2 0.44 m ; ON#3 0.64 m (+/-45%)",local,yes (3 cycles),**UNEXPECTED COUPLING - forecast value depends on interaction history**,"Product/tier selection is not a pure function of (viewport,zoom,model,layer,hour); the OFF->ON path re-resolves to a different product"
layer toggle,"same","sampled peak period at that coordinate","ZERO","VARIES AND RETURNS","6.8 s ; 3.1 s ; 6.8 s (2.19x)",local,yes,**UNEXPECTED COUPLING**,"Same cause; period is the more damaging axis - 3.1 s vs 6.8 s is windchop vs groundswell for a surf product"
product selection,"global_coarse vs viewport product, identical model/layer/valid_time/coordinate","period returned by the backend","ZERO (same question, same answer)","2.39x","global: nearest sample (30,-80) = 4.472 deg (~497 km) away, period 6.8 s. viewport: nearest (26,-78) = 0.000 deg, period 2.85 s",local (backend direct),yes,**UNEXPECTED COUPLING - quantified**,"Nearest-neighbour sampling of grids whose spacing differs by 20x; the coarse grid cannot resolve the point at all"
zoom,"z9 -> z11 at fixed centre","served product tier","MONOTONIC (closer view -> equal or finer grid)","NON-MONOTONIC / INVERTED","z9 = viewport product 0.5 deg (81 pts); z11 = gfs_marine_waves_global_coarse 10 deg (629 pts)",local,yes,**UNEXPECTED COUPLING - INDEPENDENTLY REPRODUCES Report 11.0 Jacobian row (z8/z9/z10 non-monotonic)**,"Still present at HEAD. This coupling survived the entire 11.1 window unrepaired; 11.0 called it 'the strongest single lead'"
weather request failure,"reject 100% of /api/weather/* then activate a NEW layer","TruthOverlay Class badge","MUST CHANGE (to estimated / no-data / unknown)","**ZERO SENSITIVITY** - badge unchanged","HUD read 'Class: AUTHORITATIVE NATIVE' with __MARINE_PROJECTION_DIAG__.productId === null","**PRODUCTION**",yes (local + production),**INVERTED COUPLING - the report is insensitive to the thing it reports on**,"TruthOverlay.js:231 `marineData?.grid?.isEstimated || ...` yields undefined when there is no grid; undefined is falsy; falsy takes the AUTHORITATIVE branch. Absence of data is encoded as the most confident state"
weather request failure,"same","Raster Source row","MUST CHANGE (to error / loading)","**ZERO SENSITIVITY**","'Raster Source: LOADED' with productId null","**PRODUCTION**",yes,**INVERTED COUPLING**,"No failure state exists in the render-mode vocabulary"
weather request failure,"same","__MARINE_SOURCE_PARITY__.match","MUST CHANGE (mismatch or unsampled)","**ZERO SENSITIVITY** - stays true","match:true, mismatchReasons:null, with heatmap.vectorCount 0 and infobox.status 'idle', product null","**PRODUCTION**",yes,**INVERTED COUPLING - vacuous pass**,"forecastDiagnostics.js:246-248 skips every comparison when either side is 'none'/'unknown'; mismatches stays empty; line 254 encodes empty as match:true"
actual heatmap vector count,"real field of 15023 vectors on production","parity heatmap.vectorCount","EQUALS the real count","**ZERO SENSITIVITY** - always 0","forecastDiagnostics.js:241 reads webglDiag.renderedVectorCount; that key does not exist on __WebGLMarineLayer_DIAG__ (verified: 14 keys, none named renderedVectorCount); grep finds 4 occurrences in the repo, ALL reads, ZERO writes","**PRODUCTION**",yes (structural),**DEAD INSTRUMENT - field-name mismatch**,"The producer publishes backendGridVectorCount / webglSourceVectorCount / renderedParticleCount. The consumer reads a name nobody writes, so `|| 0` makes it permanently zero. This also makes the predicate at forecastDiagnostics.js:73-74 (`renderedVectorCount > 0 && renderedNonzeroCount > 0`) permanently FALSE"
network restoration,"restore fetch after failure, wait 15 s passively","any recovery of layer/product/value","MUST RECOVER","**ZERO SENSITIVITY**","injected and recovered snapshots byte-identical: product null, same HUD, same probe h=0.2 p=8.1","**PRODUCTION**",yes,**MISSING COUPLING - no retry path**,"There is no bounded-retry or self-heal edge out of the failed state"
backend resolution field,"backend returns resolution 0.5 (viewport) / omits it (global)","__MARINE_PROJECTION_DIAG__.resolution","EQUALS the served resolution","**ZERO SENSITIVITY** - always null","res:null on BOTH local and production arms, including while serving global_mid (2 deg)","**PRODUCTION**",yes,**DROPPED SIGNAL**,"The one number that would let any guard, legend or user detect coarseness never reaches the client"
one layer activation,"click Waves once","number of weather requests issued","1 layer -> ~1-2 requests","15 requests, 4 layers, one at GLOBAL extent","waves + swell_1 + swell_2 + wind_waves fetched; waves requested at bbox -180,-80,180,85 while the map showed ~2 deg","**PRODUCTION**",yes,**UNEXPECTED FAN-OUT**,"Activating one layer prefetches a family and issues a whole-planet grid_series against a 2 GiB-capped box"
tile label vs product id,"production steady state","selectedTileId vs productId","MUST AGREE","DISAGREE","tile 'global_coarse' while productId was gfs_marine_waves_**global_mid**_20260811T030000Z.json",**PRODUCTION**,yes,**INSTRUMENT DISAGREEMENT**,"Tier label and product identity are tracked separately and can diverge"
cols/rows vs vectorCount,"production steady state","grid dimensions consistency","cols x rows == vectorCount","DISAGREE","cols 17 x rows 17 = 289 vs vectorCount 15023",**PRODUCTION**,yes,**INSTRUMENT DISAGREEMENT**,"__MARINE_WIND_DATA__ dimensions and __MARINE_PROJECTION_DIAG__ count update on different paths"
