ID,Kind,12.1 state,12.2 state,Change,Evidence,Action required
WS-OBJ-101,Objective,ONE VALUE FROM CLOSURE - the authorized mission,CLOSED,✅ CLOSED,f3fe2c85 (ocean mask anchored below the basemap ocean),Issue the closure certificate; it was never issued because the mission closed after 12.1 published
WS-OBJ-503,Objective,READY NOW - blocker cleared,CLOSED,✅ CLOSED,181b7ba7 (video: retain-on-failure),"RE-ISSUE the certificate with corrected scope: WS-CAN-0027 closed the SECOND .webm lane; marine-nightly has produced .webm nightly since 2026-07-18"
WS-OBJ-506,Objective,PARTIAL - 2 of 4 surfaces,CLOSED,✅ CLOSED,69ac3ddb (system.py:208 + TruthOverlay.js:126),"Certificate. NOTE a FOURTH instance found: three __RAW_GPU__ counters are write-once literals cited as live runtime measurements (F12.2-19)"
WS-OBJ-203,Objective,NOT STARTED - producer absent,CLOSED,✅ CLOSED,172f66aa (resolution computed then discarded before the response),Certificate
WS-OBJ-705,Objective,CERTIFIED COMPLETE on LV-02,PARTIAL,⛔ REOPENED,"17 flaky results across 6 E2E runs, 100% [Desktop Safari], 5 of them weather tests; the workflow conclusion cannot express flaky","Reopen. The certificate was accurate for the runs it read - those were the 0-flaky ones. flaky is a FOURTH disguise a green wears, not named by governance rule 15"
WS-OBJ-201,Objective,CERTIFIED COMPLETE,CERTIFIED - SCOPE CORRECTED,⚠️ SCOPE,"Two consumers found outside its certified consumer list: scheduler/surf_alerts.py (the LIVE alert path, 0 quality refs) and GET /api/surf-conditions (height with no quality, no model identity)","Do NOT revoke. The serving-chain evidence (LV-06) stands. Attach a CONSUMER CENSUS to the certificate and open WS-CAN-0066"
WS-OBJ-501,Objective,CERTIFIED COMPLETE,CERTIFIED - SCOPE CORRECTED,⚠️ SCOPE,"The certified gate grades offshore hs_m at the buoy - buoy_calibration.py:410-413 resolves at the BUOY deliberately, to exclude nearshore shoaling","Do NOT revoke. State in writing that its scope is the MODEL INPUT, and open the served-output gate as its successor"
WS-CAN-0037,Task,"NOT STARTED - ""frame rate is unmeasurable, no headed harness exists"", est. half a day",PREMISE FALSE,⚠️ RESCOPE,"useWebGLGuardrail.js:126 writes window.__MAP_RENDER_FPS__ EVERY SECOND; marine-nightly runs a compositing Playwright harness (throttling disabled) that analysed 387 anim frames","Rescope from BUILD a frame harness to READ the one that exists. Moves from CLOSE-NOW-sized to a ~1 h VERIFY item"
WS-CAN-0064,Task,"/api/conditions/batch exceeds 10 s on 100% of sampled calls",CONFIRMED + POPULATION LARGER,⚠️ EXPAND,"Third consecutive reading: 11 of 11 over 10 s, max 36.0 s. NEWLY: /api/weather/grid_series 4 of 22 over 10 s, max 17.9 s","Expand to name grid_series. WS-OBJ-302's ""one route"" framing is an undercount. Same objective, same budget, same visit"
WS-CAN-0017,Task,ABSENT,CONFIRMED + SURFACE LIST INCOMPLETE,⚠️ EXPAND,"backend/uploads/forecast_cache/*.json are GIT-TRACKED and act as a live serving fallback - a repository file is part of the serving path",Add the file pair to the surface list
WS-CAN-0025,Task,"BUILT AND PROVEN LIVE; owner needs one heartbeat URL",UNCHANGED + ONE ADDITION,⚠️ EXPAND,"Its register row already names the failure mode verbatim (""zero products with HTTP 200 is a total outage a naive check reports as healthy""). /api/health/data ALREADY 503s and is polled every 30 min",Append: point the live Render healthCheckPath at /api/health/data. Same ownerance visit
