Evidence ID,Objective ID,Canonical Task ID,Closure Criterion Tested,Method,Surface,Result,Verdict,Artifact
LV-01,WS-OBJ-302 / WS-OBJ-303,"WS-CAN-0064, -","Bounded latency and memory under production traffic","1 read-only GET of /api/health request_telemetry","Render production backend (ba7f1c18)","1,904 requests, err_5xx 0, total p99 58,713 ms, 34 over 10 s; peak RSS 1,243.2 MB = 60.7% of the 2,048 MB cgroup (12.0 read 87.0%); 22,843 products; 2/2 checks pass",PARTIAL - reliability floor confirmed; latency tail NOT bounded,evidence/runtime-verification/LV-01_prod_health_20260813.json
LV-02,WS-OBJ-705,WS-CAN-0059,"The browser lane fails on the application, not on its own mock handler","gh run list + gh run view --log over 20 E2E runs","GitHub Actions, E2E Tests workflow","Five consecutive COMPLETED green runs; each 'Running 52 tests | 47 passed | 5 skipped | 0 failed'. Pre-fix baseline 6 pass / 28 fail over 34 runs; p(5 greens | 18%) ~ 1.9e-4",PASS - CERTIFIED CLOSED,evidence/test-results/LV-02_e2e_lane_recovery.md
LV-03,WS-OBJ-501,"WS-CAN-0026, 0054, 0049, 0057",The accuracy gate grades the paired comparison and can page,gh run view --log of scheduled run 31710210215,"GitHub Actions, Forecast Accuracy Monitor","Gate live: '##[warning] SKILL FLOOR BREACHED at +24h ... [pages after 2026-08-22T00:00Z]'. Deficit WIDENED vs 12.0: persistence +24h delta +0.007 -> +0.015, win 46% -> 44%, n 1790 -> 2483. All 12 paired rows moved against the product or held flat",PASS on the objective; the FORECAST is worse,evidence/scientific-validation/LV-03_accuracy_gate_live_and_worsening.md
LV-04,WS-OBJ-301 / WS-OBJ-506,"WS-CAN-0022, 0063","No RAF outlives its surface; no surface reports an unmeasured number",Live JS read of __RAW_GPU__ and __WEATHER_TELEMETRY__ then static confirmation at HEAD,dev--rawsurf.netlify.app/map (9febd970),"activeRafCount = 1 with activeLayers = [] (first live confirmation of WS-CAN-0022). TruthOverlay.js:126 'fps: ...?.gpuStats?.fps || 60' turns a measured 0 into 60 on the only client-to-server transport",FAIL on both - one new task opened,evidence/console/LV-04_truth_overlay_fabricates_fps_on_the_wire.md
LV-05,WS-OBJ-202 / WS-OBJ-203 / WS-OBJ-102,"WS-CAN-0005, 0014, 0029, 0058","run_time is a model cycle; resolution is populated; freshness is measured; global geographies render",4 read-only GETs of /api/weather/point at one fixed valid_time,Render production backend,"All four share run_time 2026-08-13T12:57:54.313295Z across THREE different tiles - identical to the microsecond. resolution null on all four incl. two inside_regional_tile. freshness_sec 1800 on all four. Antimeridian (179.6E) and 64.1N both return valid values with grid_parity true. 2 of 4 sites on inside_global_coarse",FAIL on 0005/0014/0029; PASS on geography,evidence/geographic-tests/LV-05_four_geographies_and_the_run_time_proof.md
LV-06,WS-OBJ-201 / WS-OBJ-207,"WS-CAN-0023, 0062",Height and quality arrive together from one chain; geometry quality is disclosed,1 read-only GET of /api/weather/spot-ratings over a 24-spot bbox,Render production backend,"Every row carries surf_height_m + score + level + reference_size_m + limiter + why. Ask-echo honest (asked 15:00Z, served 14:00Z, frame_offset -1.0). BUT geometry_readiness {full 20, degraded 4} while a degraded spot and a full spot both report confidence medium",PASS on composition; FAIL on disclosure,evidence/scientific-validation/LV-06_composition_chain_and_the_missing_disclosure.md
LV-07,WS-OBJ-302,"WS-CAN-0064, 0009",No route exceeds its budget at the median,Cross-read of 12.0's RV-01 against 12.1's LV-01,Render production backend (two dates),"/api/conditions/batch: 08-12 n=9 p50 52,238 ms 9/9 over 10 s; 08-13 n=8 p50 58,713 ms 8/8 over 10 s. Present in two audits' evidence, named in neither report",FAIL - new task opened,evidence/performance/LV-07_the_worst_route_two_audits_did_not_name.md
LV-08,WS-OBJ-503,"WS-CAN-0027, 0037",A temporal defect can be seen,2 screenshot attempts incl. one after fronting the tab,agent browser pane,"'the Browser pane is not displayed, so the page is not compositing frames'. Same physical fact 11.2 found from the other side (RAF ~1 frame/5 s unfocused). Six audits, zero recordings - one environmental property hit six times",BLOCKED - and the mechanism is now named,evidence/recordings/LV-08_why_five_audits_produced_no_recordings.md
CF-02,WS-OBJ-701,WS-CAN-0026,The authorized mission was open work when authorized,git log / merge-base / show --stat,local repository,"2ac9631f (the implementation) is the IMMEDIATE PARENT of 3bc776d9 (the publication), 52 seconds earlier. The register field read 'uncommitted working tree'",FAIL - 12.0 repeated the defect it diagnosed in 11.4,evidence/commit-forensics/CF-02_the_authorized_mission_was_already_committed.md
SV-BUILD,WS-OBJ-104,WS-CAN-0039,Production serves a build from the current program,2 read-only GETs of each service worker,Netlify prod and dev,dev SW BUILD_VERSION = 9febd970 = HEAD exactly; prod SW = 3bd38a83 (2026-05-20) = 85 days behind,FAIL - owner-gated,CURRENT_BASELINE_MANIFEST.md
