sha,date,subject,category,objective_or_task_ids,files_changed,insertions,deletions,runtime_reachable,runtime_reachable_detail,tests_added,is_revert_or_retraction,authority_effect,claimed_result,auditor_independent_check,disposition
bdc26af06eaf22f22265ac4ab8382d205ab624e4,2026-08-16,"docs(ledger): [C4-P0-09] the production frontend freeze is MEASURED as a Netlify publish lock, not a repo problem",docs,C4-P0-09; WS-CAN-0039,1,1,1,NO,NO,NONE,NO,"NEUTRAL — rewrites one CSV cell; no code, flag or gate touched","the prod frontend freeze is provably Netlify-side, repo side done",Confirmed: the only change is the C4-P0-09 status cell in program/weather-simulation/COMPLETION_LEDGER_4.2.csv going from 'SPLIT CONFIRMED LIVE' to a 'MEASURED 2026-08-16' narrative; the Netlify/BUILD_VERSION measurements cited are external and have NO artifact in the repo — UNVERIFIED (would need the ledger to cite a committed curl capture of /service-worker.js),DOCS_ONLY
d555b17eb5d4b26c15cb7d7854535f11608d53f9,2026-08-16,"fix(marine): root-cause + repair the land-mask halo regression — mask-family stack order, wash REPLACE flood, and the SAFE_DEGRADED coverage terminal state (#10)",merge,AV-01a; AV-02; AV-03; AV-05; AV-09; WS-CAN-0076; C4-SC-04; MC4-05,49,6065,13,MIXED,MIXED,frontend/src/components/map/overlayTruthGate.test.js (107); frontend/src/components/map/waterTempAnchor.property.test.js (196); backend/tests/test_run_nearshore_validation.py (34); backend/tests/test_ci_floor_staleness.py MODIFIED (1 line),NO,ADDS_FLAG + ADDS_FALLBACK — new kill switch __RAW_DISABLE_OVERLAY_TRUTH_GATE__ and repo var NEARSHORE_VAL_ENABLED; the shader gate is written fail-OPEN so an unset uniform reproduces legacy behaviour exactly,the padded overlay ring can no longer speak as truth on the heatmap; slot-ceiling oscillation closed; nearshore runner shipped; estate floor re-anchored 428->433,"Verified in the diff, not the message. WebGLMarineShaders.js: the overlay sample is now wrapped in `if (u_overlayTruthEnabled < 0.5 || (o_u > u_overlayTruth_min.x && o_u < u_overlayTruth_max.x && o_v > u_overlayTruth_min.y && o_v < u_overlayTruth_max.y))` — GL's zero-default therefore means legacy, so the gate is OFF unless a call site sets it. WebGLMarineEngine.js:1455 and :3101 set it only under an identity check (`ob === this._overlayMaskBounds`), so the baseCrispMask fallback path leaves the gate open. Two dead imports (createShader/createProgram) removed. .github/workflows/ci.yml:1047-1077 MIN_PASSED 428 -> 433 (a RAISE, i.e. stricter) and backend/tests/test_ci_floor_staleness.py:257 _FLOOR_SET_FROM['estate'] 416 -> 435. Note the 433 is derived from 434 MEASURED + 1 PROJECTED, self-declared as a projection. Only 6 lines of the 6065 land in WebGLMarineEngine.js; the bulk is committed PNG/JSON shaderlab evidence. The runner's claim that it grades via the serving path's own /api/weather/point + resolve_surf_geometry is UNVERIFIED here (I did not read backend/scripts/run_nearshore_validation.py line by line).",SUBSTANTIVE_PROGRESS
85b050cb9404e8632f548d32c308663aa6abaa31,2026-08-16,docs(ledger): [C4-SC-01 CLOSED] PR #10 merged -- the nearshore workflow is finally VISIBLE to GitHub,docs,C4-SC-01; C4-SC-02; C4-OP-11; WS-CAN-0076,1,3,3,NO,NO,NONE,NO,NEUTRAL — status-cell rewrites only,C4-SC-01 integrated; C4-SC-02 dependency met but still armed off,"Confirmed 3 ledger rows rewritten (C4-SC-01, C4-SC-02, C4-OP-11). The file-presence claims are checkable and true — run_nearshore_validation.py and .github/workflows/nearshore-validation.yml both land in d555b17e's stat. `gh workflow list` output and the '435 passed' green-run figure are external claims with no artifact — UNVERIFIED.",DOCS_ONLY
89f61d875d549caa598c02ba5a01f09bc4cfb440,2026-08-16,"test(marine): pin the zoom-out blank — 2,452 measured frames, 0 model errors (#7)",test,NONE,3,341,0,NO,NO,frontend/src/components/map/marineZoomOutGate.test.js (90),NO,"NEUTRAL — the new module has zero importers at this commit, so it can decide nothing",the zoom-out blank model is pinned; two known-bad fixes encoded as tests,"CONFIRMED DUPLICATE IMPLEMENTATION, and it is self-declared: marineZoomOutGate.js lands in frontend/src with its own header reading '⛔⛔ NOT YET WIRED — WebGLMarineCustomLayer STILL HOLDS ITS OWN INLINE COPY OF THIS LOGIC', and exports a third `DEFAULT_COVER_FRAC = 0.6`. I verified by history that the first importer appears only at 4050a9d3, so at this SHA nothing in the running app calls it. All 341 lines are insertions; zoomlab-compare.js is a frontend/scripts tool. The '2,452 frames / 0 false positives' figure has no committed trace in this commit — UNVERIFIED.",EVIDENCE_ONLY
52e2abd11bb1365bf715c0d5bbab080c629fa70a,2026-08-16,docs(ledger): [C4-OP-11 CLOSED] zero open PRs -- and C4-MR-15 opened for the debt PR #7's merge created,docs,C4-OP-11; C4-MR-15,1,2,1,NO,NO,NONE,"YES — records that two of its own three earlier PR triage verdicts (#10 'superseded, close it', #7 'close as stale') were WRONG",NEUTRAL,all PRs terminal; a new row opened for the unwired gate module,Confirmed: C4-OP-11 cell rewritten to DONE and a new C4-MR-15 row appended naming the unwired module. The 'ZERO importers (verified)' claim in that row is TRUE — I confirmed independently that marineZoomOutGate.js gains its first importer only at 4050a9d3. The claim that DEFAULT_COVER_FRAC exists 'across 13 files with THREE different values (0.4/0.6/0.8)' is a bare count with no receipt — UNVERIFIED.,DOCS_ONLY
cb605828d4ad1056a4dfd96a979a9eff06dd5792,2026-08-16,"evidence(marine): [C4-MR-02 phase 1] the INVALID mask state -- inventory, and why the clamp is LOAD-BEARING",evidence,C4-MR-02,2,131,1,NO,NO,NONE,NO,"NEUTRAL — explicitly read-only, no source file touched","one texture chokepoint, 15 sample sites, the .a channel is free, and the CLAMP_TO_EDGE conjunction is load-bearing","Confirmed the commit adds only an evidence markdown (130 lines) plus one ledger cell — the 'no source file touched' claim holds against the stat. The inventory's own conclusion ('the clamp is LOAD-BEARING because of Istria/Susak') is RETRACTED by its own author 3 commits later at db9531ba, so this finding did not survive the day.",EVIDENCE_ONLY
db9531baf48e729e627b24a3ad1ac0ca7492cbab,2026-08-16,"evidence(marine): [C4-MR-02] ""reproduce Istria/Susak first"" WITHDRAWN -- a name is not a repro, and the failure it names is architecturally dead",forensics,C4-MR-02,2,87,1,NO,NO,NONE,YES — withdraws the phase-1 precondition this same author set four hours earlier in cb605828,"NEUTRAL — a documented precondition is removed, but no code gate is removed",the Istria/Susak scene has no reproducible instance and the code path that produced it is gone,"Confirmed the commit is markdown + one ledger cell only. The retraction is genuine and same-day (cb605828 -> db9531ba). The substantive claim ('every occurrence is prose, no fixture/trace exists') is a NEGATIVE search result with no committed grep output — UNVERIFIED; it would be verified by a committed `git grep -n 'Istria\|Susak'` capture. Note the honest caveat kept in the text: the surviving guards are `expect(HEATMAP_FS).toContain(...)` source-text assertions, i.e. change-detectors, not GLSL proofs.",SELF_CORRECTION
d3b907bec983910aafc15445dff3c29384dc7675,2026-08-16,"evidence(marine): [C4-MR-02 phase 2 step 0] the INVALID sentinel has a MEASURED floor -- a=0 destroys the payload, a=2 corrupts it plausibly",evidence,C4-MR-02,2,75,1,NO,NO,NONE,NO,NEUTRAL,"minSafeAlphaFor64 = 4, so INVALID=8 is safe with 2x margin","Confirmed markdown + one ledger cell only; no encoder code written, consistent with the message. The recommendation reached here (INVALID=8) is REFUTED by the very next commit f2ab8e41 by the same author, so the conclusion had a lifetime of one commit. The browser sweep numbers have no committed raw output — UNVERIFIED.",EVIDENCE_ONLY
f2ab8e41965342221911ffd24f56376652374b80,2026-08-16,"evidence(marine): [C4-MR-02 phase 2 step 1] the alpha side-channel is REFUTED -- arithmetically impossible, not merely risky",forensics,C4-MR-02,2,72,1,NO,NO,NONE,"YES — withdraws d3b907be's INVALID=8 recommendation, written the same day",NEUTRAL,the alpha side-channel design is dead; a separate NEAREST validity texture from a Uint8Array is the only correct option,Confirmed markdown + one ledger cell only. This is the second consecutive same-day self-retraction on C4-MR-02 (cb605828 -> db9531ba -> d3b907be -> f2ab8e41); the row has produced four evidence documents and zero code. The premultiplied-quantization table is reported without a committed measurement artifact — UNVERIFIED.,SELF_CORRECTION
1863f90b14f1c2fb853fc9ba9f0c6669588204ef,2026-08-16,"docs(ledger): [C4-OP-15] the dev->main promotion model guarantees conflicts, and the obvious fix is the trap",docs,C4-OP-15,1,1,0,NO,NO,NONE,NO,NEUTRAL,squash-onto-a-living-branch guarantees conflicts on every promotion; three owner options offered,"Confirmed: exactly one new CSV row (C4-OP-15) appended, no other change. The named conflicting files and PR #11/#12 states are external and unverifiable from the repo — UNVERIFIED. The commit correctly declines to pick an option and leaves it owner-blocked.",DOCS_ONLY
