Boundary ID,Producer,Consumer,Data or control passed,Schema,Units,Time semantics,Coordinate convention,Direction convention,Missing-value convention,Ordering guarantee,Cancellation,Retry,Freshness rule,Cache identity,Error contract,Ownership,Test,Runtime evidence,Observability,Recovery,Objective,Task,Status
B-01,Provider (Open-Meteo / NOAA / Copernicus),Downloader,GRIB2 byte ranges off .idx,upstream,upstream,model cycle,upstream grid,upstream,upstream,byte order,per-request,present,per cycle,by product,HTTP,ingestion,pipeline tests,green workflows,logs,re-run,WS-OBJ-304,WS-CAN-0017,Explicit but Untested - integrity chain absent (0.72% of bytes vs 16.83% naive is the program's best-measured efficiency)
B-02,Downloader,Parser,raw product bytes,binary,n/a,n/a,n/a,n/a,n/a,sequential,n/a,n/a,n/a,n/a,"_fetch_message_bytes accepts a BARE 200 - a truncated body registers as authoritative",pipeline,covered,-,logs,none,WS-OBJ-304,WS-CAN-0017,Contract Missing - fully covered by WS-CAN-0017; do not open a new ID
B-03,Parser,WeatherNormalizer,decoded grids,internal,SI,valid time,lat/lon,meteorological,sentinel,row order,n/a,n/a,n/a,n/a,exception,WeatherNormalizer,covered,LV-05,provenance fields,n/a,WS-OBJ-002,-,Explicit and Tested - SINGLE AUTHORITY. Order + units + 180 wrap + antimeridian mirror in one place. SOTA A4 MET
B-04,Normalizer,Field engine / product store,normalized fields,schemas.py,SI,valid time,lat/lon,meteorological,sentinel,guaranteed,n/a,n/a,manifest,by product,exception,ProductStore,covered,"/api/health/data 503-capable",data-health-monitor every 30 min,restore,WS-OBJ-505,-,Explicit and Tested - and the endpoint + its monitor are MISSING FROM BOTH REGISTERS (control: uptime_probe = 1)
B-05,Model metadata,Timeline / scrubber,run_time + valid time,wire,n/a,"run_time carries the INGEST WALL CLOCK, not the model cycle",n/a,n/a,n/a,n/a,n/a,n/a,n/a,"L1 is NOT keyed by run",n/a,split,partial,LV-05,served_valid_time + frame_offset_hours,n/a,WS-OBJ-202,WS-CAN-0005,"Conflicting Contracts - and NEWLY: there is no DISPLAY half at all. run_time reaches 16 client modules and telemetry and no rendered surface"
B-06,Model selection,Cache key,model identity,internal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"does NOT include model-run",n/a,client,partial,-,-,n/a,WS-OBJ-202,WS-CAN-0005,Implicit and Risky - the classic stale-serve shape
B-07,Forecast hour,Request identity,hour index,internal,n/a,hour-0 has THREE owners,n/a,n/a,n/a,monotonic ids,"present and VERIFIED line-by-line at 11.0",present,n/a,by hour,n/a,client,covered,ERR_ABORTED observed live,-,n/a,WS-OBJ-002,WS-CAN-0016,Implicit but Working - cancellation authority is Explicit and Tested; hour-0 ownership is not
B-08,Field engine,Worker,transferable buffers,internal,SI,n/a,grid,n/a,sentinel,ordered,present,n/a,n/a,n/a,onerror,worker,covered,-,-,restart,WS-OBJ-003,WS-CAN-0008,Explicit and Tested
B-09,Worker,Main thread,decoded grid,internal,SI,n/a,grid,n/a,sentinel,reply-ordered,present,n/a,n/a,n/a,onerror,main,covered,-,-,n/a,WS-OBJ-003,WS-CAN-0008,Explicit and Tested
B-10,Main thread,GPU,textures + buffers,internal,normalized,n/a,web mercator per-vertex,n/a,n/a,n/a,dispose path,n/a,n/a,n/a,context loss,GL engine,30 test files,"textureCount 2 / framebufferCount 1",TruthOverlay GPU tab,context restore,WS-OBJ-301,WS-CAN-0013,Explicit but Untested for the encoder error-rollback (unverified for a SECOND audit)
B-11,Shader,MapLibre,rendered pixels,n/a,n/a,n/a,web mercator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,custom layer,"pixel oracle is test.fixme - CANNOT FAIL","this audit: 72/72 layer cells paint, 24/24 geography cells","zoomlab (RED, unread)",fallback renderer,WS-OBJ-502,WS-CAN-0018/0019,Explicit but Untested - the oracle exists and is structurally unable to fail
B-12,"WebGL renderer","Canvas2D fallback renderer (MarineParticleCanvas / WindParticleOverlay)","the SAME field, drawn by a different stack",NONE,NONE,NONE,NONE,NONE,NONE,n/a,n/a,n/a,n/a,n/a,NONE,NONE,"ZERO test files reference either (control: WebGLMarineEngine = 30)","the guardrail fired 5x during this audit's probe","webgl_marine_fallback_engaged is emitted and nothing aggregates it","the localStorage trigger is PERSISTENT with NO RESET PATH",NONE,NONE,"CONTRACT MISSING - nothing states the two stacks must agree on colour scale, units or land mask. Under ONE FORECAST COMPOSITION this is the visual analogue of a second forecast path"
B-13,Active field,Cursor / infobox / legend,sampled value,internal,ft/m,valid time,lat/lon,convention shown,three-state parityStatus,n/a,n/a,n/a,n/a,n/a,REFUSES on unsampled,client,covered,-,parityStatus,n/a,WS-OBJ-204,WS-CAN-0035,"Explicit and Tested for parity. Legend truth is Transitional (2 of 7 shipped), and the coarse-grid notice reads a MARINE global for all 12 layers"
B-14,React controls,Map state,model / layer / hour,internal,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,single authority,covered,this audit toggled all 12 in 3 browsers,-,n/a,WS-OBJ-002,-,Explicit and Tested
B-15,Application,"261 window.__RAW_*/__OM_* runtime overrides",behaviour + TWO DISPLAYED FORECAST QUANTITIES,NONE,NONE,NONE,NONE,NONE,NONE,n/a,n/a,n/a,"no expiry",n/a,NONE,NONE,"197 of 261 have NO test",-,"NO telemetry of which are set",n/a,NONE,NONE,"IMPLICIT AND RISKY - __RAW_RATING_SPAN_FADE_HI__ and __RAW_BLEND_HEIGHT_HI__ change what the user reads as a forecast quantity"
B-16,Service worker,Application assets,cached bundle,n/a,n/a,BUILD_VERSION-keyed,n/a,n/a,n/a,n/a,n/a,n/a,skipWaiting + clients.claim,"keyed on BUILD_VERSION",n/a,SW,covered,"prod 3bd38a83 / dev 791fdf78 read live",publicly readable,cache purge on version bump,WS-OBJ-104,-,"Explicit and Tested. CONFIRMED: the SW caches NO weather response (grep 0; control api/surf-spots = 3) - no stale-weather-via-SW hazard"
B-17,Backend,Browser,forecast JSON,schemas.py,SI + ft/m,served_valid_time,lat/lon,meteorological,null,n/a,client abort,client,freshness_sec,n/a,"/conditions/* returns 200 WITH AN ERROR BODY at nine sites",routes,covered,live telemetry,request_telemetry,n/a,WS-OBJ-103,WS-CAN-0009,Conflicting Contracts - nine 200-with-error sites enumerated with line numbers
B-18,Deployment configuration,Runtime behaviour,"env vars, autoDeploy, buildFilter, healthCheckPath",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Render dashboard ONLY - render.yaml is NOT APPLIED","test_flag_lane_parity.py exists and states at :53 that it CANNOT see this lane",-,none,none,WS-OBJ-402,WS-CAN-0040,"UNABLE TO VERIFY - and the flag-lane parity CLASS has no objective (RATING_TIDE = 0 in all three registers; control SURF_TIDE_DEPTH = 1)"
B-19,Scheduler (every 15 min),Push / in-app notification body,"surf height, and the quality it already fetched",NONE,ft,now,spot,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NONE,"TWO implementations, one repaired and unscheduled","the guard opens ONE hard-coded path - the file that is NOT scheduled","LIVE: /api/health shows interval[0:15:00]",tracked() wrapper,revert one composition,WS-OBJ-201,WS-CAN-0066,"CONTRACT MISSING + CONFLICTING - the mandate names this surface; the scheduled code asserts perfection from height alone. CRITICAL, and the only one reaching a user today"
B-20,Push notificationclick,Route,spot id,URL param,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,split,none,-,none,n/a,WS-OBJ-204,WS-CAN-0066,"CONTRACT MISSING - push sends /map?spot= and NOTHING READS THAT PARAMETER (control: ~20 files elsewhere use useSearchParams); the in-app path sends /alerts?alert_id="
