#,Invariant,Report 11.0 Status,Current Status (HEAD 8be9dd56),Evidence,Trend,Risk
1,Single authoritative projection path; GPU Mercator authority,Partially Preserved,Partially Preserved,No commit in the 103-commit window touched the mercator formula copies; the ~10 source duplications and the clamp drift are unchanged,Stable,Formula copies can desynchronize silently
2,GFS row reversal only during controlled CPU encoding once,Preserved,Preserved,No fetcher/normalizer row-order change in the window; argmin sampler differential retained,Stable,A normalizer-bypassing fetcher would ship inverted rows undetected
3,UNPACK_FLIP_Y_WEBGL disabled where the texture contract requires,Preserved,Preserved,No change to the six true-setters,Stable,Third-party leaving flipY=true on the shared context
4,Shaders sample established UV orientation directly,Preserved,Preserved,Two-orientation contract untouched; the GLSL-parsing ramp test still pins legend/band/badge to shader source,Stable,The dual convention is intrinsically confusable
5,Coastline masking consistent with the GPU pipeline,Partially Preserved,Partially Preserved,No masking commit in the window; 50m/10m hysteresis gap unchanged,Stable,z 7.3-8 band
6,Exactly ONE ocean-mask authority,Violated,Violated,Five live mechanisms / three data sources unchanged; nothing in the window consolidated them,Stable,Any new masking consumer must match five mechanisms
7,No competing render ownership; MapLibre owns the lifecycle,Preserved,Preserved,LIVE at HEAD: 1 WebGL context, 1 canvas (maplibregl-canvas), __RAW_GPU__.framebufferCount=1. 1073f36f moved triggerRepaint into finally on BOTH custom layers — strengthens the contract,Improved,Wind engine FBO clear before state capture (latent)
8,No duplicate requestAnimationFrame loops,Partially Preserved,Partially Preserved,"WeatherTelemetry.js:397,399 requestAnimationFrame(loop) STILL has no stored id and no cancel path — the module-import FPS loop runs on every screen forever. __RAW_GPU__.activeRafCount=1 with no layer active (engine loop only)",Stable,The one true RAF-invariant violation is unrepaired (R11-17)
9,No legacy renderer silently operating alongside,Preserved,Preserved,Canvas2D fallbacks remain explicit mutually-exclusive failure paths; live probe showed zero fallback canvases,Stable,Persisted force_*_fallback keys still pin the fallback per browser
10,No component independently clearing a shared canvas,Partially Preserved,Partially Preserved,MapWebGL fade effect still reaches getElementById('marine-canvas-layer').clearRect,Stable,Bypasses the coordinator ownership model
11,No subsystem mutating shared GPU buffers without contract,Preserved,Preserved,Exactly two writers through engine mutation APIs; unchanged,Stable,Kill-switches are window globals
12,Resources released on layer removal,Preserved,Preserved,2e20122d added the score texture to the dispose inventory and routed teardown through safeDeleteTexture — strictly strengthens this,Improved,Deactivation-retain still lacks a reactivation regression test
13,React lifecycle/hot-reload cannot duplicate initialization,Preserved (one-sided),Preserved (one-sided),"LIVE: __MARINE_CHURN__ = {counts:{engine_init:1}} — exactly one engine init across a full map boot. userTier zombie-shutdown path unchanged",Stable,Zombie shutdown remains latent (R11-17)
14,No bypass around the Field Composition Engine,Superseded,Superseded,decideMarineCommit choke unchanged; three stale single-source-of-truth comments still uncorrected,Stable,-
15,No duplicate normalization pipelines,Preserved,Preserved,All lanes still funnel through scheduler.normalizer,Stable,Dormant FCE dispatcher still contains a second marine decoder
16,No model-specific convention leaking into another model,Preserved,Preserved,No per-source convention change in the window,Stable,EURO antimeridian repair is wind-texture-only
17,One authoritative owner of forecast time,Partially Preserved,Partially Preserved,R11-12 untouched; six one-way mirrors remain,Stable,Skew (debounced raster lags the marine heatmap by design)
18,A slow earlier-hour response cannot overwrite a newer selection,Preserved,Preserved,Three stacked guards unchanged; 8-scenario race matrix still in the estate,Stable,commitMarineData still does not hard-reject mismatched hours
19,Model/layer switching cannot mix runs / leave stale textures,Partially Preserved (by policy),Partially Preserved — NOW OBSERVED,"LIVE PRODUCTION CATCH: grid_series run_census reported distinct_runs=2, mixed_runs=true, min 2026-08-10T13:00:30Z vs max 2026-08-10T20:49:05Z in ONE response. The mechanism Report 11.0 could only prove structurally (U-2) is now observed. The DISCLOSURE is new and working; the underlying mixing is unrepaired",Improved (visibility) / Unchanged (defect),A ~7.8 h run split inside one scrubbable page is served today
20,14-day horizon & tier contract (BRAIN_RULES locked),Preserved (spot-checked),Partially Preserved,"874ad925 proved the per-layer forecast cap is INOPERATIVE for the rain layer (scrubber shows 14 d where ICON rain supports 7 d); the fix ships DARK behind __RAW_LAYER_CAP_ALIAS__, so the defect is disclosed but live",Regressed (knowledge) / Stable (behaviour),A known-wrong horizon is served by default
N1,decideMarineCommit choke — every marine commit funnels through it,New in 11.0,Preserved,No new commit source added in the window,Stable,-
N2,Two-texture-orientation contract (data lat-linear / mask mercator),New in 11.0,Preserved,Untouched,Stable,-
N3,Products-list identity+length cache key on the manifest index,New in 11.0,Unable to Verify,Not re-audited this window,Unknown,11 writer sites reassign the list
N4,Refusal != red in monitor semantics (exit 3 vs exit 1),New in 11.0,Preserved,Forecast Accuracy Monitor and Calibration Census both green on schedule at HEAD,Stable,-
N5,Keep-earliest eviction in the skill ledger,New in 11.0,Preserved,Ledger reported evicted_cap=0 with scored=503 — the clock closed cleanly,Improved,-
N6,The argmin sampler's differential test is its only rollback — do not delete _old_sampler,New in 11.0,Preserved,_old_sampler retained,Stable,-
