test_id,artifact,timestamp,branch,commit,worktree,runner,environment,starting_state,action,expected,actual,related_finding
BASE-01,REPAIR_PATCH_AS_AUDITED.patch,2026-08-12T~11:00-04:00,dev,d518d536 (uncommitted repair),primary (read-only snapshot),git diff,Node v24.14.1 / Windows 11,dirty working tree,snapshot the repair before auditing it,a stable patch to audit against,"259 lines, sha256 a0d9ff83d5e38949329d2dc330d716454d3367a3a497c0d3a32ef7e0d574cf38",baseline lock
BASE-02,(inline) committed-vs-audited byte comparison,2026-08-12T~11:12-04:00,dev,e6033e2b,primary,git diff + diff,as above,HEAD moved mid-audit,compare committed change to audited patch,identical or re-audit required,IDENTICAL,CURRENT_BASELINE_MANIFEST.md
REPAIRED-01,(console) mask suite on repaired state,2026-08-12T~11:05-04:00,dev,e6033e2b content,primary,craco test --testPathPattern=marineMaskShelter,jsdom,repaired,run both mask suites,green,"43/43 pass, 2 suites",Gate C input
REPAIRED-02,(console) full map component suite,2026-08-12T~11:20-04:00,dev,e6033e2b,primary,craco test --testPathPattern=components/map,jsdom,repaired,scoped regression sweep,no regressions,"1351/1351 pass, 129 suites",Gate G / regression surface
REPAIRED-03,(console) eslint on changed files,2026-08-12T~11:20-04:00,dev,e6033e2b,primary,npx eslint,node,repaired,lint the two changed files,clean,"exit 0, no output",Gate A
PRE-01,(console) new tests against pre-repair,2026-08-12T~11:02-04:00,dev,d518d536,wt-pre (disposable),craco test,jsdom,pre-repair source + new test file,new tests must fail,"32 failed / 11 passed; ALL failures = _resetShelterCache is not a function",TEST_INTEGRITY sec 4 - structural not behavioural
MUT-R1,MUTATION_RESULTS.json,2026-08-12T~11:10-04:00,dev,e6033e2b,wt-mut (disposable),run_mutations.js,jsdom,repaired,"apply M1-M7, run wrapper suite, restore",each mutation should be caught,"M1/M3/M5/M6 CAUGHT; M2/M4/M7 SURVIVED",TEST_INTEGRITY sec 1
MUT-R2,MUTATION_RESULTS_ROUND2.json,2026-08-12T~11:16-04:00,dev,e6033e2b,wt-mut (disposable),run_mutations_round2.js,jsdom,repaired,"apply M8-M10 (garbage hit masks), run suite, restore",garbage must be caught,"M8/M9/M10 ALL SURVIVED - 32/32 green",headline finding
PROBE-01,AUDIT_close_sensitivity.probe.test.js,2026-08-12T~11:14-04:00,dev,e6033e2b,wt-mut (disposable),craco test,jsdom,repaired,is close observable on the suite fixtures?,fixtures close-invariant (hypothesis),"REFUTED - narrow diff=2px, wide diff=0, broken diff=3px",hypothesis refuted; harness is the real cause
PROBE-02,AUDIT_hit_equivalence.probe.test.js,2026-08-12T~11:18-04:00,dev,e6033e2b,wt-mut (disposable),craco test,jsdom,repaired,"corrected oracle: read the canvas each run actually used",passes on repair,4/4 PASS - hit stamps byte-identical pixels; cached mask is POST-close,implementation verified CORRECT
PROBE-03,(console) corrected oracle vs mutants,2026-08-12T~11:22-04:00,dev,e6033e2b,wt-mut (disposable),craco test,jsdom,repaired,run corrected oracle against M2/M8/M9/M10,must fail on all four,"M2 CAUGHT, M8 CAUGHT, M9 CAUGHT, M10 CAUGHT (2 fails each)",corrected oracle discriminates
LOC-01,(inline) line counts both sides,2026-08-12T~11:25-04:00,dev,d518d536 and e6033e2b,primary,git show + wc -l,bash,both,measure LOC delta,accurate delta,"source 316->389 (+73); test 324->388 (+64)","corrects an earlier reading taken after HEAD moved (389/389, self-comparison)"
GAP-01,evidence/recordings|playwright-traces|react-scan|react-profiler|devtools-performance|memory|webgl|geographic-tests,n/a,n/a,n/a,n/a,n/a,n/a,n/a,NOT PERFORMED,n/a,"EMPTY - no live browser verification was run in this audit",OPEN_EVIDENCE_GAPS.md sec 1
