Commit,Date,Subject,Files Changed,Sample Files,Canonical Task ID,Program Objective ID,Progress Classification,Tests Added/Changed,Scope Verdict
55f2c068,2026-08-12,"docs(audit): the EURO advantage is COVERAGE, not model -- and the census script I nearly rebuilt already existed",17,audit/weather-simulation-12.0/CANONICAL_TASK_REGISTER.csv; audit/weather-simulation-12.0/evidence/artifact-manifest.csv; audit/weather-simul,WS-CAN-0057,WS-OBJ-603,Verified Objective Progress,yes,In scope
f8825291,2026-08-12,feat(ops): the external uptime probe -- and it found a defect in itself before shipping,5,audit/weather-simulation-12.0/CANONICAL_TASK_REGISTER.csv; audit/weather-simulation-12.0/evidence/artifact-manifest.csv; audit/weather-simul,WS-CAN-0025,WS-OBJ-505,Verified Objective Progress,yes,In scope
be6d5b83,2026-08-12,"fix(ci): raise guards MIN_PASSED 1685 -> 1695, cited run 31637900295",1,.github/workflows/ci.yml,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,no,In scope
de5b4557,2026-08-12,fix(ci): move guards _FLOOR_SET_FROM 1691 -> 1701 with the floor I raised in be6d5b83,1,backend/tests/test_ci_floor_staleness.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,yes,In scope
e88be1af,2026-08-12,"fix(ci): raise estate MIN_PASSED 334 -> 347, MEASURED from run 31649898143",1,.github/workflows/ci.yml,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,no,In scope
2323874a,2026-08-12,fix(science): an UNMEASURED window must warn louder than a measured narrow one,2,backend/scripts/science_shadow_ab.py; backend/tests/test_rating_shadow_ab.py,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,yes,In scope
d4c4f5d3,2026-08-12,"fix(ci): estate _FLOOR_SET_FROM -> 349, and make the prescription name BOTH edit sites",2,backend/scripts/ci_floor_staleness.py; backend/tests/test_ci_floor_staleness.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,yes,In scope
986b2bef,2026-08-12,"docs(science): the third tide sample -- the phase hypothesis is dead, and span is not coverage",1,docs/research/HANDOFF-2026-08-11-tide-answered-twice-and-the-instrument-that-refused.md,WS-CAN-0053,WS-OBJ-602,Local Improvement Without Objective Closure,no,In scope
70fa7144,2026-08-12,feat(science): count DISTINCT SERVED frames -- and correct the '3 of 12' I published in 986b2bef,2,backend/scripts/science_shadow_ab.py; backend/tests/test_rating_shadow_ab.py,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,yes,In scope
01832f86,2026-08-12,"fix(ci): guards floor -> 1699 against the NEXT reading, not the last green one",2,.github/workflows/ci.yml; backend/tests/test_ci_floor_staleness.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,yes,In scope
b5632fc7,2026-08-12,feat(science): sample BIG SURF unconditionally -- the uniform draw could never reach the tail,2,backend/services/weather_pipeline/spot_ratings.py; docs/research/FINDING-2026-08-12-the-uniform-sample-is-blind-to-the-tail.md,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
723b8dad,2026-08-12,"docs(handoff): 2026-08-12 -- the instruments were the defect, four times",1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,-,WS-OBJ-701,Implementation Activity Without Verification,no,In scope
2f9ed300,2026-08-12,docs(audit): the E2E lane fails on its own mock handler -- `.json` matches `.js` -- plus the session handoff,4,audit/weather-simulation-12.0/CANONICAL_TASK_REGISTER.csv; audit/weather-simulation-12.0/evidence/artifact-manifest.csv; audit/weather-simul,WS-CAN-0059,WS-OBJ-705,Verified Objective Progress,yes,In scope
fe3a7d96,2026-08-12,"docs(handoff): sample 5 lands -- four nulls to one, and the clock ended itself",1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0053,WS-OBJ-602,Local Improvement Without Objective Closure,no,In scope
465ee733,2026-08-12,docs(handoff): reconcile the sections my own sample-5 edit left contradicting each other,1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0053,WS-OBJ-602,No Material Objective Progress,no,In scope
768278b3,2026-08-12,"docs(handoff): sample 6 -- the span AND the tail, and the flag stops being a guess",1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
0bfef958,2026-08-12,docs(handoff): the disqualified row cannot be identified -- a refusal you cannot ATTRIBUTE,1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,WS-CAN-0053,WS-OBJ-602,Local Improvement Without Objective Closure,no,In scope
4b8d34f9,2026-08-12,docs(handoff): reconcile the counts my THIRD incremental edit left stale,1,docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect.md,-,WS-OBJ-701,No Material Objective Progress,no,In scope
14750962,2026-08-12,fix(handoff): 'ALONE against 1 nulls' -- my automated count was WRONG and its own output said so,6,audit/weather-simulation-12.0/CANONICAL_TASK_REGISTER.csv; audit/weather-simulation-12.0/evidence/artifact-manifest.csv; audit/weather-simul,-,WS-OBJ-701,Verified Objective Progress,yes,In scope
4c45afc2,2026-08-12,"docs(audit): the pool verdict -- 5.9% like-for-like on 9 runs, and 'stage by path' does NOT isolate a commit",2,audit/weather-simulation-12.0/evidence/artifact-manifest.csv; audit/weather-simulation-12.0/evidence/test-results/RV-10_pool_verdict.md,WS-CAN-0057,WS-OBJ-603,Verified Objective Progress,yes,In scope
af0be9df,2026-08-12,"fix(e2e): the mock handler matched `.json` as `.js` -- extension, not substring (WS-CAN-0059)",2,audit/weather-simulation-12.0/CANONICAL_TASK_REGISTER.csv; frontend/e2e/weather-simulation.spec.js,WS-CAN-0059,WS-OBJ-705,Verified Objective Progress,no,In scope
0d325cd2,2026-08-12,docs(science): the disqualified row is an INTERACTION -- found with a count-only oracle,1,docs/research/FINDING-2026-08-12-the-disqualified-row-is-an-INTERACTION.md,WS-CAN-0053,WS-OBJ-602,Objective Regression,no,In scope
7102f9cf,2026-08-12,RETRACT 0d325cd2: not an interaction -- my oracle could not read a REFUSAL,1,docs/research/FINDING-2026-08-12-the-disqualified-row-is-an-INTERACTION.md,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
5ad5afa6,2026-08-12,docs(science): the discriminator I named RAN and tested nothing -- the subject left the sample,1,docs/research/FINDING-2026-08-12-the-disqualified-row-is-an-INTERACTION.md,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
a2fd5756,2026-08-12,feat(science): name the disqualified ROW -- and it downgrades its own headline finding,1,backend/scripts/science_shadow_ab.py,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
5054f6c9,2026-08-12,docs(science): RESOLVED -- an absolute 5mm bound meeting an error that scales with height,1,docs/research/FINDING-2026-08-12-the-disqualified-row-is-an-INTERACTION.md,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
48a28ade,2026-08-12,docs(science): the DERIVATION -- quantization fully accounts for the reproduction error,1,docs/research/FINDING-2026-08-12-the-disqualified-row-is-an-INTERACTION.md,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
2cb9a253,2026-08-12,"docs(science): the no-dedup re-run -- '0 of 22' was '4 of 128', and Salalah is now MEASURED",1,docs/research/FINDING-2026-08-12-the-disqualified-row-is-an-INTERACTION.md,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
8b61b3b7,2026-08-12,docs(science): CLOSED -- the envelope forgot the OUTPUT's own rounding,1,docs/research/FINDING-2026-08-12-the-disqualified-row-is-an-INTERACTION.md,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
29ff21ab,2026-08-12,test(marine-mask): the non-vacuity guard -- two blank buffers are equal too (WS-CAN-0045),2,audit/weather-simulation-12.0/CANONICAL_TASK_REGISTER.csv; frontend/src/components/map/marineMaskShelter.wrapper.test.js,WS-CAN-0045,WS-OBJ-502,Verified Objective Progress,yes,In scope
f196d9c0,2026-08-12,fix(science): the height self-check goes RELATIVE -- derived from the quantization envelope,1,backend/scripts/science_shadow_ab.py,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,no,In scope
4d338d30,2026-08-13,test(science): pin the RELATIVE height tolerance -- the one thing f196d9c0 left undone,1,backend/tests/test_rating_shadow_ab.py,WS-CAN-0053,WS-OBJ-602,Verified Objective Progress,yes,In scope
31dc8086,2026-08-13,docs: reconcile both records with what shipped -- three 'not written' items now are,2,docs/research/FINDING-2026-08-12-the-disqualified-row-is-an-INTERACTION.md; docs/research/HANDOFF-2026-08-12-the-instruments-were-the-defect,-,WS-OBJ-701,Verified Objective Progress,no,In scope
f0bcef10,2026-08-13,fix(ci): raise guards floor 1699 -> 1701 BEFORE CI asks -- and the last projection was confirmed,2,.github/workflows/ci.yml; backend/tests/test_ci_floor_staleness.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,yes,In scope
c40b7fff,2026-08-13,feat(ci): catch the floor trap at PUSH time -- the one moment it is still cheap,1,backend/scripts/check_floor_before_push.py,WS-CAN-0065,WS-OBJ-705,Verified Objective Progress,no,In scope
