pair_id,input_x,input_y,output,dX,dY,dXY,residual_I,sign,magnitude_vs_dX_dY,classification,evidence_file
zoom x layerSwitch,zoom 8->12,layer wind->waves,layers,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,texLive,60,-14,20,-26,-,0.43x,Interaction Reduced (sub-additive — combined path allocates LESS than the sum),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,bufLive,396,-271,108,-17,-,0.04x,Interaction Reduced (sub-additive — combined path allocates LESS than the sum),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,rafSites,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,workers,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,gl,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,canvases,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,intervals,0,1,1,0,0,0.00x,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,programs,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
zoom x layerSwitch,zoom 8->12,layer wind->waves,marineLayers,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
modelSwitch x timeScrub,GFS->EURO,time +1d,layers,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
modelSwitch x timeScrub,GFS->EURO,time +1d,texLive,-1,2,-1,-2,-,1.00x,Benign Interaction,evidence/jacobian-tests/local-interaction-residuals.json
modelSwitch x timeScrub,GFS->EURO,time +1d,bufLive,0,5,0,-5,-,1.00x,Interaction Reduced (sub-additive — combined path allocates LESS than the sum),evidence/jacobian-tests/local-interaction-residuals.json
modelSwitch x timeScrub,GFS->EURO,time +1d,rafSites,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
modelSwitch x timeScrub,GFS->EURO,time +1d,workers,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
modelSwitch x timeScrub,GFS->EURO,time +1d,gl,0,0,0,0,0,n/a,Expected Interaction (none),evidence/jacobian-tests/local-interaction-residuals.json
