invariant,baseline_status_791fdf78,current_status_HEAD,evidence,trend,objective_ids,task_ids,risk,required_action
One model authority,HOLDS,HOLDS,"Jacobian model_to_EURO / model_to_ICON: dLayers 0, dWorkers 0, dTex 0, dBuf 0; HUD Model/Layer follows the click exactly",Stable,WS-OBJ-201,WS-CAN-0005,LOW,PRESERVE
One model-run authority,UNVERIFIED,UNVERIFIED,"WS-CAN-0005 remains owner-blocked: 87 spots share run_time to the microsecond, so rendering it would ship an ingest clock as a cycle",Unable to Determine,WS-OBJ-201,WS-CAN-0005,MEDIUM,owner decision required; do NOT render run_time until it discriminates
One forecast-hour authority,HOLDS,HOLDS,"Jacobian time_+1h / time_+1d / time_-1d: dTex 0, dBuf 0, dLayers 0; 2-10 requests; labels consistent",Stable,WS-OBJ-302,WS-CAN-0064,LOW,PRESERVE
One layer authority,HOLDS,HOLDS,HUD Model/Layer follows every layer click across a 9-step sequence,Stable,WS-OBJ-101,,LOW,PRESERVE
One normalization contract,HOLDS,HOLDS,"git grep both revisions: 17 frontend normalizer definitions, 10 backend, 19 provider adapters - ALL IDENTICAL",Stable,WS-OBJ-203,,LOW,PRESERVE
One grid-orientation contract,HOLDS,HOLDS,no diff in the orientation helpers between 791fdf78 and HEAD,Stable,WS-OBJ-203,,LOW,PRESERVE
One direction contract per variable type,HOLDS,HOLDS,no change to direction-convention code in the 128-commit window,Stable,WS-OBJ-203,,LOW,PRESERVE
One field-composition authority (computation),HOLDS,HOLDS,"science_registry.py and surf_point.py BYTE-IDENTICAL (blobs 38b283d8 / 33b08590); estimate_surf_at 4 production callers; compute_surf_rating 4 production callers; both sets identical to baseline",Stable,WS-OBJ-302,,LOW,PRESERVE - this is the mandate holding
One field-composition authority (PUBLICATION),HOLDS,VIOLATED,"conditions.py:75 publishes offshore_hs_m (= marine.point.speed via spot_ratings.py:136 under layer='waves') as swell_height_ft, while the live lane publishes the primary swell partition (spot_conditions.py:251-257). DEFAULT ON.",REGRESSED,WS-OBJ-302,WS-CAN-0064,CRITICAL,"MISSION 13.1-C1 item 1 - repair, plus add a clause to the mandate binding ROUTES not only functions"
Marine ingestion authority count (EURO),2 lanes,3 lanes,"copernicus_island_ingestion (fb50fa6d) at 0.0833 deg over 20 bboxes under the same EURO label; default ON at forecast.py:174-175; 'inert by construction' refuted by point_resolution.py:340 and manifest_view.py:39-51 which never consult region_id",REGRESSED,,WS-CAN-0058 (in substance),HIGH,MISSION 13.1-C1 item 2 - arm a guard or default the lane OFF until the serve half lands
One animation owner per active system,UNVERIFIED,NON-DETERMINISTIC,"1 distinct RAF call-site after a clean load; 4 after burn-in and race in a context of the same age",Unable to Determine,WS-OBJ-401,,MEDIUM,instrument RAF ownership and pin it with a test before any renderer work
No unintended RAF duplication,UNVERIFIED,HOLDS within a context,"rAF owners 24 files / 46 call sites - byte-identical between 791fdf78 and HEAD",Stable,WS-OBJ-401,,LOW,PRESERVE
No stale response replacing current state,HOLDS,HOLDS,"race journey: 71 in-flight requests under unthrottled thrash, no stale label survived, no old field reappeared",Stable,WS-OBJ-302,,LOW,PRESERVE
No hidden legacy renderer,HOLDS,HOLDS,"2 custom MapLibre layers / 3 onAdd implementations / 2 GL engine constructors - ALL IDENTICAL to baseline",Stable,WS-OBJ-401,WS-CAN-0069,LOW,"PRESERVE; note WS-CAN-0069 was never allocated an id despite being cited by WS-OBJ-401"
No hidden layer continuing full-cost work,PARTIAL,PARTIAL,"the marine engine retains 15023 live swell_2 vectors while activeLayer=wind (parity trace step 7); pixel decoding confirms it is NOT DRAWN, but the field is resident",Stable,WS-OBJ-101,,MEDIUM,measure the cost of the resident-but-undrawn field before deciding
Explicit worker teardown,HOLDS,HOLDS,18 workers on the map route / 1 off it; stable across 3 remount cycles; 2 new Worker sites identical to baseline,Stable,WS-OBJ-401,,LOW,PRESERVE
Explicit GPU-resource teardown,UNVERIFIED,PARTIAL,"GL context released (1 on-route / 0 off-route) and re-acquired cleanly; but textures 67->138 and buffers 504->1325 on a round trip to the SAME camera",Unable to Determine,WS-OBJ-401,,MEDIUM,add a lifecycle test pinning texture/buffer counts on a return-to-camera
Cursor / infobox / legend / renderer agreement,UNVERIFIED,VIOLATED (self-reported),"SOURCE-PARITY-MISMATCH up to 87 times per session; step 9 shows the HUD displaying a mismatch while the computed status is NOT_APPLICABLE with mismatchReasons null",REGRESSED,WS-OBJ-506,WS-CAN-0010 WS-CAN-0063,HIGH,"MISSION 13.1-C1 item 4 - scope the instrument's third case and stop the ungated production telemetry POST until it is scoped"
OceanMask authority,HOLDS,HOLDS,"12 files reference OceanMask at baseline (10 non-test); 14 at HEAD (10 non-test unchanged, +2 test). Internals identical: 5 addLayer / 1 addSource / 5 setPaintProperty / 2 removeLayer",Stable,WS-OBJ-101,,LOW,PRESERVE
Cache freshness and model-run identity,UNVERIFIED,UNVERIFIED,"50 module-scope cache declarations identical to baseline; freshness itself not measured by this audit",Unable to Determine,WS-OBJ-302,,MEDIUM,"OPEN EVIDENCE GAP - no cache-freshness probe was run"
Truthful loading state,UNVERIFIED,PARTIAL,"Raster Source stayed LOADING at a settled camera on the cold-backend run; cleared on the warm run",Unable to Determine,WS-OBJ-506,,MEDIUM,pin a settled-camera LOADING timeout with a test
Equivalent clean remount state,UNVERIFIED,VIOLATED,"MapLibre layers 138 -> 143 on the first marine-layer visit and never return; water_temp-slot-0/1/2-layer persist while wind is active; Jacobian layer->layers=+5 against a ZERO noise spread",REGRESSED,WS-OBJ-401,,MEDIUM,add a style-layer census test that fails when a layer switch does not remove its predecessor
