Environment,Engine,Form factor,Viewport,DPR,Touch,Source of coverage,Feature load,One weather layer,One marine layer,Timeline,Model switch,Zoom,Pan,Value inspection,Animation,Error state,WebGL,WebGL renderer reported,maxTextureSize,WebGPU present,Support status,Evidence
chromium-desktop,Chromium 148 (headless),desktop,1280x800,1,no,Audit 12.2 covercap.js probe against the dev deployment (= HEAD exactly),"PASS - map handle found, 16271 ms DOM-to-settled",PASS 24/24 layer cells paint (GFS+EURO),PASS - Waves / Swell / Swell 2 / Wind Waves all move pixels,NOT EXERCISED by this probe,"PASS - GFS and EURO both selected, both painted",PASS - z4 to z8 across the geography sweep,PASS - 8 centres incl. antimeridian (179.6) and 68 N,NOT EXERCISED by this probe,OBSERVED not graded - see the WebGLGuardrail note in LV12-2-04,NOT DELIBERATELY INDUCED,yes,"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",8192,True,SUPPORTED - measured by this audit,evidence/browser-device-tests/coverage-chromium-desktop.json
chromium-mobile,Chromium 148 (headless),mobile emulated,390x844,2,yes,Audit 12.2 covercap.js probe against the dev deployment (= HEAD exactly),"PASS - map handle found, 20805 ms DOM-to-settled",PASS 24/24 layer cells paint (GFS+EURO),PASS - Waves / Swell / Swell 2 / Wind Waves all move pixels,NOT EXERCISED by this probe,"PASS - GFS and EURO both selected, both painted",PASS - z4 to z8 across the geography sweep,PASS - 8 centres incl. antimeridian (179.6) and 68 N,NOT EXERCISED by this probe,OBSERVED not graded - see the WebGLGuardrail note in LV12-2-04,NOT DELIBERATELY INDUCED,yes,"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",8192,True,SUPPORTED - measured by this audit,evidence/browser-device-tests/coverage-chromium-mobile.json
firefox-desktop,Firefox (Playwright 1.60 build),desktop,1280x800,1,no,Audit 12.2 covercap.js probe against the dev deployment (= HEAD exactly),"PASS - map handle found, 16643 ms DOM-to-settled",PASS 24/24 layer cells paint (GFS+EURO),PASS - Waves / Swell / Swell 2 / Wind Waves all move pixels,NOT EXERCISED by this probe,"PASS - GFS and EURO both selected, both painted",PASS - z4 to z8 across the geography sweep,PASS - 8 centres incl. antimeridian (179.6) and 68 N,NOT EXERCISED by this probe,OBSERVED not graded - see the WebGLGuardrail note in LV12-2-04,NOT DELIBERATELY INDUCED,yes,"ANGLE (NVIDIA, NVIDIA GeForce GTX 980 Direct3D11 vs_5_0 ps_5_0), or similar",16384,True,SUPPORTED - measured by this audit,evidence/browser-device-tests/coverage-firefox-desktop.json
CI e2e: Desktop Chrome,Chromium,desktop,Playwright device preset,1,no,"e2e-tests.yml - every push, all 4 projects, no --project filter",PASS - 13 tests,covered by weather-simulation.spec.js,covered,covered,covered,covered,covered,covered,covered,partial,runner-dependent,not reported,n/a,n/a,SUPPORTED - CI on every push,evidence/browser-device-tests/LV12-2-05_every_e2e_flake_is_webkit_and_the_video_already_exists.md
CI e2e: Desktop Firefox,Gecko,desktop,Playwright device preset,1,no,e2e-tests.yml - every push,PASS - 13 tests,covered,covered,covered,covered,covered,covered,covered,covered,partial,runner-dependent,not reported,n/a,n/a,SUPPORTED - CI on every push,evidence/browser-device-tests/LV12-2-05_every_e2e_flake_is_webkit_and_the_video_already_exists.md
CI e2e: Desktop Safari,WebKit,desktop,Playwright device preset,1,no,e2e-tests.yml - every push,RUNS - but ALL 17 observed flakes across 6 runs are this project,5 of 12 flaky in one run were weather-simulation.spec.js,see left,flaky at :270,flaky at :356,see left,see left,see left,see left,video.webm RETAINED on failure,runner-dependent,not reported,n/a,n/a,SUPPORTED BUT DEGRADED - retries:2 mask first-attempt failures; conclusion cannot express flaky,evidence/browser-device-tests/LV12-2-05_every_e2e_flake_is_webkit_and_the_video_already_exists.md
CI e2e: Mobile Safari,WebKit,mobile (iPhone 13),390x844,3,yes,e2e-tests.yml - every push,PASS - 13 tests,weather PIXEL assertions deliberately SKIP on mobile (weather-simulation.spec.js:626),see left,covered,covered,covered,covered,covered,covered,partial,runner-dependent,not reported,n/a,n/a,"SUPPORTED - CI, with the weather pixel oracle deliberately skipped on this project",evidence/browser-device-tests/LV12-2-05_every_e2e_flake_is_webkit_and_the_video_already_exists.md
WebKit / Safari - LOCAL probe,WebKit,desktop + mobile,-,-,-,"NOT probed by Audit 12.2: no WebKit binary for Playwright 1.60 locally, and installing one is a dependency change this audit is forbidden from making",see the CI rows above,see the CI rows above,see the CI rows above,-,-,-,-,-,-,-,-,-,-,-,COVERED IN CI - DO NOT open a browser-coverage task,DO_NOT_CREATE_DUPLICATE_WORK.md A1
Real mobile hardware (iOS / Android),-,mobile,-,-,yes,"NEVER TESTED by any audit or lane - emulation only, in CI and here",-,-,-,-,-,-,-,-,-,-,-,-,-,-,UNTESTED - explicitly NOT to be read as supported,OPEN_KNOWN_UNKNOWNS.md
Browser zoom / low-DPR / reduced hardware / orientation change,-,-,-,-,-,NEVER TESTED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,UNTESTED - explicitly NOT to be read as supported,OPEN_KNOWN_UNKNOWNS.md
PRODUCTION build (rawsurf.netlify.app),all,all,-,-,-,"NOT TESTED AT HEAD - production serves a 2026-05-20 artifact, 85 days behind",-,-,-,-,-,-,-,-,-,-,-,-,-,-,UNTESTED AT HEAD - WS-CAN-0039 / WS-OBJ-104,CURRENT_BASELINE_MANIFEST.md
