Objective ID,Parent,Level,Title,Objective Type,Intended Outcome,Canonical Task IDs,Delivery State,Evidence State,Strategic Disposition,Finish-Line Relationship,Release Gate,Current Architecture Owner,Current Blocker,Required Closure Evidence,Closure Criteria,Recommended Next Action,Confidence,Notes
WS-OBJ-001,-,1,Reliable global weather and marine visualization,Product,Every activated layer paints the right field at every supported zoom and geography,"WS-CAN-0012,0013,0033,0036,0060,0061",Partially Delivered,Partially Verified,Continue,Blocks Reliable Baseline,Gate 3,MapWebGL custom layers + om:// protocol,WS-CAN-0061 zoom-floor blank,A layer-by-layer paint census at z2 and z9,No activated layer renders blank without saying so,Close WS-CAN-0061 (one value away),High,Two blank-render defects found POST-12.0 that no 12.0 task covered
WS-OBJ-002,-,1,Scientifically trustworthy forecast display,Correctness,Every displayed number is traceable to a named model run and states how well it is known,"WS-CAN-0002,0004,0005,0014,0015,0023,0024,0029,0034,0035,0062",Partially Delivered,Partially Verified,Continue,Blocks Reliable Baseline,Gate 1,surf_point -> estimate_surf_at -> surf_rating,WS-CAN-0005 run_time is ingest time,Live payload showing cycle-derived run_time and non-null resolution,Provenance fields mean what they are named,Close WS-CAN-0005 + 0014 together,High,Composition itself is verified; its self-description is not
WS-OBJ-003,-,1,Stable bounded high-performance runtime,Performance and Capacity,Resources requests and memory are bounded and measured under equivalent conditions,"WS-CAN-0008,0011,0022,0032,0037,0050,0064",Partially Delivered,Partially Verified,Continue,Blocks State-of-the-Art Core,Gate 5,useGridWorker / disposeEngine / RAF owners,Frame rate unmeasurable; one route at ~1 min p50,A sustained-load capacity run and a headed frame harness,Bounded p99 measured memory and one RAF owner per surface,Open WS-CAN-0064; keep 0037 after 0027,Medium,err_5xx 0 across 1904 requests two audits running
WS-OBJ-004,-,1,Maintainable single-authority architecture,Architecture,One clear authority per critical responsibility with no permanent dual paths,"WS-CAN-0007,0016,0022,0033,0043,0056",Partially Delivered,Partially Verified,Continue,Blocks State-of-the-Art Core,Gate 2,see CURRENT_ARCHITECTURE_CONVERGENCE_MAP,Three dual paths with no exit condition,Per-responsibility authority census at HEAD,No responsibility has two live owners,Set exit conditions on all three dual paths,High,Convergence is real but slow; nothing regressed
WS-OBJ-005,-,1,Objective forecast validation,Assurance,Forecast quality is graded by an instrument that can fail,"WS-CAN-0026,0054,0057,0058",Fully Delivered,Verified Current,Complete,Blocks State-of-the-Art Core,Gate 1,forecast_accuracy_monitor.py + skill ledger,Owner threshold decision due before 2026-08-22,Live run showing the gate naming a losing comparison,The gate grades the paired comparison and can page,OWNER: set the persistence threshold,High,LV-03. The single largest objective closed since 12.0
WS-OBJ-006,-,1,Advanced nearshore surf differentiation,Differentiation,Nearshore skill exceeds a public reference at every lead,"WS-CAN-0024,0048,0049,0051,0053,0058",Partially Delivered,Partially Verified,Defer,Blocks Advanced Differentiation,Gate 7,surf_point geometry + science_registry,Input coverage; and the lane loses at +24h,Paired skill win at +24h sustained over two weeks,Beat persistence and a public reference at all leads,WS-CAN-0058 coverage expansion,Medium,Physics is present; coverage and validation bind
WS-OBJ-007,-,1,Program truth and closure discipline,Program-Governance,One register one taxonomy IDs that persist and closures with evidence,"WS-CAN-0021,0038,0055,0056,0059,0065",Partially Delivered,Verified Current,Continue,Supporting Objective,Gate 0,audit/weather-simulation-12.0/CANONICAL_TASK_REGISTER.csv,Post-12.0 findings never received IDs,This audit's crosswalk,Every finding has an ID before it is actioned,Adopt 12.1 register; assign 0060-0065,High,12.0 rule 2 was violated by 12.0's own successor session
WS-OBJ-101,WS-OBJ-001,2,Every activated layer actually paints,Correctness,A layer that cannot render says so instead of drawing nothing,"WS-CAN-0060,0061",Partially Delivered,Partially Verified,Continue,Blocks Reliable Baseline,Gate 3,colorScales.js + openMeteoProtocol.js,WS-CAN-0061 open,blockedDetail value at the zoom floor,No silent transparent-tile path remains,Read window.__OM_URL_TRACE__.blockedDetail,High,NEW objective - both instances found after 12.0
WS-OBJ-102,WS-OBJ-001,2,Projection and global geographic correctness,Correctness,The field is where the map says it is at every geography,"WS-CAN-0028,0013",Operational,Partially Verified,Continue,Blocks Reliable Baseline,Gate 3,exact per-vertex Web Mercator clamp 85.051129,Synthetic canonical fields never run,Uniform E/W/N/S + vortex + checkerboard through the real render path,Row reversal and UV flip verified in BOTH directions,WS-CAN-0028 after 0027,Medium,LV-05 antimeridian and high latitude both correct via API
WS-OBJ-103,WS-OBJ-001,2,Failure detection disclosure and recovery,Reliability,A total load failure is visible to the user and the system,"WS-CAN-0036,0009",Partially Delivered,Partially Verified,Repair,Blocks Reliable Baseline,Gate 2,TruthOverlay provenanceClass NO DATA,Failure injection never re-run at HEAD,11.2 failure injection replayed against HEAD,Detection disclosure and recovery all demonstrated,Re-run failure injection,Medium,Disclosure half shipped; detection and recovery untested
