Capability,Current Implementation,Current Maturity,Verified Problem It Would Solve,Existing Task IDs,Current Best Practice,Prerequisites,Expected Value,Complexity,Regression Risk,Current Readiness,Recommended Decision,Evidence
Forecast-data access format,"GRIB2 + NetCDF over HTTP Range off .idx, normalized once",Verified Stable,NONE VERIFIED. Measured global forecast is 4 s CPU,WS-CAN-0046,Zarr / Kerchunk / cloud-optimized chunking,A measured access-latency bottleneck,Low,High,Medium,Not ready - no problem,Reject,"Priced by MASTER-AUDIT 9.0/10.0/11.0; 11.2 adds: the backend contract is already strong, the client discards it"
Numerical acceleration,"NumPy, vectorized; per-cell wind scan already replaced by argmin",Verified Stable,NONE VERIFIED,WS-CAN-0047,JAX / CuPy / Numba,A measured numerical bottleneck,Low,High,High,Not ready - no problem,Reject,4 s CPU global forecast re-verified at 11.0
Nearshore wave modelling,"Six processes modelled (shoaling, refraction with Kr=0.797, depth-limited breaking at gamma=0.81, H1/10, exposure, tide waiver)",Active and Partially Validated,"Input COVERAGE, not physics: 0.25 degree tiles, break depth, shore normals","WS-CAN-0048, WS-CAN-0053",SWAN / FVCOM / nested grids / GNN,Deterministic product selection (WS-CAN-0033); coverage growth,Low relative to coverage,Very High,Very High,Not ready,Reject the model; Complete the coverage work,Three consecutive audits agree the constraint is coverage. 11.2 adds RC-03: cannot validate a finer model while a fixed coordinate value depends on interaction history
AI bias correction / model blending / learned downscaling,None,Not Started,"A real, now-quantified accuracy deficit",WS-CAN-0049,Learned residual correction against a validated baseline,A VALIDATED BASELINE,High if the baseline existed,High,High,BLOCKED at the premise,Defer,THIS AUDIT: the served lane loses to a free public model at all three leads on n~1700-1800 paired samples. There is nothing validated to correct toward yet
GPU rendering modernization,WebGL2 custom MapLibre layers; two engines; state isolation units 0-6,Strong but Incompletely Verified,NONE VERIFIED - and currently unmeasurable,WS-CAN-0050,WebGPU / OffscreenCanvas / SharedArrayBuffer,A frame harness (WS-CAN-0037),Unknown,High,High,Not ready - cannot measure before/after,Defer,FPS is unmeasurable in the browser pane (RAF 1 frame / 5 s). All FPS readings in the program are retracted
Executed-GL testing,A written readPixels oracle behind test.fixme,Implemented but Inactive,A hemisphere-mirrored field would ship green; historical precedent is a 12-day invisible-heatmap kill,"WS-CAN-0018, WS-CAN-0019, WS-CAN-0028",Golden-image / pixel oracles in CI,"Three headed greens, per its own in-file comment",HIGH,Medium,Low,READY - the code exists,Complete Existing Migration,"e2e/weather-simulation.spec.js:578 test.fixme, in-file comment ""never reds CI"""
Runtime evidence capture (video/trace/profile),"screenshot only-on-failure, trace on-first-retry, NO video",Not Started,"The program largest and most-repeated evidence gap; 4 audits, 0 recordings","WS-CAN-0027, WS-CAN-0037",Playwright video retain-on-failure + trace + headed frame harness,None - it is a config key and a version bump,HIGH,Very Low,Very Low,READY NOW,Complete Existing Migration,playwright.config.js has no video key; @playwright/test ^1.60.0; ZERO media artifacts across all four audit evidence directories
Client-to-server telemetry,One 60 s-throttled truth-violation POST,Partial,Every hard frontend incident in the runbooks was diagnosed by asking a user to paste console output,WS-CAN-0020,Fixed-cardinality client telemetry uplink,"Build stamps (WS-CAN-0003, done)",HIGH,Medium,Low,READY,Complete Existing Migration,TruthOverlay.js:141 is the only transport at HEAD; both halves already exist unbuilt
Accuracy validation,"60-buoy NDBC residual loop, skill ledger, persistence baseline, monitor able to go RED",Active and Partially Validated,"The gate grades absolute MAE, not the comparison that matters","WS-CAN-0026, WS-CAN-0054","Paired skill scoring against persistence and a public reference, as a GATE",None - the numbers are already computed and printed,VERY HIGH,Very Low,Very Low,READY NOW,Repair Current Approach,Run 31606511901: verdict OK while 8 of 12 paired rows read WE LOSE
Uncertainty quantification,ECMWF 5-member spread -> wave_height_spread -> forecast_confidence,Partial,The field reaches 2 rendering components and ZERO of the six sim tools,(within WS-CAN-0006),Calibrated predictive intervals from residuals,A matured residual ledger,Medium,Medium,Low,Not ready,Defer,Codex F-07 verified; 11.0 R11-18 adds the zero-sim-tool reach
Data integrity chain,No checksum; no byte-count validation; fail-open reconcile,Lagging,A truncated or corrupted product served as authoritative,WS-CAN-0017,Content hashing end to end + Range/length validation,None,High,Low,Low,READY,Repair Current Approach,"Only 2 hashlib uses in the whole backend pipeline, neither an integrity checksum"
Release delivery,Render auto-deploys dev; Netlify dev at HEAD; Netlify PRODUCTION FROZEN,Blocked,Users do not receive any of this work,WS-CAN-0039,Continuous delivery,OWNER DECISION,Existential,Trivial,Owner-judged,BLOCKED ON OWNER,Complete Existing Migration,MEASURED 2026-08-12: prod BUILD_VERSION 3bd38a83 (2026-05-20) vs dev 3ec3fd13 (HEAD)
